week,season,game_id,date,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,winner,point_differential,status,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
4,2023,401547442,2023-09-29T00:15Z,Detroit Lions,DET,34,Green Bay Packers,GB,20,Detroit Lions,14,Final,25,11,13,1,7,17,2,2,73,401,5.5,12,190,19,28,6.3,1,2,20,211,43,4.9,3-6,8,70,1,0,0,37:58,15,9,2,4,3,11,1,1,53,230,4.3,12,203,23,36,5.0,2,5,43,27,12,2.3,2-4,4,31,2,0,0,22:02,78052,Lambeau Field,Green Bay,WI
4,2023,401547227,2023-10-01T13:30Z,Atlanta Falcons,ATL,7,Jacksonville Jaguars,JAX,23,Jacksonville Jaguars,16,Final,17,11,6,0,6,12,0,1,57,287,5.0,10,160,19,31,4.6,2,4,31,127,22,5.8,1-2,3,50,3,1,0,27:09,16,11,4,1,5,14,1,2,64,300,4.7,10,195,23,30,6.1,0,2,12,105,32,3.3,0-1,3,25,0,0,1,32:51,85716,Wembley Stadium,London,
4,2023,401547443,2023-10-01T17:00Z,Miami Dolphins,MIA,20,Buffalo Bills,BUF,48,Buffalo Bills,28,Final,20,12,8,0,3,10,0,3,58,393,6.8,11,251,25,35,6.4,1,4,31,142,19,7.5,3-4,8,98,2,1,0,29:38,24,14,8,2,5,10,0,0,56,414,7.4,12,310,21,25,11.5,0,2,10,104,29,3.6,5-6,4,20,0,0,0,30:22,70881,Highmark Stadium,Orchard Park,NY
4,2023,401547444,2023-10-01T17:00Z,Denver Broncos,DEN,31,Chicago Bears,CHI,28,Denver Broncos,3,Final,17,9,6,2,6,11,0,0,48,311,6.5,9,214,21,28,7.4,0,1,9,97,19,5.1,3-3,7,39,0,0,1,26:11,26,17,7,2,6,12,1,3,70,471,6.7,10,300,28,35,7.7,1,4,35,171,31,5.5,2-3,10,91,2,1,0,33:49,62220,Soldier Field,Chicago,IL
4,2023,401547445,2023-10-01T17:00Z,Baltimore Ravens,BAL,28,Cleveland Browns,CLE,3,Baltimore Ravens,25,Final,16,8,7,1,4,12,1,1,55,296,5.4,12,165,15,19,7.5,0,3,21,131,33,4.0,4-4,8,92,1,1,0,29:50,13,6,5,2,4,16,1,1,65,166,2.6,13,73,19,36,1.8,3,4,48,93,25,3.7,0-2,7,42,3,0,0,30:10,67919,Huntington Bank Field,Cleveland,OH
4,2023,401547452,2023-10-01T17:00Z,Cincinnati Bengals,CIN,3,Tennessee Titans,TEN,27,Tennessee Titans,24,Final,14,8,5,1,2,9,0,1,51,211,4.1,9,139,20,30,4.2,0,3,26,72,18,4.0,0-1,5,40,1,1,0,25:15,23,11,9,3,8,13,1,1,62,400,6.5,9,227,19,26,7.8,1,3,15,173,33,5.2,2-4,5,27,1,0,0,34:45,68951,Nissan Stadium,Nashville,TN
4,2023,401547449,2023-10-01T17:00Z,Los Angeles Rams,LAR,29,Indianapolis Colts,IND,23,Los Angeles Rams,6,Final,27,16,8,3,6,15,1,1,78,467,6.0,12,303,27,40,7.2,1,2,16,164,36,4.6,2-3,8,85,1,0,0,39:46,19,10,6,3,3,10,1,2,58,329,5.7,11,196,11,25,7.3,0,2,4,133,31,4.3,2-2,8,80,1,1,0,24:25,65337,Lucas Oil Stadium,Indianapolis,IN
4,2023,401547450,2023-10-01T17:00Z,Tampa Bay Buccaneers,TB,26,New Orleans Saints,NO,9,Tampa Bay Buccaneers,17,Final,21,13,6,2,8,15,0,0,67,353,5.3,11,239,25,33,7.0,1,1,7,114,33,3.5,3-4,11,91,1,0,0,31:11,16,9,4,3,5,14,1,2,61,197,3.2,11,127,24,39,3.0,1,3,13,70,19,3.7,0-2,7,58,3,2,0,28:49,70003,Caesars Superdome,New Orleans,LA
4,2023,401547451,2023-10-01T17:00Z,Washington Commanders,WSH,31,Philadelphia Eagles,PHI,34,Philadelphia Eagles,3,Final,26,12,9,5,8,17,2,2,74,365,4.9,10,258,29,41,5.6,0,5,32,107,28,3.8,4-5,7,41,0,0,0,35:07,23,14,6,3,4,12,2,2,67,415,6.2,10,311,25,37,7.8,0,3,8,104,27,3.9,1-2,11,80,0,0,0,30:55,69879,Lincoln Financial Field,Philadelphia,PA
4,2023,401547448,2023-10-01T17:00Z,Minnesota Vikings,MIN,21,Carolina Panthers,CAR,13,Minnesota Vikings,8,Final,14,9,4,1,1,8,1,2,44,265,6.0,9,130,12,19,6.2,2,2,9,135,23,5.9,1-2,7,37,2,0,1,21:31,20,11,7,2,5,14,2,3,68,232,3.4,9,149,25,32,4.0,0,5,55,83,31,2.7,0-2,6,80,1,1,1,38:29,72842,Bank of America Stadium,Charlotte,NC
