season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2022,11,Akron,2006,Mid-American,28,973.0,985.0,Eastern Michigan,2199,Mid-American,34,1311.0,1299.0,1,-6
2022,11,Miami (OH),193,Mid-American,21,1412.0,1374.0,Ohio,195,Mid-American,37,1413.0,1451.0,1,-16
2022,11,Toledo,2649,Mid-American,28,1553.0,1549.0,Ball State,2050,Mid-American,21,1302.0,1306.0,1,7
2022,11,Central Michigan,2117,Mid-American,31,1356.0,1361.0,Buffalo,2084,Mid-American,27,1421.0,1416.0,1,4
2022,11,Western Michigan,2711,Mid-American,21,1274.0,1275.0,Northern Illinois,2459,Mid-American,24,1361.0,1360.0,1,-3
2022,11,Bowling Green,189,Mid-American,6,1183.0,1096.0,Kent State,2309,Mid-American,40,1268.0,1355.0,1,-34
2022,11,Memphis,235,American Athletic,26,1491.0,1514.0,Tulsa,202,American Athletic,10,1366.0,1343.0,1,16
2022,11,Louisiana,309,Sun Belt,36,1561.0,1590.0,Georgia Southern,290,Sun Belt,17,1419.0,1390.0,1,19
2022,11,College Of New Jersey,2442,New Jersey,10,,,Kean,2871,New Jersey,17,,,1,-7
2022,11,Rowan,2827,New Jersey,38,,,Biddeford,111675,Commonwealth Coast,20,,,0,18
2022,11,Cincinnati,2132,American Athletic,27,1764.0,1762.0,East Carolina,151,American Athletic,25,1585.0,1587.0,1,2
2022,11,Portland State,2502,Big Sky,17,,,Sacramento State,16,Big Sky,45,,,1,-28
2022,11,USC,30,Pac-12,55,1720.0,1753.0,Colorado,38,Pac-12,17,1105.0,1072.0,1,38
2022,11,UNLV,2439,Mountain West,30,1278.0,1288.0,Fresno State,278,Mountain West,37,1593.0,1583.0,1,-7
2022,11,Catholic,2108,NEWMAC,21,,,Springfield,81,NEWMAC,35,,,1,-14
2022,11,North Carolina A&T,2448,Big South,20,,,Charleston Southern,2127,Big South,10,,,1,10
2022,11,Lebanon Valley,388,Mid Atlantic,41,,,Albright,2015,Mid Atlantic,24,,,1,17
2022,11,Yale,43,Ivy,24,,,Princeton,163,Ivy,20,,,1,4
2022,11,Rensselaer,2528,Liberty League,23,,,Union (NY),237,Liberty League,13,,,1,10
2022,11,Brown,225,Ivy,24,,,Columbia,171,Ivy,31,,,1,-7
2022,11,Salve Regina,2776,Commonwealth Coast,24,,,Husson,2280,Commonwealth Coast,10,,,1,14
2022,11,Arkansas,8,SEC,10,1662.0,1660.0,LSU,99,SEC,13,1708.0,1710.0,1,-3
2022,11,Greensboro College,2256,USA South,14,,,North Carolina Wesleyan,286,USA South,35,,,1,-21
2022,11,Mercyhurst,2385,Pennsylvania State Athletic,13,,,Shepherd,2974,Pennsylvania State Athletic,16,,,1,-3
2022,11,UAlbany,399,CAA,23,,,Maine,311,CAA,21,,,1,2
2022,11,Moravian,323,Centennial,10,,,Muhlenberg,2422,Centennial,37,,,1,-27
2022,11,SUNY Maritime,2951,ECFC,21,,,Alfred State,3162,ECFC,48,,,1,-27
2022,11,South Florida,58,American Athletic,23,1094.0,1100.0,SMU,2567,American Athletic,41,1616.0,1610.0,1,-18
2022,11,Tiffin,2838,Great Midwest Athletic,25,,,Findlay,2224,Great Midwest Athletic,27,,,1,-2
2022,11,Lake Erie,437,Great Midwest Athletic,11,,,Northern Michigan,128,GLIAC,33,,,0,-22
2022,11,Ithaca College,175,Liberty League,34,,,Cortland,2782,Empire 8,17,,,0,17
2022,11,Holy Cross,107,Patriot,36,,,Bryant,2803,Big South,29,,,0,7
2022,11,Lehigh,2329,Patriot,36,,,Colgate,2142,Patriot,33,,,1,3
2022,11,Navy,2426,American Athletic,32,1424.0,1441.0,Notre Dame,87,FBS Independents,35,1848.0,1831.0,0,-3
2022,11,Kentucky,96,SEC,21,1610.0,1583.0,Vanderbilt,238,SEC,24,1271.0,1298.0,1,-3
2022,11,Wilkes,398,Mid Atlantic,58,,,Kings College (PA),247,Mid Atlantic,42,,,1,16
2022,11,Limestone,2336,South Atlantic,45,,,Emory & Henry College,2213,South Atlantic,27,,,0,18
2022,11,John Carroll University,2302,Ohio,62,,,Otterbein,359,Ohio,7,,,1,55
2022,11,Southern Connecticut State,2583,Northeast 10,14,,,New Haven,2441,Northeast 10,54,,,1,-40
2022,11,Dean College,110438,ECFC,44,,,Keystone,122774,ECFC,45,,,1,-1
2022,11,Nichols College,2884,Commonwealth Coast,49,,,Curry College,40,Commonwealth Coast,28,,,1,21
2022,11,UConn,41,FBS Independents,36,1128.0,1137.0,Liberty,2335,FBS Independents,33,1640.0,1631.0,0,3
2022,11,Davenport,110254,GLIAC,7,,,Grand Valley State University,125,GLIAC,49,,,1,-42
2022,11,Westfield State,2909,MSCAC,50,,,Fitchburg State,114,MSCAC,0,,,1,50
2022,11,Plymouth State,2972,MSCAC,21,,,UMass Dartmouth,379,MSCAC,46,,,1,-25
2022,11,Williams,2731,NESCAC,20,,,Amherst,7,NESCAC,10,,,1,10
2022,11,Framingham State,2967,MSCAC,21,,,Worcester St,402,MSCAC,16,,,1,5
2022,11,Bridgewater State,18,MSCAC,10,,,Mass Maritime,110,MSCAC,0,,,1,10
2022,11,Wagner,2681,NEC,28,,,Sacred Heart,2529,NEC,38,,,1,-10
2022,11,St. Francis (PA),2598,NEC,51,,,Duquesne,2184,NEC,14,,,1,37
2022,11,Virginia,258,ACC,7,1399.0,1340.0,Pittsburgh,221,ACC,37,1596.0,1655.0,1,-30
2022,11,Duke,150,ACC,24,1433.0,1460.0,Virginia Tech,259,ACC,7,1326.0,1299.0,1,17
2022,11,Central Connecticut,2115,NEC,14,,,Merrimack,2771,NEC,20,,,1,-6
2022,11,Gannon,367,Pennsylvania State Athletic,28,,,Shippensburg,2559,Pennsylvania State Athletic,35,,,1,-7
2022,11,Marist,2368,Pioneer,24,,,Valparaiso,2674,Pioneer,45,,,1,-21
2022,11,Seton Hill,611,Pennsylvania State Athletic,10,,,Millersville,210,Pennsylvania State Athletic,14,,,1,-4
2022,11,Clarion,2134,Pennsylvania State Athletic,27,,,West Chester,223,Pennsylvania State Athletic,36,,,1,-9
2022,11,Edinboro University,2205,Pennsylvania State Athletic,26,,,Lock Haven University,209,Pennsylvania State Athletic,13,,,1,13
2022,11,Pace,2487,Northeast 10,10,,,Bentley,2060,Northeast 10,18,,,1,-8
2022,11,American International,2022,Northeast 10,20,,,St. Anselm,2830,Northeast 10,27,,,1,-7
2022,11,PennWest California,2858,Pennsylvania State Athletic,31,,,East Stroudsburg University,2188,Pennsylvania State Athletic,7,,,1,24
2022,11,Illinois,356,Big Ten,24,1725.0,1702.0,Purdue,2509,Big Ten,31,1599.0,1622.0,1,-7
2022,11,Tennessee,2633,SEC,66,1957.0,2018.0,Missouri,142,SEC,24,1485.0,1424.0,1,42
2022,11,University Of Charleston (WV),2128,Mountain East,35,,,West Virginia State,2707,Mountain East,42,,,1,-7
2022,11,Merchant Marine Academy,2383,NEWMAC,41,,,Coast Guard,2557,NEWMAC,33,,,1,8
2022,11,Worcester Polytechnic Institute,2749,NEWMAC,14,,,MIT,109,NEWMAC,21,,,1,-7
2022,11,West Virginia,277,Big 12,23,1374.0,1379.0,Oklahoma,201,Big 12,20,1640.0,1635.0,1,3
2022,11,Misericordia,2969,Mid Atlantic,21,,,Lycoming,2354,Mid Atlantic,14,,,1,7
2022,11,Michigan State,127,Big Ten,27,1605.0,1598.0,Rutgers,164,Big Ten,21,1290.0,1297.0,1,6
2022,11,Trinity (CT),2977,NESCAC,31,,,Wesleyan University (CT),336,NESCAC,14,,,1,17
2022,11,Hamilton,348,NESCAC,14,,,Bates,121,NESCAC,19,,,1,-5
2022,11,Johns Hopkins University,118,Centennial,44,,,McDaniel College,2700,Centennial,7,,,1,37
2022,11,Ohio State,194,Big Ten,56,2184.0,2201.0,Indiana,84,Big Ten,14,1312.0,1295.0,1,42
2022,11,Georgetown,46,Patriot,21,,,Bucknell,2083,Patriot,24,,,1,-3
2022,11,Tufts,112,NESCAC,65,,,Middlebury,2394,NESCAC,34,,,1,31
2022,11,North Greenville,2822,Gulf South,36,,,West Georgia,2698,Gulf South,43,,,1,-7
2022,11,Howard,47,MEAC,28,,,South Carolina State,2569,MEAC,14,,,1,14
2022,11,North Dakota,155,MVFC,28,,,South Dakota,233,MVFC,19,,,1,9
2022,11,Hampden-Sydney,297,Old Dominion,17,,,Randolph-Macon,2516,Old Dominion,38,,,1,-21
2022,11,Guilford College,2258,Old Dominion,22,,,Bridgewater (VA),2079,Old Dominion,64,,,1,-42
2022,11,Hampton,2261,CAA,24,,,Elon,2210,CAA,38,,,1,-14
2022,11,Northwood (MI),2886,Great Midwest Athletic,34,,,Walsh,2682,Great Midwest Athletic,14,,,0,20
2022,11,Kennesaw State,338,Atlantic Sun,14,,,Austin Peay,2046,Atlantic Sun,31,,,1,-17
2022,11,Wittenberg,2746,North Coast,56,,,Hilbert College,125974,North Coast,8,,,0,48
2022,11,Ohio Wesleyan,2980,North Coast,47,,,Hiram College,2274,North Coast,21,,,1,26
2022,11,Oberlin,391,North Coast,13,,,Wooster,2748,North Coast,56,,,1,-43
2022,11,Denison University,2171,North Coast,49,,,Kenyon,352,North Coast,12,,,1,37
2022,11,Depauw,83,North Coast,49,,,Wabash College,89,North Coast,14,,,1,35
2022,11,Montclair State,2818,New Jersey,14,,,William Paterson,2970,New Jersey,17,,,1,-3
2022,11,West Virginia Wesleyan,455,Mountain East,14,,,Glenville State,2249,Mountain East,27,,,1,-13
2022,11,Old Dominion,295,Sun Belt,3,1408.0,1315.0,James Madison,256,Sun Belt,37,1446.0,1539.0,1,-34
2022,11,West Liberty,2699,Mountain East,23,,,Frostburg State,341,Mountain East,28,,,1,-5
2022,11,Georgia State,2247,Sun Belt,28,1521.0,1488.0,UL Monroe,2433,Sun Belt,31,1101.0,1134.0,1,-3
2022,11,Widener,2725,Mid Atlantic,7,,,Delaware Valley,2808,Mid Atlantic,34,,,1,-27
2022,11,St. Lawrence,2779,Liberty League,31,,,Buffalo State,2085,Liberty League,7,,,1,24
2022,11,Hobart College,174,Liberty League,27,,,University of Rochester (NY),184,Liberty League,7,,,1,20
2022,11,Minnesota State Mankato,2364,Northern Sun,40,,,Winona State,2851,Northern Sun,13,,,1,27
2022,11,Upper Iowa University,389,Northern Sun,6,,,Sioux Falls,2894,Northern Sun,50,,,1,-44
2022,11,Fordham,2230,Patriot,45,,,Lafayette,322,Patriot,10,,,1,35
2022,11,St. Thomas (MN),2900,Pioneer,23,,,Stetson,56,Pioneer,0,,,1,23
2022,11,Susquehanna,216,Centennial,66,,,Juniata College,246,Centennial,15,,,1,51
2022,11,Wayne State (MI),131,GLIAC,14,,,Ferris State,2222,GLIAC,40,,,1,-26
2022,11,Saginaw Valley State,129,GLIAC,35,,,Michigan Tech,2392,GLIAC,30,,,1,5
2022,11,St John Fisher University,374,Empire 8,21,,,Utica,390,Empire 8,35,,,1,-14
2022,11,Alfred University,365,Empire 8,7,,,Brockport,2781,Empire 8,16,,,1,-9
2022,11,Western New England,2702,Commonwealth Coast,21,,,Endicott College,452,Commonwealth Coast,26,,,1,-5
2022,11,Ohio Dominican,2477,Great Midwest Athletic,20,,,Hillsdale,2273,Great Midwest Athletic,10,,,1,10
2022,11,Ursinus,2667,Centennial,38,,,Dickinson (PA),2175,Centennial,14,,,1,24
2022,11,Dayton,2168,Pioneer,49,,,Morehead State,2413,Pioneer,27,,,1,22
2022,11,Gettysburg,2248,Centennial,14,,,Franklin & Marshall,2234,Centennial,31,,,1,-17
