GameID,Date,Team,PlayerID,PlayerName,Position,Starter,minutes,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points,FGM,FGA,3PM,3PA,FTM,FTA
401736176,20250614,Sparks,2566106,Dearica Hamby,F,True,31,4,8,12,2,1,1,2,2,-13,10,4,9,0,0,2,2
401736176,20250614,Sparks,3142010,Azura Stevens,F,True,18,3,3,6,1,0,0,4,1,-22,4,1,3,0,1,2,2
401736176,20250614,Sparks,4433630,Rickea Jackson,F,True,36,2,3,5,2,1,0,2,2,-14,18,6,12,3,5,3,3
401736176,20250614,Sparks,3065570,Kelsey Plum,G,True,33,0,3,3,4,0,0,3,3,-16,20,5,16,3,5,7,8
401736176,20250614,Sparks,4703794,Sarah Ashlee Barker,G,True,28,1,3,4,2,1,0,5,1,-24,4,1,2,0,0,2,4
401736176,20250614,Sparks,2284331,Emma Cannon,F,False,22,0,2,2,0,0,0,1,2,-1,14,5,7,2,3,2,4
401736176,20250614,Sparks,4433795,Sania Feagin,F,False,3,0,1,1,0,0,0,0,0,-3,2,1,2,0,0,0,0
401736176,20250614,Sparks,4596309,Liatu King,F,False,16,1,1,2,0,0,0,3,2,-8,3,0,3,0,1,3,4
401736176,20250614,Sparks,3056672,Mercedes Russell,C,False,6,0,0,0,1,0,0,0,0,-7,0,0,2,0,0,0,0
401736176,20250614,Sparks,1107,Shey Peddy,G,False,7,1,0,1,2,0,0,0,1,-7,3,1,2,0,0,1,1
401736176,20250614,Lynx,3906972,Bridget Carleton,F,True,23,0,2,2,4,1,1,1,1,+20,6,2,3,2,3,0,0
401736176,20250614,Lynx,3913881,Alanna Smith,F,True,22,0,3,3,2,0,3,2,3,+16,3,1,3,1,2,0,0
401736176,20250614,Lynx,3917450,Napheesa Collier,F,True,31,2,6,8,6,2,2,2,4,+22,32,13,16,3,4,3,3
401736176,20250614,Lynx,2529205,Kayla McBride,G,True,21,0,1,1,3,1,0,0,2,+26,4,2,10,0,7,0,0
401736176,20250614,Lynx,2987891,Courtney Williams,G,True,18,0,3,3,2,0,0,2,4,+21,17,6,10,3,4,2,3
401736176,20250614,Lynx,3906949,Jessica Shepard,F,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401736176,20250614,Lynx,4329370,Maria Kliundikova,F,False,14,3,2,5,1,2,3,0,1,+3,11,5,6,0,0,1,2
401736176,20250614,Lynx,4433635,Diamond Miller,F,False,13,0,3,3,2,0,0,1,2,-8,3,1,4,1,2,0,0
401736176,20250614,Lynx,5105752,Alissa Pili,F,False,10,1,1,2,0,0,0,0,3,+1,8,4,5,0,0,0,0
401736176,20250614,Lynx,5278237,Anastasiia Olairi Kosu,F,False,3,0,0,0,1,0,0,0,0,+3,3,1,1,0,0,1,2
401736176,20250614,Lynx,3056730,Karlie Samuelson,G,False,20,0,0,0,4,2,1,1,1,+9,0,0,3,0,1,0,0
401736176,20250614,Lynx,3906753,Natisha Hiedeman,G,False,25,0,0,0,5,1,0,0,2,+2,14,6,11,2,6,0,0
401736177,20250614,Liberty,2998928,Breanna Stewart,F,True,38,0,5,5,2,3,0,3,3,-6,24,7,15,0,2,10,14
401736177,20250614,Liberty,3922628,Kennedy Burke,F,True,25,1,2,3,3,0,2,0,1,-11,3,1,5,0,3,1,3
401736177,20250614,Liberty,4398768,Nyara Sabally,C,True,31,4,5,9,1,4,2,2,4,+3,10,5,12,0,3,0,0
401736177,20250614,Liberty,2529137,Natasha Cloud,G,True,31,1,5,6,5,1,0,2,4,-19,5,1,8,0,4,3,4
401736177,20250614,Liberty,4066533,Sabrina Ionescu,G,True,38,1,1,2,4,1,0,2,2,-10,34,11,20,4,10,8,9
