GameID,Date,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401736284,20250731,Valkyries,4790264,Janelle Salaun,F,13,37,3-9,1-2,2-2,0,4,4,0,0,1,1,2,+4,9
401736284,20250731,Valkyries,2569044,Temi Fagbenle,C,14,27,5-11,0-2,0-0,1,5,6,3,1,0,0,1,-9,10
401736284,20250731,Valkyries,4790263,Iliana Rupert,C,12,33,3-7,3-5,2-2,1,6,7,0,2,0,3,4,+7,11
401736284,20250731,Valkyries,1054,Tiffany Hayes,G,15,20,0-2,0-1,0-0,1,1,2,4,0,0,1,2,-4,0
401736284,20250731,Valkyries,4398935,Veronica Burton,G,22,30,4-7,2-3,0-0,2,5,7,10,0,1,4,1,-4,10
401736284,20250731,Valkyries,4432834,Laeticia Amihere,F,3,13,1-6,1-4,5-6,1,4,5,1,0,0,1,3,+6,8
401736284,20250731,Valkyries,4398907,Kate Martin,G,20,23,4-10,3-6,3-3,0,5,5,2,0,1,2,1,+3,14
401736284,20250731,Valkyries,4899328,Kaitlyn Chen,G,2,3,1-1,0-0,0-0,0,0,0,0,0,0,0,1,-6,2
401736284,20250731,Valkyries,5208982,Carla Leite,G,0,14,1-4,1-3,1-2,0,2,2,1,0,0,2,0,+8,4
401736284,20250731,Mystics,4398911,Shakira Austin,F,0,32,3-8,0-0,4-6,3,6,9,3,1,2,2,2,-1,10
401736284,20250731,Mystics,4898384,Kiki Iriafen,F,44,22,5-8,0-0,0-0,1,5,6,1,0,0,1,4,0,10
401736284,20250731,Mystics,2988756,Brittney Sykes,G,20,27,3-11,1-3,1-2,1,3,4,2,1,2,0,2,-11,8
401736284,20250731,Mystics,4068159,Sug Sutton,G,1,26,3-8,1-3,0-0,0,3,3,6,0,0,1,2,+5,7
401736284,20250731,Mystics,4433524,Sonia Citron,G,22,32,6-14,2-6,2-3,0,2,2,2,2,1,0,1,+11,16
401736284,20250731,Mystics,4398729,Emily Engstler,F,21,18,2-7,1-4,0-0,2,1,3,2,0,2,1,0,+1,5
401736284,20250731,Mystics,2529183,Stefanie Dolson,C,31,9,0-2,0-2,0-0,0,1,1,0,0,1,1,2,-2,0
401736284,20250731,Mystics,4433815,Lucy Olsen,G,33,13,2-5,1-3,0-0,0,0,0,1,1,0,0,1,-2,5
401736284,20250731,Mystics,5017726,Jade Melbourne,G,5,22,2-5,1-3,1-1,0,2,2,2,1,0,0,4,-6,6
