GameID,Date,Team,PlayerID,PlayerName,Position,Starter,minutes,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points,FGM,FGA,3PM,3PA,FTM,FTA
401736132,20250524,Liberty,2998928,Breanna Stewart,F,True,36,1,6,7,3,0,1,0,4,-7,16,4,11,0,4,8,10
401736132,20250524,Liberty,4683006,Leonie Fiebich,F,True,7,0,0,0,0,0,0,0,2,-2,0,0,1,0,0,0,0
401736132,20250524,Liberty,2999101,Jonquel Jones,C,True,36,4,8,12,3,1,1,3,3,+2,26,9,15,2,5,6,7
401736132,20250524,Liberty,2529137,Natasha Cloud,G,True,35,1,6,7,6,5,2,3,3,+13,16,6,9,2,5,2,2
401736132,20250524,Liberty,4066533,Sabrina Ionescu,G,True,37,0,5,5,4,0,0,0,0,+11,23,8,20,2,8,5,7
401736132,20250524,Liberty,3922628,Kennedy Burke,F,False,28,0,2,2,2,0,1,4,1,+10,7,2,4,1,3,2,4
401736132,20250524,Liberty,2327695,Rebekah Gardner,G,False,6,1,0,1,0,1,0,1,4,-7,2,0,1,0,0,2,2
401736132,20250524,Liberty,4038379,Marine Johannes,G,False,15,0,0,0,1,0,0,1,0,-10,0,0,2,0,2,0,0
401736132,20250524,Fever,2529130,Natasha Howard,F,True,19,3,5,8,1,0,0,1,4,-9,6,3,8,0,0,0,0
401736132,20250524,Fever,4432831,Aliyah Boston,F,True,36,6,7,13,2,0,1,1,4,-2,27,12,19,0,0,3,4
401736132,20250524,Fever,3142191,Kelsey Mitchell,G,True,34,0,0,0,4,3,0,1,2,-2,15,6,16,2,7,1,2
401736132,20250524,Fever,4398829,Lexie Hull,G,True,26,0,2,2,0,1,0,1,4,-4,15,6,9,2,2,1,2
401736132,20250524,Fever,4433403,Caitlin Clark,G,True,38,0,5,5,10,0,0,10,5,+6,18,6,18,2,11,4,5
401736132,20250524,Fever,869,DeWanna Bonner,F,False,23,1,6,7,2,2,0,0,3,+9,2,0,4,0,1,2,2
401736132,20250524,Fever,2955898,Damiris Dantas,F,False,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
401736132,20250524,Fever,3907781,Sophie Cunningham,G,False,20,2,1,3,0,0,0,2,2,-8,5,2,4,1,2,0,0
401736133,20250524,Wings,3142055,Myisha Hines-Allen,F,True,13,0,6,6,2,0,1,3,2,-4,2,1,3,0,0,0,0
401736133,20250524,Wings,4398776,NaLyssa Smith,F,True,19,0,2,2,0,2,0,0,2,-10,13,4,10,1,1,4,5
401736133,20250524,Wings,3904577,Arike Ogunbowale,G,True,33,0,3,3,5,1,0,1,3,-1,5,2,10,0,4,1,2
401736133,20250524,Wings,4066548,DiJonai Carrington,G,True,20,2,3,5,1,1,0,1,3,-14,5,2,9,0,3,1,2
401736133,20250524,Wings,4433730,Paige Bueckers,G,True,28,1,3,4,5,2,0,1,3,-21,11,4,15,1,3,2,3
401736133,20250524,Wings,4399415,Maddy Siegrist,F,False,22,4,5,9,0,0,0,0,1,-2,12,6,12,0,4,0,0
401736133,20250524,Wings,3913903,Teaira McCowan,C,False,24,3,3,6,0,1,0,1,2,0,10,5,11,0,0,0,0
401736133,20250524,Wings,4065760,Tyasha Harris,G,False,24,0,1,1,2,1,1,0,1,+2,10,3,7,2,5,2,2
401736133,20250524,Wings,4065780,Kaila Charles,G,False,17,1,1,2,2,1,1,1,1,+10,7,3,5,1,3,0,0
401736133,20250524,Dream,3058895,Brionna Jones,F,True,30,4,11,15,2,2,1,1,1,+4,11,5,9,0,0,1,1
401736133,20250524,Dream,2490553,Brittney Griner,C,True,30,2,6,8,1,1,0,4,2,0,15,7,14,1,1,0,0
401736133,20250524,Dream,3058901,Allisha Gray,G,True,37,1,4,5,6,0,3,0,4,+8,27,8,15,4,9,7,8
401736133,20250524,Dream,4398674,Rhyne Howard,G,True,38,2,5,7,10,1,1,4,3,+7,9,2,12,1,8,4,6
401736133,20250524,Dream,4433431,Te-Hina Paopao,G,True,6,1,0,1,1,0,0,1,1,-3,0,0,2,0,1,0,0
401736133,20250524,Dream,3054590,Nia Coffey,F,False,15,1,1,2,1,0,2,0,1,+7,8,2,5,1,3,3,4
401736133,20250524,Dream,4398915,Naz Hillmon,F,False,5,0,3,3,0,0,0,1,0,+5,2,1,1,0,0,0,0
401736133,20250524,Dream,3058893,Shatori Walker-Kimbrough,G,False,16,0,0,0,0,1,0,1,0,+7,2,1,3,0,0,0,0
401736133,20250524,Dream,4280850,Maya Caldwell,G,False,23,0,1,1,2,1,0,1,1,+5,9,3,7,2,2,1,2
