GameID,Date,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401820324,20250919,Liberty,2998928,Breanna Stewart,F,30,35,8-17,2-3,12-15,0,9,9,3,2,2,0,5,+1,30
401820324,20250919,Liberty,4683006,Leonie Fiebich,F,13,28,1-4,1-3,0-0,0,3,3,1,0,0,1,1,+7,3
401820324,20250919,Liberty,2999101,Jonquel Jones,C,35,33,1-10,0-5,1-2,1,7,8,4,0,1,0,5,0,3
401820324,20250919,Liberty,2529137,Natasha Cloud,G,9,35,2-6,1-2,2-2,1,2,3,2,4,1,4,3,-9,7
401820324,20250919,Liberty,4066533,Sabrina Ionescu,G,20,37,8-19,3-12,3-3,0,6,6,4,0,0,4,2,-7,22
401820324,20250919,Liberty,3922628,Kennedy Burke,F,22,21,3-9,0-6,2-2,0,2,2,1,1,2,1,1,-17,8
401820324,20250919,Liberty,3027368,Emma Meesseman,C,33,9,0-3,0-1,0-2,0,2,2,3,0,0,0,1,-3,0
401820324,20250919,Liberty,2327695,Rebekah Gardner,G,7,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,-2,0
401820324,20250919,Mercury,2529140,Alyssa Thomas,F,25,37,7-18,0-0,6-8,1,10,11,11,2,1,5,2,+3,20
401820324,20250919,Mercury,4068042,Natasha Mack,F,4,19,0-0,0-0,0-0,2,1,3,1,0,0,0,1,-3,0
401820324,20250919,Mercury,4281929,Satou Sabally,F,0,34,6-14,4-9,7-9,0,12,12,3,2,1,1,5,+3,23
401820324,20250919,Mercury,2998938,Kahleah Copper,G,2,34,5-15,2-4,0-0,1,8,9,0,1,0,3,3,+11,12
401820324,20250919,Mercury,5274110,Monique Akoa Makani,G,8,23,2-4,0-1,0-0,1,2,3,3,1,0,3,2,-8,4
401820324,20250919,Mercury,869,DeWanna Bonner,F,14,21,2-8,0-2,0-0,1,7,8,2,1,1,0,5,+9,4
401820324,20250919,Mercury,3142087,Kathryn Westbeld,F,24,8,1-3,1-2,0-0,1,1,2,0,0,0,0,1,+6,3
401820324,20250919,Mercury,887,Sami Whitcomb,G,33,22,3-9,2-6,5-5,1,0,1,1,1,0,0,1,+9,13
