GameID,Date,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401820334,20250926,Aces,4398776,NaLyssa Smith,F,3,33,8-13,0-0,0-1,2,2,4,0,1,4,1,5,+15,16
401820334,20250926,Aces,4433633,Kierstan Bell,F,1,7,0-0,0-0,0-0,0,0,0,1,0,1,0,0,-1,0
401820334,20250926,Aces,3149391,A'ja Wilson,C,22,38,6-20,1-2,0-1,0,8,8,4,1,3,3,4,+7,13
401820334,20250926,Aces,2529122,Chelsea Gray,G,12,36,5-7,1-1,4-5,0,3,3,6,2,1,2,1,+17,15
401820334,20250926,Aces,4065870,Jackie Young,G,0,34,9-14,1-3,6-6,0,5,5,4,1,0,4,3,+2,25
401820334,20250926,Aces,3934218,Megan Gustafson,C,17,6,2-3,1-1,0-0,2,1,3,0,1,0,0,1,+2,5
401820334,20250926,Aces,2987869,Jewell Loyd,G,24,23,0-3,0-3,0-0,0,2,2,0,1,1,1,3,+1,0
401820334,20250926,Aces,4281190,Dana Evans,G,11,23,3-5,0-0,4-4,0,1,1,5,1,0,3,2,+17,10
401820334,20250926,Fever,2529130,Natasha Howard,F,6,15,2-4,0-0,1-2,4,1,5,0,0,0,0,1,-5,5
401820334,20250926,Fever,4432831,Aliyah Boston,F,7,38,5-16,0-2,2-2,3,5,8,4,1,1,3,3,-8,12
401820334,20250926,Fever,2529047,Odyssey Sims,G,1,19,0-7,0-1,2-2,2,2,4,2,0,0,3,1,-10,2
401820334,20250926,Fever,3142191,Kelsey Mitchell,G,0,37,8-26,3-11,2-5,1,1,2,1,2,0,2,2,-15,21
401820334,20250926,Fever,4398829,Lexie Hull,G,10,32,6-10,3-6,1-2,2,8,10,4,1,2,1,6,-2,16
401820334,20250926,Fever,3142086,Brianna Turner,F,11,11,1-1,0-0,0-0,1,2,3,0,1,0,1,1,-3,2
401820334,20250926,Fever,4433546,Makayla Timpson,F,21,17,2-3,0-0,1-3,2,2,4,0,1,2,2,1,-11,5
401820334,20250926,Fever,1107,Shey Peddy,G,5,21,2-4,1-3,3-3,1,1,2,2,0,0,2,3,+2,8
401820334,20250926,Fever,2999035,Aerial Powers,G,23,11,0-2,0-0,1-2,0,1,1,1,0,0,0,3,-8,1
401820333,20250926,Lynx,3906972,Bridget Carleton,F,6,27,2-7,1-3,1-1,0,4,4,0,0,0,2,1,-5,6
401820333,20250926,Lynx,3913881,Alanna Smith,F,8,12,0-4,0-3,0-0,1,0,1,1,0,0,0,1,-8,0
401820333,20250926,Lynx,3917450,Napheesa Collier,F,24,37,8-15,1-3,0-0,2,4,6,3,0,3,4,5,-10,17
401820333,20250926,Lynx,2529205,Kayla McBride,G,21,38,3-10,2-6,4-4,1,3,4,5,2,0,1,1,-8,12
401820333,20250926,Lynx,2987891,Courtney Williams,G,10,37,6-16,2-5,0-0,1,4,5,3,2,0,1,3,-9,14
401820333,20250926,Lynx,3906949,Jessica Shepard,F,15,8,0-1,0-0,0-0,1,0,1,2,1,0,1,0,+3,0
401820333,20250926,Lynx,4329370,Maria Kliundikova,F,77,18,4-6,0-0,0-0,3,3,6,1,0,3,0,2,0,8
401820333,20250926,Lynx,3906753,Natisha Hiedeman,G,2,23,7-12,0-4,5-6,1,1,2,3,2,0,2,1,-3,19
401820333,20250926,Mercury,2529140,Alyssa Thomas,F,25,36,9-18,0-0,3-4,3,6,9,8,5,2,4,3,+12,21
401820333,20250926,Mercury,4068042,Natasha Mack,F,4,12,0-1,0-0,0-0,1,4,5,0,0,2,1,0,+1,0
401820333,20250926,Mercury,4281929,Satou Sabally,F,0,30,5-11,2-4,11-11,2,2,4,0,0,0,3,3,+12,23
401820333,20250926,Mercury,2998938,Kahleah Copper,G,2,36,9-13,1-3,2-3,0,3,3,2,0,0,3,4,+8,21
401820333,20250926,Mercury,5274110,Monique Akoa Makani,G,8,23,3-7,2-4,0-0,3,2,5,2,0,0,1,3,-1,8
401820333,20250926,Mercury,869,DeWanna Bonner,F,14,22,1-7,0-4,2-2,2,6,8,2,1,1,0,0,+9,4
401820333,20250926,Mercury,3142087,Kathryn Westbeld,F,24,15,1-1,1-1,0-0,1,1,2,1,1,0,0,0,-7,3
401820333,20250926,Mercury,887,Sami Whitcomb,G,33,24,2-7,0-2,0-2,0,1,1,4,2,0,3,2,+6,4
