GameID,Date,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401736307,20250808,Storm,2491214,Erica Wheeler,G,17,31,7-15,1-5,1-2,0,0,0,2,3,0,1,3,+11,16
401736307,20250808,Storm,5220150,Dominique Malonga,C,14,25,8-11,0-0,6-7,2,10,12,0,1,0,1,5,+7,22
401736307,20250808,Storm,2984741,Tiffany Mitchell,G,25,3,0-0,0-0,0-0,0,0,0,0,1,0,0,0,+4,0
401736307,20250808,Storm,2988756,Brittney Sykes,G,20,29,5-14,2-7,2-3,0,2,2,6,0,2,2,5,-4,14
401736307,20250808,Aces,4398776,NaLyssa Smith,F,3,31,5-6,0-0,0-1,4,8,12,1,0,0,3,4,+14,10
401736307,20250808,Aces,4433633,Kierstan Bell,F,1,8,0-2,0-2,0-0,0,0,0,1,0,0,0,0,+2,0
401736307,20250808,Aces,3149391,A'ja Wilson,C,22,35,11-24,1-1,6-8,3,9,12,3,0,0,2,5,+15,29
401736307,20250808,Aces,2529122,Chelsea Gray,G,12,34,3-6,2-4,5-6,0,2,2,5,3,2,5,3,+12,13
401736307,20250808,Aces,4065870,Jackie Young,G,0,33,8-15,4-6,6-7,1,4,5,5,0,0,1,2,+12,26
401736307,20250808,Aces,3934218,Megan Gustafson,C,17,12,0-0,0-0,0-0,2,2,4,0,0,0,0,0,-14,0
401736307,20250808,Aces,2987869,Jewell Loyd,G,24,26,3-10,3-7,1-1,1,2,3,2,2,1,1,1,+2,10
401736307,20250808,Aces,4281190,Dana Evans,G,11,13,1-6,0-2,0-0,0,0,0,3,0,0,0,0,-16,2
401736307,20250808,Aces,4597509,Aaliyah Nye,G,13,8,0-0,0-0,0-0,0,0,0,0,0,0,0,1,-7,0
