Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Student-Athlete Meals (Non-Travel),Excess Transfers Back,Total Coaching Severance,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,"Facilities, Debt Service, and Equipment",Coaches Compensation,Non-Coaching Athletics Staff Compensation,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"Conference/NCAA Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees
Alabama A & M University,100654,2005,Football Championship Subdivision,,"$4,370,215.00 ",,$0.00 ,$0.00 ,"$128,579.00 ","$50,000.00 ","$10,000.00 ","$28,178.00 ","$570,295.00 ","$308,569.00 ","$1,060,948.00 ","$368,339.00 ","$1,845,307.00 ","$1,683,089.00 ","$32,200.00 ","$122,925.00 ","$12,000.00 ","$140,060.00 ","$340,938.00 ","$299,078.00 ",$0.00 
Alabama A & M University,100654,2006,Football Championship Subdivision,,"$7,811,439.00 ",,$0.00 ,$0.00 ,"$562,826.00 ","$349,608.00 ","$37,343.00 ","$20,484.00 ","$796,769.00 ","$1,914,943.00 ","$1,483,077.00 ","$581,562.00 ","$2,064,827.00 ","$9,733,550.00 ","$427,239.00 ",$0.00 ,"$27,400.00 ","$319,957.00 ","$258,534.00 ","$464,678.00 ","$7,523,202.00 "
Alabama A & M University,100654,2007,Football Championship Subdivision,,"$5,355,699.00 ",,$0.00 ,"$23,562.00 ","$179,990.00 ","$333,250.00 ","$39,000.00 ","$34,325.00 ","$508,589.00 ","$88,352.00 ","$1,795,298.00 ","$437,000.00 ","$1,916,333.00 ","$6,847,295.00 ","$107,976.00 ","$57,155.00 ","$10,000.00 ","$374,528.00 ","$418,187.00 ","$513,257.00 ","$5,221,982.00 "
Alabama A & M University,100654,2008,Football Championship Subdivision,,"$6,368,280.00 ",,$0.00 ,$0.00 ,"$290,440.00 ","$212,069.00 ","$28,200.00 ","$61,730.00 ","$1,700,330.00 ","$230,050.00 ","$1,683,784.00 ","$437,000.00 ","$1,724,677.00 ","$7,254,361.00 ","$104,848.00 ","$80,280.00 ","$22,700.00 ","$853,286.00 ","$416,893.00 ","$71,065.00 ","$5,489,968.00 "
Alabama A & M University,100654,2009,Football Championship Subdivision,,"$6,641,301.00 ",,$0.00 ,$0.00 ,"$514,363.00 ","$226,421.00 ","$43,500.00 ","$42,619.00 ","$891,479.00 ","$513,777.00 ","$1,683,784.00 ","$437,000.00 ","$2,288,358.00 ","$8,711,959.00 ","$107,226.00 ","$103,468.00 ","$70,027.00 ","$691,360.00 ","$366,542.00 ","$525,176.00 ","$6,313,560.00 "
Alabama A & M University,100654,2010,Football Championship Subdivision,,"$6,560,208.00 ",,$0.00 ,$0.00 ,"$367,069.00 ","$185,786.00 ","$23,048.00 ","$57,686.00 ","$780,217.00 ","$178,028.00 ","$1,478,326.00 ","$878,334.00 ","$2,611,714.00 ","$6,585,588.00 ","$295,436.00 ",$912.00 ,$0.00 ,"$806,786.00 ","$426,266.00 ","$620,954.00 ","$3,882,481.00 "
Alabama A & M University,100654,2011,Football Championship Subdivision,,"$6,980,583.00 ",,$0.00 ,$0.00 ,"$198,499.00 ","$177,180.00 ",$0.00 ,"$57,686.00 ","$874,612.00 ","$209,174.00 ","$1,421,107.00 ","$983,973.00 ","$3,058,352.00 ","$6,003,172.00 ","$171,078.00 ",$970.00 ,$0.00 ,"$441,805.00 ","$570,600.00 ","$305,394.00 ","$3,881,128.00 "
Alabama A & M University,100654,2012,Football Championship Subdivision,,"$6,604,394.00 ",,$0.00 ,$0.00 ,"$119,573.00 ","$152,461.00 ",$0.00 ,"$55,345.00 ","$1,193,244.00 ","$221,613.00 ","$1,297,928.00 ","$554,603.00 ","$3,009,627.00 ","$5,516,444.00 ","$243,596.00 ","$17,990.00 ",$0.00 ,"$649,080.00 ","$395,028.00 ","$468,636.00 ","$3,435,434.00 "
Alabama A & M University,100654,2013,Football Championship Subdivision,,"$7,349,658.00 ",,$0.00 ,$0.00 ,"$406,449.00 ","$195,788.00 ",$0.00 ,"$71,472.00 ","$1,303,829.00 ","$257,307.00 ","$1,420,292.00 ","$1,106,313.00 ","$2,588,208.00 ","$7,349,658.00 ","$195,443.00 ","$18,608.00 ",$0.00 ,"$938,658.00 ","$405,599.00 ","$395,190.00 ","$4,982,160.00 "
Alabama A & M University,100654,2014,Football Championship Subdivision,,"$7,240,911.00 ",,$0.00 ,$0.00 ,"$393,643.00 ","$176,769.00 ",$0.00 ,"$141,233.00 ","$899,724.00 ","$138,572.00 ","$1,741,426.00 ","$497,495.00 ","$3,252,049.00 ","$9,568,473.00 ","$316,786.00 ","$11,920.00 ","$562,730.00 ","$637,000.00 ","$322,469.00 ","$374,897.00 ","$6,928,671.00 "
Alabama A & M University,100654,2015,Football Championship Subdivision,,"$10,015,107.00 ",,$0.00 ,"$98,517.00 ","$441,749.00 ","$283,000.00 ","$3,000.00 ","$109,650.00 ","$1,494,099.00 ","$953,106.00 ","$1,765,005.00 ","$1,388,605.00 ","$3,478,376.00 ","$10,230,614.00 ","$272,960.00 ","$22,310.00 ","$497,443.00 ","$897,000.00 ","$255,888.00 ","$382,606.00 ","$7,604,580.00 "
Alabama A & M University,100654,2016,Football Championship Subdivision,,"$9,372,315.00 ",$0.00 ,$0.00 ,$0.00 ,"$384,970.00 ","$302,837.00 ","$51,500.00 ","$74,858.00 ","$1,460,189.00 ","$248,645.00 ","$1,960,281.00 ","$1,144,888.00 ","$3,744,147.00 ","$2,592,863.00 ","$366,028.00 ","$22,816.00 ","$33,500.00 ","$1,027,104.00 ","$509,673.00 ","$270,029.00 ","$38,826.00 "
Alabama A & M University,100654,2017,Football Championship Subdivision,,"$9,466,448.00 ","$15,922.00 ",$0.00 ,$0.00 ,"$333,043.00 ","$570,000.00 ","$1,000.00 ","$41,131.00 ","$1,298,908.00 ","$547,596.00 ","$2,027,633.00 ","$1,196,074.00 ","$3,435,141.00 ","$3,293,950.00 ","$248,536.00 ",$81.00 ,"$34,100.00 ","$1,589,250.00 ","$794,021.00 ","$285,239.00 ",$0.00 
Alabama A & M University,100654,2018,Football Championship Subdivision,,"$10,084,138.00 ","$15,922.00 ",$0.00 ,$0.00 ,"$409,925.00 ","$600,000.00 ",$0.00 ,"$41,131.00 ","$1,298,908.00 ","$945,510.00 ","$2,027,633.00 ","$1,196,074.00 ","$3,549,035.00 ","$10,084,138.00 ","$259,792.00 ","$53,600.00 ","$35,438.00 ","$1,348,000.00 ","$1,033,217.00 ","$289,735.00 ","$6,718,206.00 "
Alabama A & M University,100654,2019,Football Championship Subdivision,,"$12,911,716.00 ","$20,339.00 ",$0.00 ,$0.00 ,"$361,427.00 ","$232,697.00 ",$0.00 ,"$91,508.00 ","$1,588,743.00 ","$3,518,499.00 ","$2,197,868.00 ","$1,113,751.00 ","$3,786,884.00 ","$12,911,716.00 ","$354,366.00 ","$139,087.00 ","$444,741.00 ","$838,000.00 ","$196,603.00 ","$475,190.00 ","$10,141,656.00 "
Alabama A & M University,100654,2020,Football Championship Subdivision,,"$14,156,377.00 ","$4,950.00 ",$0.00 ,$0.00 ,"$390,642.00 ",$0.00 ,$0.00 ,"$161,575.00 ","$1,885,411.00 ","$4,420,316.00 ","$2,045,053.00 ","$1,296,150.00 ","$3,952,280.00 ","$14,156,377.00 ","$158,904.00 ",$0.00 ,"$19,000.00 ","$781,000.00 ","$67,500.00 ","$330,495.00 ","$12,606,899.00 "
Alabama A & M University,100654,2021,Football Championship Subdivision,,"$12,787,145.00 ","$3,100.00 ",$0.00 ,$0.00 ,"$301,989.00 ",$0.00 ,$0.00 ,"$65,595.00 ","$1,415,471.00 ","$3,808,143.00 ","$2,062,520.00 ","$1,177,565.00 ","$3,952,762.00 ","$12,948,150.00 ","$130,066.00 ",$0.00 ,"$5,000.00 ","$674,000.00 ","$60,500.00 ","$359,110.00 ","$11,531,752.00 "
Alabama A & M University,100654,2022,Football Championship Subdivision,,"$14,189,129.00 ","$4,200.00 ",$0.00 ,$0.00 ,"$405,399.00 ",$0.00 ,$0.00 ,"$85,595.00 ","$2,279,225.00 ","$4,268,497.00 ","$2,062,520.00 ","$1,311,871.00 ","$3,771,822.00 ","$14,006,086.00 ",$0.00 ,$0.00 ,$0.00 ,"$752,500.00 ",$0.00 ,"$593,074.00 ","$12,153,535.00 "
Alabama A & M University,100654,2023,Football Championship Subdivision,,"$16,399,257.00 ","$58,324.00 ",$0.00 ,$0.00 ,"$3,787,679.00 ",$0.00 ,"$85,000.00 ","$6,519.00 ","$3,247,160.00 ","$1,418,314.00 ","$2,743,017.00 ","$1,199,021.00 ","$3,854,223.00 ","$16,669,001.00 ","$214,988.00 ","$20,268.00 ","$986,350.00 ","$359,000.00 ","$115,020.00 ","$682,754.00 ","$14,113,602.00 "
Alabama A & M University,100654,2024,Football Championship Subdivision,,"$17,356,185.00 ","$215,264.00 ",$0.00 ,$0.00 ,"$2,353,153.00 ",$0.00 ,"$85,000.00 ",$0.00 ,"$2,329,016.00 ","$4,642,941.00 ","$2,151,427.00 ","$1,663,291.00 ","$3,916,093.00 ","$17,369,761.00 ","$389,213.00 ","$22,125.00 ","$1,217,120.00 ","$739,000.00 ","$842,502.00 ","$1,107,511.00 ","$12,858,649.00 "
University of Alabama at Birmingham,100663,2005,Football Bowl Subdivision,Conference USA,"$18,872,742.00 ",,$0.00 ,,"$3,156,069.00 ","$275,860.00 ","$824,617.00 ","$33,137.00 ","$2,289,499.00 ","$1,758,823.00 ","$5,474,739.00 ","$736,105.00 ","$4,234,229.00 ","$18,784,112.00 ","$1,258,730.00 ","$294,079.00 ","$2,555,134.00 ","$1,338,460.00 ","$3,076,483.00 ","$1,154,612.00 ","$6,396,125.00 "
University of Alabama at Birmingham,100663,2006,Football Bowl Subdivision,Conference USA,"$19,226,855.00 ",,$0.00 ,"$89,664.00 ","$2,938,411.00 ","$338,670.00 ","$430,043.00 ","$217,702.00 ","$1,800,874.00 ","$2,045,105.00 ","$4,103,048.00 ","$2,609,264.00 ","$4,654,074.00 ","$19,744,094.00 ","$790,156.00 ","$484,000.00 ","$3,660,487.00 ","$622,600.00 ","$2,359,967.00 ","$1,256,350.00 ","$7,885,775.00 "
University of Alabama at Birmingham,100663,2007,Football Bowl Subdivision,Conference USA,"$21,123,121.00 ",,$0.00 ,"$775,950.00 ","$3,316,359.00 ","$437,398.00 ","$526,176.00 ","$331,430.00 ","$2,034,843.00 ","$1,578,552.00 ","$4,782,532.00 ","$3,031,405.00 ","$4,308,476.00 ","$21,600,512.00 ","$469,101.00 ","$479,526.00 ","$3,226,902.00 ","$1,390,815.00 ","$2,515,909.00 ","$1,298,353.00 ","$9,513,069.00 "
University of Alabama at Birmingham,100663,2008,Football Bowl Subdivision,Conference USA,"$21,509,018.00 ",,$0.00 ,"$89,664.00 ","$2,766,640.00 ","$244,960.00 ","$535,941.00 ","$357,111.00 ","$2,212,991.00 ","$1,908,047.00 ","$5,125,499.00 ","$3,619,869.00 ","$4,648,296.00 ","$22,430,831.00 ","$434,472.00 ","$538,275.00 ","$3,440,756.00 ","$1,568,657.00 ","$2,780,550.00 ","$1,268,519.00 ","$9,074,873.00 "
University of Alabama at Birmingham,100663,2009,Football Bowl Subdivision,Conference USA,"$22,519,272.00 ",,$0.00 ,"$89,664.00 ","$2,644,712.00 ","$502,280.00 ","$561,757.00 ","$367,711.00 ","$2,346,420.00 ","$1,658,706.00 ","$5,333,748.00 ","$4,109,988.00 ","$4,904,286.00 ","$22,808,725.00 ","$126,140.00 ","$598,769.00 ","$2,944,050.00 ","$1,757,109.00 ","$3,082,232.00 ","$1,227,748.00 ","$9,817,865.00 "
University of Alabama at Birmingham,100663,2010,Football Bowl Subdivision,Conference USA,"$23,839,180.00 ",,$0.00 ,"$74,720.00 ","$2,946,280.00 ","$430,093.00 ","$536,690.00 ","$373,542.00 ","$2,202,607.00 ","$2,107,802.00 ","$5,482,736.00 ","$4,117,297.00 ","$5,567,413.00 ","$24,273,967.00 ","$464,149.00 ","$804,767.00 ","$3,061,128.00 ","$1,360,000.00 ","$3,087,320.00 ","$1,247,764.00 ","$10,794,356.00 "
University of Alabama at Birmingham,100663,2011,Football Bowl Subdivision,Conference USA,"$25,224,426.00 ",,$0.00 ,$0.00 ,"$2,927,012.00 ","$617,123.00 ","$619,333.00 ","$432,798.00 ","$2,355,461.00 ","$2,108,522.00 ","$5,826,794.00 ","$4,279,911.00 ","$6,057,472.00 ","$25,690,048.00 ","$160,352.00 ","$877,658.00 ","$2,692,625.00 ","$1,155,800.00 ","$3,045,194.00 ","$1,134,284.00 ","$12,797,605.00 "
University of Alabama at Birmingham,100663,2012,Football Bowl Subdivision,Conference USA,"$27,412,637.00 ",,$0.00 ,"$1,134,248.00 ","$3,260,596.00 ","$352,645.00 ","$620,644.00 ","$455,789.00 ","$2,694,966.00 ","$2,296,947.00 ","$6,036,108.00 ","$4,475,263.00 ","$6,085,431.00 ","$28,114,179.00 ","$361,478.00 ","$890,502.00 ","$2,995,783.00 ","$1,271,000.00 ","$2,729,028.00 ","$1,127,582.00 ","$14,533,005.00 "
University of Alabama at Birmingham,100663,2013,Football Bowl Subdivision,Conference USA,"$27,544,633.00 ",,$0.00 ,"$329,018.00 ","$3,347,796.00 ","$457,178.00 ","$982,517.00 ","$492,591.00 ","$2,633,479.00 ","$2,494,422.00 ","$5,897,936.00 ","$4,747,994.00 ","$6,161,702.00 ","$28,159,249.00 ","$562,544.00 ","$942,125.00 ","$2,456,762.00 ","$1,953,400.00 ","$3,043,835.00 ","$1,130,053.00 ","$13,089,710.00 "
University of Alabama at Birmingham,100663,2014,Football Bowl Subdivision,Conference USA,"$30,805,171.00 ",,$0.00 ,"$146,225.00 ","$4,315,257.00 ","$591,176.00 ","$622,481.00 ","$538,743.00 ","$3,055,052.00 ","$2,544,194.00 ","$6,312,950.00 ","$5,543,908.00 ","$7,135,185.00 ","$31,549,517.00 ","$1,182,050.00 ","$961,267.00 ","$3,205,602.00 ","$1,751,000.00 ","$2,938,668.00 ","$1,165,323.00 ","$15,111,516.00 "
University of Alabama at Birmingham,100663,2015,Football Bowl Subdivision,Conference USA,"$31,066,375.00 ",,$0.00 ,"$222,778.00 ","$4,125,804.00 ","$522,110.00 ","$2,747,823.00 ","$468,898.00 ","$3,034,823.00 ","$2,949,140.00 ","$6,109,951.00 ","$4,850,710.00 ","$6,034,338.00 ","$31,896,726.00 ","$357,827.00 ","$963,240.00 ","$3,327,715.00 ","$1,625,514.00 ","$4,008,248.00 ","$2,006,402.00 ","$14,106,645.00 "
University of Alabama at Birmingham,100663,2016,Football Bowl Subdivision,Conference USA,"$30,847,992.00 ","$243,718.00 ",$0.00 ,$0.00 ,"$3,659,748.00 ","$494,935.00 ","$2,087,562.00 ","$741,628.00 ","$2,354,027.00 ","$2,668,263.00 ","$6,595,161.00 ","$5,178,220.00 ","$6,824,730.00 ","$32,453,663.00 ","$728,243.00 ","$1,019,361.00 ","$5,852,142.00 ","$40,000.00 ","$2,543,282.00 ","$1,285,781.00 ","$14,651,654.00 "
University of Alabama at Birmingham,100663,2017,Football Bowl Subdivision,Conference USA,"$23,803,547.00 ","$224,187.00 ",$0.00 ,$0.00 ,"$2,875,467.00 ","$362,826.00 ","$926,005.00 ","$578,933.00 ","$2,244,627.00 ","$2,923,110.00 ","$4,616,135.00 ","$4,065,139.00 ","$4,987,118.00 ","$24,795,218.00 ","$534,630.00 ","$381,621.00 ","$5,552,809.00 ","$113,000.00 ","$1,493,246.00 ","$1,239,484.00 ","$11,081,728.00 "
University of Alabama at Birmingham,100663,2018,Football Bowl Subdivision,Conference USA,"$35,809,571.00 ","$436,253.00 ",$0.00 ,$0.00 ,"$4,075,242.00 ","$557,932.00 ","$788,930.00 ","$655,128.00 ","$4,358,731.00 ","$3,835,986.00 ","$6,728,016.00 ","$5,850,694.00 ","$8,522,659.00 ","$34,736,287.00 ","$509,228.00 ","$1,086,265.00 ","$5,350,988.00 ","$1,912,000.00 ","$2,971,079.00 ","$1,948,752.00 ","$14,722,275.00 "
University of Alabama at Birmingham,100663,2019,Football Bowl Subdivision,Conference USA,"$35,697,117.00 ","$402,725.00 ",$0.00 ,$0.00 ,"$3,902,930.00 ","$570,675.00 ","$844,107.00 ","$715,339.00 ","$4,301,680.00 ","$3,928,043.00 ","$7,754,673.00 ","$5,246,569.00 ","$8,030,376.00 ","$36,494,381.00 ","$371,304.00 ","$1,416,697.00 ","$4,864,553.00 ","$1,699,500.00 ","$3,441,512.00 ","$1,592,015.00 ","$15,849,232.00 "
University of Alabama at Birmingham,100663,2020,Football Bowl Subdivision,Conference USA,"$35,441,324.00 ","$403,672.00 ",$0.00 ,"$290,794.00 ","$4,078,390.00 ","$561,347.00 ","$732,426.00 ","$508,630.00 ","$3,797,198.00 ","$4,068,030.00 ","$7,822,728.00 ","$5,441,451.00 ","$7,736,658.00 ","$35,725,431.00 ","$891,429.00 ","$2,007,439.00 ","$3,589,607.00 ","$1,669,050.00 ","$2,540,223.00 ","$1,585,356.00 ","$16,051,637.00 "
University of Alabama at Birmingham,100663,2021,Football Bowl Subdivision,Conference USA,"$34,303,084.00 ","$624,882.00 ",$0.00 ,"$363,708.00 ","$3,651,271.00 ","$419,000.00 ","$664,443.00 ","$58,076.00 ","$2,579,468.00 ","$4,059,974.00 ","$7,881,962.00 ","$5,873,992.00 ","$8,126,308.00 ","$35,446,863.00 ","$745,941.00 ","$1,261,858.00 ","$4,611,647.00 ","$1,503,000.00 ","$2,948,044.00 ","$916,584.00 ","$16,308,177.00 "
University of Alabama at Birmingham,100663,2022,Football Bowl Subdivision,Conference USA,"$39,890,894.00 ","$512,260.00 ",$0.00 ,"$154,563.00 ","$4,489,642.00 ","$564,198.00 ","$752,566.00 ","$627,315.00 ","$5,160,147.00 ","$4,739,887.00 ","$8,729,781.00 ","$5,907,170.00 ","$8,253,365.00 ","$38,351,074.00 ","$570,003.00 ","$2,199,815.00 ","$5,243,833.00 ","$2,047,450.00 ","$1,832,180.00 ","$2,306,791.00 ","$16,420,577.00 "
University of Alabama at Birmingham,100663,2023,Football Bowl Subdivision,Conference USA,"$42,207,368.00 ","$624,799.00 ",$0.00 ,"$320,685.00 ","$4,388,650.00 ","$596,192.00 ","$1,011,715.00 ","$873,249.00 ","$5,490,403.00 ","$4,840,019.00 ","$8,966,266.00 ","$6,598,316.00 ","$8,497,074.00 ","$40,530,725.00 ","$596,931.00 ","$2,411,288.00 ","$4,701,471.00 ","$1,814,000.00 ","$1,749,573.00 ","$2,490,213.00 ","$19,260,476.00 "
University of Alabama at Birmingham,100663,2024,Football Bowl Subdivision,American Athletic Conference,"$42,655,845.00 ","$846,446.00 ",$0.00 ,$0.00 ,"$4,423,491.00 ","$486,357.00 ","$1,049,699.00 ","$806,532.00 ","$5,099,621.00 ","$5,196,765.00 ","$9,518,787.00 ","$6,561,992.00 ","$8,666,155.00 ","$43,271,595.00 ","$629,623.00 ","$2,882,765.00 ","$4,027,652.00 ","$1,951,175.00 ","$5,617,382.00 ","$2,312,881.00 ","$18,567,672.00 "
Alabama State University,100724,2005,Football Championship Subdivision,,"$5,622,494.00 ",,$0.00 ,$0.00 ,"$260,653.00 ","$156,000.00 ","$6,000.00 ","$142,957.00 ","$489,383.00 ","$858,204.00 ","$1,450,932.00 ","$563,039.00 ","$1,695,326.00 ","$5,814,525.00 ","$9,500.00 ","$10,000.00 ","$407,234.00 ","$117,000.00 ","$117,500.00 ","$1,036,225.00 ","$4,117,066.00 "
Alabama State University,100724,2006,Football Championship Subdivision,,"$5,155,421.00 ",,$0.00 ,$0.00 ,"$209,436.00 ","$187,909.00 ","$3,500.00 ","$93,627.00 ","$315,614.00 ","$924,390.00 ","$1,272,282.00 ","$525,098.00 ","$1,623,565.00 ","$5,663,446.00 ","$5,356.00 ","$50,800.00 ","$153,054.00 ","$150,000.00 ",$0.00 ,"$812,105.00 ","$4,492,131.00 "
Alabama State University,100724,2007,Football Championship Subdivision,,"$6,048,175.00 ",,$0.00 ,$0.00 ,"$243,472.00 ","$210,375.00 ",$0.00 ,"$186,061.00 ","$558,891.00 ","$952,731.00 ","$1,463,819.00 ","$686,231.00 ","$1,746,595.00 ","$6,048,175.00 ","$29,035.00 ","$25,000.00 ",$0.00 ,"$177,370.00 ",$0.00 ,"$1,004,738.00 ","$4,812,032.00 "
Alabama State University,100724,2008,Football Championship Subdivision,,"$7,194,226.00 ",,$0.00 ,$0.00 ,"$750,761.00 ","$185,289.00 ","$9,800.00 ","$161,285.00 ","$787,756.00 ","$889,046.00 ","$1,592,924.00 ","$779,693.00 ","$2,037,672.00 ","$7,194,226.00 ","$40,437.00 ","$12,213.00 ","$79,008.00 ","$418,536.00 ","$473,035.00 ","$811,068.00 ","$5,359,929.00 "
Alabama State University,100724,2009,Football Championship Subdivision,,"$8,455,982.00 ",,$0.00 ,$0.00 ,"$1,105,257.00 ","$209,584.00 ","$29,700.00 ","$147,288.00 ","$680,693.00 ","$533,249.00 ","$1,575,651.00 ","$1,369,227.00 ","$2,805,333.00 ","$8,455,982.00 ","$29,840.00 ","$252,000.00 ","$45,512.00 ","$390,515.00 ","$794,948.00 ","$688,037.00 ","$6,255,130.00 "
Alabama State University,100724,2010,Football Championship Subdivision,,"$9,046,867.00 ",,$0.00 ,$0.00 ,"$786,397.00 ","$170,556.00 ","$8,000.00 ","$135,204.00 ","$860,882.00 ","$508,462.00 ","$1,572,400.00 ","$1,510,555.00 ","$3,494,411.00 ","$9,046,867.00 ","$40,065.00 ","$222,956.00 ","$109,506.00 ","$336,344.00 ","$657,498.00 ","$760,745.00 ","$6,919,753.00 "
Alabama State University,100724,2011,Football Championship Subdivision,,"$10,614,081.00 ",,$0.00 ,$0.00 ,"$899,578.00 ","$230,997.00 ","$11,500.00 ","$163,430.00 ","$1,158,187.00 ","$686,072.00 ","$2,338,153.00 ","$1,265,792.00 ","$3,860,372.00 ","$10,614,081.00 ","$68,557.00 ","$103,000.00 ","$91,653.00 ","$683,367.00 ","$853,079.00 ","$729,521.00 ","$8,084,904.00 "
Alabama State University,100724,2012,Football Championship Subdivision,,"$11,718,348.00 ",,$0.00 ,$0.00 ,"$965,589.00 ","$406,960.00 ","$10,109.00 ","$155,920.00 ","$1,145,686.00 ","$826,282.00 ","$2,650,605.00 ","$1,616,494.00 ","$3,940,703.00 ","$11,718,348.00 ","$112,632.00 ","$120,000.00 ","$84,398.00 ","$464,574.00 ","$867,788.00 ","$711,799.00 ","$9,357,157.00 "
Alabama State University,100724,2013,Football Championship Subdivision,,"$14,145,373.00 ",,$0.00 ,$0.00 ,"$1,590,417.00 ","$311,409.00 ","$139,002.00 ","$204,103.00 ","$1,459,757.00 ","$883,604.00 ","$2,890,439.00 ","$1,379,556.00 ","$5,287,086.00 ","$14,145,373.00 ","$50,655.00 ","$23,384.00 ","$84,398.00 ","$256,342.00 ","$758,601.00 ","$797,323.00 ","$12,174,670.00 "
Alabama State University,100724,2014,Football Championship Subdivision,,"$14,070,309.00 ",,$0.00 ,$0.00 ,"$1,599,137.00 ","$388,577.00 ","$146,500.00 ","$285,989.00 ","$1,653,183.00 ","$1,102,932.00 ","$2,844,014.00 ","$1,577,628.00 ","$4,472,349.00 ","$14,070,309.00 ","$167,099.00 ","$184,750.00 ","$147,985.00 ","$628,230.00 ","$790,160.00 ","$1,401,730.00 ","$10,750,355.00 "
Alabama State University,100724,2015,Football Championship Subdivision,,"$14,597,561.00 ",,$0.00 ,$0.00 ,"$772,323.00 ","$394,819.00 ","$80,500.00 ","$310,272.00 ","$1,940,156.00 ","$1,346,311.00 ","$3,309,471.00 ","$1,645,918.00 ","$4,797,791.00 ","$14,597,561.00 ","$61,671.00 ","$147,250.00 ","$350,740.00 ","$244,633.00 ","$918,411.00 ","$1,009,652.00 ","$11,865,204.00 "
Alabama State University,100724,2016,Football Championship Subdivision,,"$15,105,343.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,875,725.00 ","$553,035.00 ","$76,000.00 ","$271,638.00 ","$1,618,834.00 ","$973,174.00 ","$3,446,449.00 ","$1,335,222.00 ","$4,955,266.00 ","$15,255,219.00 ","$62,592.00 ","$155,740.00 ","$97,691.00 ","$163,800.00 ","$1,172,196.00 ","$1,052,831.00 ","$12,550,369.00 "
Alabama State University,100724,2017,Football Championship Subdivision,,"$14,374,967.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,299,959.00 ","$149,690.00 ","$79,500.00 ","$180,180.00 ","$1,445,023.00 ","$597,829.00 ","$3,331,236.00 ","$1,681,590.00 ","$5,609,960.00 ","$14,374,967.00 ","$59,695.00 ","$188,900.00 ","$311,716.00 ","$1,028,243.00 ","$770,783.00 ","$1,551,690.00 ","$10,463,940.00 "
Alabama State University,100724,2018,Football Championship Subdivision,,"$13,828,387.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,142,884.00 ","$195,833.00 ","$174,500.00 ","$201,656.00 ","$1,237,200.00 ","$845,013.00 ","$3,646,509.00 ","$1,316,271.00 ","$5,068,521.00 ","$13,551,412.00 ","$192,074.00 ","$248,420.00 ","$278,621.00 ","$786,000.00 ","$1,088,518.00 ","$1,350,292.00 ","$9,607,487.00 "
Alabama State University,100724,2019,Football Championship Subdivision,,"$13,443,801.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,131,301.00 ","$36,148.00 ","$173,000.00 ","$107,486.00 ","$1,468,809.00 ","$972,770.00 ","$3,646,509.00 ","$1,316,271.00 ","$4,591,507.00 ","$13,429,886.00 ","$95,571.00 ","$212,500.00 ","$144,168.00 ","$934,230.00 ","$545,441.00 ","$1,218,991.00 ","$10,278,985.00 "
Alabama State University,100724,2020,Football Championship Subdivision,,"$12,444,749.00 ",$0.00 ,$0.00 ,$0.00 ,"$860,733.00 ","$475,676.00 ",$0.00 ,"$111,624.00 ","$1,050,166.00 ","$779,846.00 ","$3,518,686.00 ","$1,502,213.00 ","$4,145,805.00 ","$12,389,966.00 ","$11,071.00 ","$330,000.00 ","$216,376.00 ","$889,523.00 ","$734,744.00 ","$448,585.00 ","$9,759,667.00 "
Alabama State University,100724,2021,Football Championship Subdivision,,"$12,789,161.00 ",$0.00 ,$0.00 ,$0.00 ,"$930,675.00 ","$361,870.00 ","$65,000.00 ","$89,884.00 ","$902,168.00 ","$1,245,640.00 ","$3,217,448.00 ","$1,644,193.00 ","$4,332,283.00 ","$12,848,452.00 ","$61,372.00 ",$0.00 ,"$203,136.00 ","$3,000.00 ","$1,248,191.00 ","$400,421.00 ","$10,932,332.00 "
Alabama State University,100724,2022,Football Championship Subdivision,,"$17,892,138.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,930,512.00 ","$228,497.00 ","$86,428.00 ","$235,719.00 ","$3,030,557.00 ","$3,026,255.00 ","$3,475,182.00 ","$1,780,954.00 ","$4,098,034.00 ","$14,550,273.00 ","$43,886.00 ","$24,126.00 ","$651,466.00 ","$1,992,300.00 ","$1,293,197.00 ","$1,105,382.00 ","$9,439,916.00 "
Alabama State University,100724,2023,Football Championship Subdivision,,"$17,851,683.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,100,877.00 ",$0.00 ,$0.00 ,"$324,588.00 ","$2,053,815.00 ","$2,704,769.00 ","$4,196,554.00 ","$2,093,786.00 ","$4,377,294.00 ","$18,045,094.00 ","$204,340.00 ",$175.00 ,"$1,202,485.00 ","$284,000.00 ","$1,183,558.00 ","$2,004,896.00 ","$13,165,640.00 "
Alabama State University,100724,2024,Football Championship Subdivision,,,,,,,,,,,,,,,,,,,,,,
