home_team,home_id
Midwestern State,2395
Miles College,2396
Millersville,210
Millikin,74
Millsaps,2398
Minnesota,135
Minnesota Duluth,134
Minnesota Morris,2399
Minnesota State Mankato,2364
Minnesota State Moorhead,2817
Minot State,568
Misericordia,2969
Mississippi State,344
Mississippi Valley State,2400
Missouri,142
Missouri S&T,2402
Missouri Southern State,2403
Missouri State,2623
Missouri Western,137
Monmouth,2405
Monmouth (IL),2919
Montana,149
Montana State,147
Montclair State,2818
Moravian,323
Morehead State,2413
Morehouse College,60
Morgan State,2415
Mount St. Joseph,2419
Muhlenberg,2422
Murray State,93
Muskingum University,332
NC State,152
NEWBERG,415
Navy,2426
Nebraska,158
Nebraska Wesleyan,6845
Nebraska-Kearney,2438
Nevada,2440
New England College,131108
New Hampshire,160
New Haven,2441
New Mexico,167
New Mexico Highlands,2424
New Mexico State,166
Newberry,2444
Nicholls,2447
Nichols College,2884
Norfolk State,2450
North Alabama,2453
North Carolina,153
North Carolina A&T,2448
North Carolina Central,2428
North Carolina Wesleyan,286
North Central College,3071
North Dakota,155
North Dakota State,2449
North Greenville,2822
North Park,75
North Texas,249
Northeastern State,196
Northern Arizona,2464
Northern Colorado,2458
Northern Illinois,2459
Northern Iowa,2460
Northern Michigan,128
Northern State,425
Northwest Missouri St,138
Northwestern,77
Northwestern (MN),583
Northwestern Oklahoma State,2823
Northwestern State,2466
Northwood (MI),2886
Norwich,2467
Notre Dame,87
Oberlin,391
Ohio,195
Ohio Dominican,2477
Ohio Northern,427
Ohio State,194
Ohio Wesleyan,2980
Oklahoma,201
Oklahoma Baptist,319
Oklahoma State,197
Old Dominion,295
Ole Miss,145
Olivet College,354
Oregon,2483
Oregon State,204
Otterbein,359
Ouachita Baptist,2888
Pace,2487
Pacific (OR),205
Pacific Lutheran,2486
Penn State,213
PennWest California,2858
Pennsylvania,219
Phoenix,108358
Pittsburg St,90
Pittsburgh,221
Plymouth State,2972
Point University,3179
Pomona Pitzer,2923
Portland State,2502
Post University,126086
Prairie View A&M,2504
Presbyterian,2506
Princeton,163
Puget Sound,2508
Purdue,2509
Quincy,2825
Randolph-Macon,2516
Reading,111674
Redlands,29
Rensselaer,2528
Rhode Island,227
Rhodes College,2519
Rice,242
Richmond,257
Ripon,2891
Roanoke College,131109
Robert Morris,2523
Rockford,2524
Roosevelt,127991
Rose-Hulman,86
Rowan,2827
Rutgers,164
SE Louisiana,2545
SMU,2567
SUNY Maritime,2951
SUNY Morrisville,3110
Sacramento State,16
Sacred Heart,2529
Saginaw Valley State,129
Saint John's (MN),2600
Saint Vincent,2614
Salisbury,2532
Salve Regina,2776
Sam Houston,2534
Samford,2535
San Diego,301
San Diego State,21
San Jos?? State,23
San Jos‚ State,23
Savannah St,2542
Seton Hill,611
Sewanee,2553
Shaw,2551
Shenandoah,2828
Shepherd,2974
Shippensburg,2559
Shorter,2560
Simpson College (IA),2564
Sioux Falls,2894
Slippery Rock,215
South Alabama,6
South Carolina,2579
South Carolina State,2569
South Dakota,233
South Dakota Mines,613
South Dakota State,2571
South Florida,58
Southeast Missouri State,2546
Southeastern Oklahoma State,199
Southern,2582
Southern Arkansas,2568
Southern Connecticut State,2583
Southern Illinois,79
Southern Miss,2572
Southern Nazarene,200
Southern Utah,253
Southern Virginia,2896
Southwest Baptist,2586
Southwest Minnesota State,2587
Southwestern Oklahoma State,2927
Southwestern University,2588
Springfield,81
St John Fisher University,374
St. Anselm,2830
St. Francis (PA),2598
St. Lawrence,2779
St. Norbert,2832
St. Olaf,133
St. Scholastica,375
St. Thomas (MN),2900
Stanford,24
Stephen F. Austin,2617
Stetson,56
Stevenson,471
Stonehill,284
Stony Brook,2619
Sul Ross State,2834
Susquehanna,216
Syracuse,183
TCU,2628
Tarleton State,2627
Temple,218
Tennessee,2633
Tennessee State,2634
Tennessee Tech,2635
Texas,251
Texas A&M,245
Texas A&M-Kingsville,2658
Texas Lutheran,2639
Texas Southern,2640
Texas State,326
Texas Tech,2641
The Citadel,2643
Thiel,2644
Thomas More College,2646
Tiffin,2838
Toledo,2649
Towson,119
Trine University,2651
Trinity (CT),2977
Trinity University TX,386
Troy,2653
Truman State,2654
Tufts,112
Tulane,2655
Tulsa,202
Tuskegee,2657
UAB,5
UAlbany,399
UC Davis,302
UCF,2116
UCLA,26
UConn,41
UL Monroe,2433
UMass Dartmouth,379
UNC Pembroke,2882
UNLV,2439
USC,30
UT Martin,2630
UT Permian Basin,110243
UT Rio Grande Valley,292
UTEP,2638
UTSA,2636
UVA Wise,2842
Union (NY),237
University Of Charleston (WV),2128
University of Mary,559
University of Mount Union,426
University of Rochester (NY),184
Upper Iowa University,389
Ursinus,2667
Utah,254
Utah State,328
Utah Tech,3101
Utica,390
VMI,2678
Valdosta State,2673
Valley City State,628
Valparaiso,2674
Vanderbilt,238
Villanova,222
Virginia,258
Virginia St,330
Virginia Tech,259
Virginia Union,2676
Wabash College,89
Wagner,2681
Wake Forest,154
Walsh,2682
Wartburg,2685
Washburn,2687
Washington,264
Washington & Jefferson,2686
Washington State,265
Washington University (St. Louis),143
Washington and Lee,2688
Wayne State (MI),131
Wayne State (NE),2844
Waynesburg,2845
Weber State,2692
Wesleyan University (CT),336
West Alabama,2695
West Chester,223
West Florida,110242
West Georgia,2698
West Liberty,2699
West Texas A&M,2704
West Virginia,277
West Virginia State,2707
West Virginia Wesleyan,455
Western Carolina,2717
Western Colorado,2714
Western Connecticut St,2843
Western Illinois,2710
Western Kentucky,98
Western Michigan,2711
Western New England,2702
Western New Mexico,2703
Western Oregon,2848
Westfield State,2909
Westminster (PA),2849
Westminster College (MO),433
Wheaton,396
Wheeling,112335
Whitworth,2721
Widener,2725
Wilkes,398
Willamette,2930
William & Mary,2729
William Jewell,2911
William Paterson,2970
Williams,2731
Wilmington (OH),2733
Wilson,122666
Wingate,351
Winona State,2851
Winston-Salem,2736
Wisconsin,275
Wisconsin-Eau Claire,2738
Wisconsin-Lacrosse,2740
Wisconsin-Lutheran,2741
Wisconsin-Oshkosh,271
Wisconsin-Platteville,272
Wisconsin-River Falls,2723
Wisconsin-Stevens Pt,2743
Wisconsin-Stout,2744
Wisconsin-Whitewater,2745
Wittenberg,2746
Wofford,2747
Wooster,2748
Worcester Polytechnic Institute,2749
Worcester St,402
Wyoming,2751
Yale,43
Youngstown State,2754
