gameid,season,seasontype,startdate,team,conference,opponent,opponentconference,seasonlabel,tournament,starttimetbd,teamid,teamseed,opponentid,opponentseed,neutralsite,ishome,conferencegame,gametype,notes
77726,2012,regular,2011-11-08T00:00:00.000Z,St. John's,Big East,William & Mary,CAA,20112012,,False,279,,353,,False,True,False,STD,
77726,2012,regular,2011-11-08T00:00:00.000Z,William & Mary,CAA,St. John's,Big East,20112012,,False,353,,279,,False,False,False,STD,
77727,2012,regular,2011-11-08T01:00:00.000Z,Mississippi State,SEC,Eastern Kentucky,OVC,20112012,,False,174,,78,,False,True,False,STD,
77727,2012,regular,2011-11-08T01:00:00.000Z,Eastern Kentucky,OVC,Mississippi State,SEC,20112012,,False,78,,174,,False,False,False,STD,
77728,2012,regular,2011-11-08T02:00:00.000Z,Arizona,Pac-12,Valparaiso,Horizon,20112012,,False,11,,335,,False,True,False,STD,
77728,2012,regular,2011-11-08T02:00:00.000Z,Valparaiso,Horizon,Arizona,Pac-12,20112012,,False,335,,11,,False,False,False,STD,
77729,2012,regular,2011-11-10T00:00:00.000Z,St. John's,Big East,Lehigh,Patriot,20112012,,False,279,,141,,False,True,False,STD,
77729,2012,regular,2011-11-10T00:00:00.000Z,Lehigh,Patriot,St. John's,Big East,20112012,,False,141,,279,,False,False,False,STD,
77730,2012,regular,2011-11-10T00:00:00.000Z,Mississippi State,SEC,Akron,MAC,20112012,,False,174,,3,,False,True,False,STD,
77730,2012,regular,2011-11-10T00:00:00.000Z,Akron,MAC,Mississippi State,SEC,20112012,,False,3,,174,,False,False,False,STD,
77731,2012,regular,2011-11-10T01:00:00.000Z,Texas A&M,Big 12,Liberty,Big South,20112012,,False,293,,142,,False,True,False,STD,
77731,2012,regular,2011-11-10T01:00:00.000Z,Liberty,Big South,Texas A&M,Big 12,20112012,,False,142,,293,,False,False,False,STD,
77732,2012,regular,2011-11-10T02:00:00.000Z,Arizona,Pac-12,Duquesne,A-10,20112012,,False,11,,73,,False,True,False,STD,
77732,2012,regular,2011-11-10T02:00:00.000Z,Duquesne,A-10,Arizona,Pac-12,20112012,,False,73,,11,,False,False,False,STD,
77749,2012,regular,2011-11-11T17:00:00.000Z,New Mexico,Mountain West,New Orleans,Indep.,20112012,,True,191,,193,,False,True,False,STD,
