week,season,team,conference,off_plays,off_drives,off_ppa,off_totalPPA,off_successRate,off_explosiveness,off_powerSuccess,off_stuffRate,off_lineYards,off_lineYardsTotal,off_secondLevelYards,off_secondLevelYardsTotal,off_openFieldYards,off_openFieldYardsTotal,off_totalOpportunies,off_pointsPerOpportunity,off_fieldPosition,off_fieldPosition,off_havoc,off_havoc,off_havoc,off_standardDowns,off_standardDowns,off_standardDowns,off_standardDowns,off_passingDowns,off_passingDowns,off_passingDowns,off_passingDowns,off_rushingPlays,off_rushingPlays,off_rushingPlays,off_rushingPlays,off_rushingPlays,off_passingPlays,off_passingPlays,off_passingPlays,off_passingPlays,off_passingPlays,def_plays,def_drives,def_ppa,def_totalPPA,def_successRate,def_explosiveness,def_powerSuccess,def_stuffRate,def_lineYards,def_lineYardsTotal,def_secondLevelYards,def_secondLevelYardsTotal,def_openFieldYards,def_openFieldYardsTotal,def_totalOpportunies,def_pointsPerOpportunity,def_fieldPosition,def_fieldPosition,def_havoc,def_havoc,def_havoc,def_standardDowns,def_standardDowns,def_standardDowns,def_standardDowns,def_passingDowns,def_passingDowns,def_passingDowns,def_passingDowns,def_passingDowns,def_rushingPlays,def_rushingPlays,def_rushingPlays,def_rushingPlays,def_rushingPlays,def_passingPlays,def_passingPlays,def_passingPlays,def_passingPlays,def_passingPlays
1,2020,Arkansas State,Sun Belt,78,12,0.2029039778878372,15.826510275251303,0.5,1.1862164598341567,0.8333333333333334,0.1515151515151515,3.23939393939394,107,1.3333333333333333,44.0,0.6666666666666666,22.0,7,3.4285714285714284,73.1,1.121,0.1794871794871795,0.0897435897435897,0.0897435897435897,0.7435897435897436,0.1095337262814755,0.5,1.118120723254891,0.2564102564102564,0.4736777075462861,0.5,1.3836940959140267,0.4230769230769231,0.1419202763026656,4.683369117987965,0.5151515151515151,0.8360605386507205,0.5769230769230769,0.2476253590502964,11.143141157263338,0.4888888888888889,1.456791489839539,84,12,0.3252202434844865,27.318500452696867,0.4761904761904761,1.3077025590257512,0.6666666666666666,0.2708333333333333,2.4604166666666667,118,1.4166666666666667,68.0,0.8958333333333334,43.0,8,4.75,71.3,-1.422,0.1071428571428571,0.0833333333333333,0.0238095238095238,0.7142857142857143,0.1604227013766097,0.5,1.009491505606883,0.2857142857142857,0.7372140987541783,25.400441973172143,0.4166666666666667,2.202335719282356,0.5714285714285714,0.039959551656765,1.9180584795247209,0.4166666666666667,0.9559021535355,0.4285714285714285,0.7055678325881152,25.400441973172143,0.5555555555555556,1.6595029645160024
1,2020,Army,American Athletic,66,6,0.3782783059882901,24.96636819522715,0.5,1.0788591989087726,1.0,0.0483870967741935,3.695161290322581,229,0.8387096774193549,52.0,1.0161290322580645,63.0,5,7.0,67.7,1.765,0.0454545454545454,0.0303030303030303,0.0151515151515151,0.8333333333333334,0.2804878248919283,0.4727272727272727,0.9450268573332063,0.1666666666666666,0.867230711470099,0.6363636363636364,1.575950753332304,0.9393939393939394,0.3687544855829793,22.86277810614472,0.5,1.041292861986555,0.0606060606060606,0.5258975222706076,2.1035900890824304,0.5,1.661137421203151,48,7,-0.1877981906614416,-9.014313151749198,0.3958333333333333,0.8308695214864722,0.5,0.25,2.1875,53,1.2916666666666667,31.0,0.9583333333333334,23.0,2,0.0,75.7,-0.891,0.25,0.1666666666666666,0.0833333333333333,0.6875,-0.0445735547755051,0.5151515151515151,0.6549737648860507,0.3125,-0.5028923896105019,-5.936336717050319,0.1333333333333333,2.325983452590054,0.5,-0.1282490181124533,-3.07797643469888,0.375,0.893880018801272,0.5,-0.2473473632104299,-5.936336717050319,0.4166666666666667,0.7741600739031523
1,2020,BYU,Big 12,71,12,0.4617456990001867,32.783944629013256,0.6056338028169014,1.2009214668615111,0.75,0.1836734693877551,3.326530612244898,163,1.3673469387755102,67.0,2.1020408163265305,103.0,10,4.8,63.6,1.985,0.0845070422535211,0.056338028169014,0.028169014084507,0.8309859154929577,0.3833605568915118,0.6101694915254238,1.0309924275376574,0.1690140845070422,0.8471393143678384,0.5833333333333334,2.0748422405270444,0.6901408450704225,0.2936931569624615,14.390964691160615,0.5714285714285714,1.017262658832452,0.3098591549295774,0.8360445426296655,18.39297993785264,0.6818181818181818,1.5437512418490882,47,13,-0.2502112278054518,-11.759927706856232,0.2340425531914893,0.9167480495235628,0.6666666666666666,0.2,2.06,72,0.6285714285714286,22.0,1.3714285714285714,48.0,3,1.0,72.8,-1.118,0.2553191489361702,0.2127659574468085,0.0425531914893617,0.574468085106383,-0.2481193814074783,0.4074074074074074,0.9167480495235628,0.425531914893617,-0.2530352204427158,-3.3017088935428296,0.0,,0.7446808510638298,-0.2416633946660972,-8.458218813313405,0.2857142857142857,0.9249190435729204,0.2553191489361702,-0.2751424077952358,-3.3017088935428296,0.0833333333333333,0.8350381090299867
1,2020,Marshall,Sun Belt,83,11,0.533292398845916,44.26326910421102,0.6385542168674698,1.17081845978453,0.9230769230769232,0.0576923076923076,4.092307692307692,213,1.5,78.0,0.8461538461538461,44.0,8,6.5,68.5,1.519,0.0602409638554216,0.036144578313253,0.0240963855421686,0.8313253012048193,0.3851284405682117,0.6521739130434783,0.94562839393535,0.1686746987951807,1.263529050357458,0.5714285714285714,2.437512580186169,0.6265060240963856,0.3833653496131466,19.934998179883625,0.6346153846153846,0.844492174190724,0.3734939759036144,0.7847829330428192,24.328270924327395,0.6451612903225806,1.70925683101431,47,10,-0.0961557515968052,-4.519320325049848,0.2765957446808511,1.035657407283218,0.3333333333333333,0.1379310344827586,2.475862068965517,72,0.4482758620689655,13.0,0.4482758620689655,13.0,3,0.0,76.6,-0.822,0.1063829787234042,0.0851063829787234,0.0212765957446808,0.574468085106383,-0.2343141009406984,0.3333333333333333,0.583418386899828,0.425531914893617,0.0903580200174504,-1.533352572310572,0.2,2.053195203145846,0.6170212765957447,-0.1029644052668715,-2.9859677527392763,0.3103448275862069,0.6226839266836816,0.3829787234042553,-0.085186254017254,-1.533352572310572,0.2222222222222222,1.9648477386321752
1,2020,Memphis,American Athletic,84,12,0.3252202434844865,27.318500452696867,0.4761904761904761,1.3077025590257512,0.6666666666666666,0.2708333333333333,2.4604166666666667,118,1.4166666666666667,68.0,0.8958333333333334,43.0,8,4.75,71.3,1.422,0.1071428571428571,0.0833333333333333,0.0238095238095238,0.7142857142857143,0.1604227013766097,0.5,1.009491505606883,0.2857142857142857,0.7372140987541783,0.4166666666666667,2.202335719282356,0.5714285714285714,0.039959551656765,1.9180584795247209,0.4166666666666667,0.9559021535355,0.4285714285714285,0.7055678325881152,25.400441973172143,0.5555555555555556,1.6595029645160024,78,12,0.2029039778878372,15.826510275251303,0.5,1.1862164598341567,0.8333333333333334,0.1515151515151515,3.23939393939394,107,1.3333333333333333,44.0,0.6666666666666666,22.0,7,3.4285714285714284,73.1,-1.121,0.1794871794871795,0.0897435897435897,0.0897435897435897,0.7435897435897436,0.1095337262814755,0.5,1.118120723254891,0.2564102564102564,0.4736777075462861,11.143141157263338,0.5,1.3836940959140267,0.4230769230769231,0.1419202763026656,4.683369117987965,0.5151515151515151,0.8360605386507205,0.5769230769230769,0.2476253590502964,11.143141157263338,0.4888888888888889,1.456791489839539
1,2020,Middle Tennessee,Conference USA,48,7,-0.1877981906614416,-9.014313151749198,0.3958333333333333,0.8308695214864722,0.5,0.25,2.1875,53,1.2916666666666667,31.0,0.9583333333333334,23.0,2,0.0,75.7,0.891,0.25,0.1666666666666666,0.0833333333333333,0.6875,-0.0445735547755051,0.5151515151515151,0.6549737648860507,0.3125,-0.5028923896105019,0.1333333333333333,2.325983452590054,0.5,-0.1282490181124533,-3.07797643469888,0.375,0.893880018801272,0.5,-0.2473473632104299,-5.936336717050319,0.4166666666666667,0.7741600739031523,66,6,0.3782783059882901,24.96636819522715,0.5,1.0788591989087726,1.0,0.0483870967741935,3.695161290322581,229,0.8387096774193549,52.0,1.0161290322580645,63.0,5,7.0,67.7,-1.765,0.0454545454545454,0.0303030303030303,0.0151515151515151,0.8333333333333334,0.2804878248919283,0.4727272727272727,0.9450268573332063,0.1666666666666666,0.867230711470099,2.1035900890824304,0.6363636363636364,1.575950753332304,0.9393939393939394,0.3687544855829793,22.86277810614472,0.5,1.041292861986555,0.0606060606060606,0.5258975222706076,2.1035900890824304,0.5,1.661137421203151
1,2020,Navy,American Athletic,47,13,-0.2502112278054518,-11.759927706856232,0.2340425531914893,0.9167480495235628,0.6666666666666666,0.2,2.06,72,0.6285714285714286,22.0,1.3714285714285714,48.0,3,1.0,72.8,1.118,0.2553191489361702,0.2127659574468085,0.0425531914893617,0.574468085106383,-0.2481193814074783,0.4074074074074074,0.9167480495235628,0.425531914893617,-0.2530352204427158,0.0,,0.7446808510638298,-0.2416633946660972,-8.458218813313405,0.2857142857142857,0.9249190435729204,0.2553191489361702,-0.2751424077952358,-3.3017088935428296,0.0833333333333333,0.8350381090299867,71,12,0.4617456990001867,32.783944629013256,0.6056338028169014,1.2009214668615111,0.75,0.1836734693877551,3.326530612244898,163,1.3673469387755102,67.0,2.1020408163265305,103.0,10,4.8,63.6,-1.985,0.0845070422535211,0.056338028169014,0.028169014084507,0.8309859154929577,0.3833605568915118,0.6101694915254238,1.0309924275376574,0.1690140845070422,0.8471393143678384,18.39297993785264,0.5833333333333334,2.0748422405270444,0.6901408450704225,0.2936931569624615,14.390964691160615,0.5714285714285714,1.017262658832452,0.3098591549295774,0.8360445426296655,18.39297993785264,0.6818181818181818,1.5437512418490882
1,2020,North Texas,American Athletic,86,13,0.5824923399532158,50.09434123597656,0.5116279069767442,1.6212881315156695,0.8571428571428571,0.0769230769230769,3.425,178,1.1923076923076923,62.0,2.6538461538461537,138.0,9,5.777777777777778,74.8,1.028,0.0813953488372093,0.0232558139534883,0.0581395348837209,0.6976744186046512,0.4389488155510553,0.5166666666666667,1.4244899072442263,0.3023255813953488,0.9137466270351244,0.5,2.090576204778342,0.6046511627906976,0.3218908870227191,16.738326125181395,0.4807692307692308,1.1979239926972725,0.3953488372093023,0.9810592679645636,33.35601511079516,0.5588235294117647,2.1783462089082977,86,13,0.2951795189451562,25.38543862928344,0.4767441860465116,1.2146863730397666,0.8333333333333334,0.2,3.24,81,0.96,24.0,1.68,42.0,8,3.0,76.3,-0.932,0.1046511627906976,0.0813953488372093,0.0232558139534883,0.686046511627907,0.1945037150406341,0.5423728813559322,0.920663786661871,0.313953488372093,0.5151747941439269,23.315547250185727,0.3333333333333333,2.2601000134945064,0.2906976744186046,0.0827956551639086,2.069891379097715,0.56,0.745835313411973,0.7093023255813954,0.3822220860686184,23.315547250185727,0.4426229508196721,1.4577943298838076
1,2020,SMU,ACC,79,14,0.2033513062075542,16.064753190396782,0.4683544303797468,1.3613286225459176,0.7142857142857143,0.2142857142857142,3.0642857142857145,129,1.0476190476190477,44.0,0.5952380952380952,25.0,10,2.4,67.1,1.706,0.1265822784810126,0.0759493670886076,0.050632911392405,0.6835443037974683,0.0271517353351144,0.4444444444444444,1.056021233596777,0.3164556962025316,0.5839423792920241,0.52,1.924973032913562,0.5316455696202531,0.0885347350001599,3.718458870006719,0.4523809523809524,1.041745256307998,0.4683544303797468,0.3336836302808125,12.346294320390063,0.4864864864864865,1.6986666202414995,77,13,0.1383548185627163,10.65332102932916,0.3896103896103896,1.3508360281679848,1.0,0.1388888888888889,3.433333333333333,124,1.222222222222222,44.0,1.5833333333333333,57.0,5,4.8,72.5,-1.227,0.2207792207792207,0.1298701298701298,0.0909090909090909,0.6753246753246753,0.0869702175284728,0.4230769230769231,1.085249541644679,0.3246753246753247,0.2452347887139429,-2.1662219712995943,0.32,2.081198866107075,0.4675324675324675,0.356098416684132,12.819543000628752,0.4444444444444444,1.1564412226396856,0.5324675324675324,-0.0528346822268193,-2.1662219712995943,0.3414634146341463,1.5730015202003262
1,2020,South Alabama,Sun Belt,68,11,0.2950010890162073,20.060074053102102,0.5,1.4008125290427442,1.0,0.1842105263157894,2.8,106,0.7894736842105263,30.0,0.868421052631579,33.0,8,2.5,75.3,1.134,0.0735294117647058,0.0294117647058823,0.0441176470588235,0.7352941176470589,0.0238605433544404,0.46,0.934215071640506,0.2647058823529412,1.0481692714100044,0.6111111111111112,2.376425394520152,0.5588235294117647,0.1193276129606273,4.53444929250384,0.4736842105263157,0.7850569499839241,0.4411764705882353,0.5175208253532754,15.525624760598262,0.5333333333333333,2.093537555483917,69,10,0.2274361901737749,15.693097121990473,0.4057971014492754,1.4383853728160607,0.625,0.2857142857142857,1.72,60,0.6,21.0,0.8857142857142857,31.0,7,2.857142857142857,71.6,-1.219,0.1159420289855072,0.0869565217391304,0.0289855072463768,0.6666666666666666,0.0953394586740122,0.4347826086956521,0.986294243337148,0.3333333333333333,0.4916296531733005,18.69892339306092,0.3478260869565217,2.5686131965133425,0.5072463768115942,-0.0858807506020127,-3.005826271070445,0.3428571428571428,0.9532425026518304,0.4927536231884058,0.549968335090027,18.69892339306092,0.4705882352941176,1.8022425254392327
