week,season,team,conference,off_plays,off_drives,off_ppa,off_totalPPA,off_successRate,off_explosiveness,off_powerSuccess,off_stuffRate,off_lineYards,off_lineYardsTotal,off_secondLevelYards,off_secondLevelYardsTotal,off_openFieldYards,off_openFieldYardsTotal,off_totalOpportunies,off_pointsPerOpportunity,off_fieldPosition,off_havoc,off_standardDowns,off_passingDowns,off_rushingPlays,off_passingPlays,def_plays,def_drives,def_ppa,def_totalPPA,def_successRate,def_explosiveness,def_powerSuccess,def_stuffRate,def_lineYards,def_lineYardsTotal,def_secondLevelYards,def_secondLevelYardsTotal,def_openFieldYards,def_openFieldYardsTotal,def_totalOpportunies,def_pointsPerOpportunity,def_fieldPosition,def_havoc,def_standardDowns,def_passingDowns,def_rushingPlays,def_passingPlays
1,2026,Akron,Mid-American,70,11,0.021979307466764512,1.538551522673516,0.5,0.7212615614875549,0.6,0.18181818181818182,3.1333333333333333,103,1.1515151515151516,38,0.8181818181818182,27,3,5.666666666666667,,,,,,,68,11,0.47758894733523144,32.476048418795735,0.4264705882352941,1.5275719114401596,0.8,0.15625,3.265625,105,1.15625,37,2.09375,0,7,4.285714285714286,,,,,,
1,2026,Buffalo,Mid-American,83,15,0.15231379137916468,12.642044684470667,0.39759036144578314,1.1454912933763308,1.0,0.18181818181818182,2.9909090909090907,99,0.5454545454545454,18,1.3636363636363635,45,5,4.2,,,,,,,72,14,-0.0495205233949304,-3.5654776844349887,0.2916666666666667,1.290213068638229,0.6666666666666666,0.2857142857142857,2.35,66,0.6785714285714286,19,0.21428571428571427,0,4,4.25,,,,,,
1,2026,Colorado,Big 12,77,10,0.05221090987485706,4.020240060363994,0.37662337662337664,1.1248231734306042,1.0,0.10869565217391304,2.730434782608696,126,0.8260869565217391,38,0.34782608695652173,16,7,2.0,,,,,,,54,9,0.07402206857335174,3.997191702960994,0.37037037037037035,1.2001545717095805,0.3333333333333333,0.4444444444444444,1.9037037037037037,51,0.9629629629629629,26,0.037037037037037035,0,7,0.8571428571428571,,,,,,
1,2026,Delaware,Conference USA,54,10,0.46891371205622057,25.321340451035912,0.5185185185185185,1.4645620498490888,0.6,0.2857142857142857,2.657142857142857,56,1.1904761904761905,25,0.6190476190476191,13,6,4.666666666666667,,,,,,,49,11,-0.2154470846774114,-10.556907149193158,0.20408163265306123,1.2383291176076328,0.0,0.25,1.46875,24,0.3125,5,0.0,0,3,0.0,,,,,,
1,2026,Eastern Michigan,Mid-American,70,14,0.05535149926229747,3.8746049483608225,0.4142857142857143,1.2595736989694382,0.75,0.20689655172413793,2.627586206896552,76,0.6896551724137931,20,0.9310344827586207,27,8,3.5,,,,,,,64,13,-0.07672478574749307,-4.9103862878395566,0.34375,1.032446670964897,0.6666666666666666,0.4375,0.6125,10,0.875,14,1.8125,0,4,2.5,,,,,,
1,2026,Florida State,ACC,67,10,0.2906623399155658,19.474376774342907,0.44776119402985076,1.3213901556467058,1.0,0.15789473684210525,3.442105263157895,131,1.1578947368421053,44,1.6842105263157896,64,7,4.857142857142857,,,,,,,67,10,0.16265671619005154,10.897999984733453,0.34328358208955223,1.6364900147680257,1.0,0.1,2.965,59,0.75,15,0.1,0,4,4.25,,,,,,
1,2026,Georgia Tech,ACC,54,9,0.07402206857335174,3.997191702960994,0.37037037037037035,1.2001545717095805,0.3333333333333333,0.4444444444444444,1.9037037037037037,51,0.9629629629629629,26,0.037037037037037035,1,7,0.8571428571428571,,,,,,,77,10,0.05221090987485706,4.020240060363994,0.37662337662337664,1.1248231734306042,1.0,0.10869565217391304,2.730434782608696,126,0.8260869565217391,38,0.34782608695652173,0,7,2.0,,,,,,
1,2026,Hawai'i,Mountain West,76,14,0.04894744398560683,3.720005742906119,0.35526315789473684,1.2645184587928842,1.0,0.09523809523809523,2.9761904761904763,63,1.0952380952380951,23,1.0,21,5,5.6,,,,,,,73,13,0.3263404896512631,23.82285574454221,0.4520547945205479,1.2060565569259865,0.8333333333333334,0.13513513513513514,3.027027027027027,112,1.0,37,0.918918918918919,0,7,4.0,,,,,,
1,2026,Illinois,Big Ten,44,8,0.5293505291335725,23.29142328187719,0.5681818181818182,1.3542485462010816,0.6,0.23076923076923078,2.976923076923077,77,1.0,26,2.076923076923077,54,4,7.0,,,,,,,79,8,0.140459461201907,11.096297434950653,0.4430379746835443,1.2101487372066866,0.75,0.13043478260869565,3.273913043478261,151,0.8913043478260869,41,0.45652173913043476,0,7,2.2857142857142856,,,,,,
1,2026,Jacksonville State,Conference USA,55,11,-0.323923778153237,-17.815807798428033,0.3090909090909091,0.9822393646403389,0.4,0.21428571428571427,2.289285714285714,64,1.0714285714285714,30,0.6785714285714286,19,4,0.0,,,,,,,69,10,0.21859413945719935,15.082995622546756,0.42028985507246375,1.1052351273516188,1.0,0.09523809523809523,3.342857142857143,140,1.0952380952380951,46,1.0952380952380951,0,6,4.333333333333333,,,,,,
