week,season,game_id,date,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,winner,point_differential,status,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
8,2014,400554218,2014-10-24T00:25Z,San Diego Chargers,SD,21,Denver Broncos,DEN,35,Denver Broncos,14,Final,22,15,3,4,4,10,1,1,58,306,5.3,11,245,30,41,5.7,2,2,7,61,15,4.1,3-3,7,77,2,0,0,29:14,27,14,9,4,8,13,0,0,65,425,6.5,10,286,25,35,8.2,0,0,0,139,30,4.6,4-4,9,71,0,0,0,30:46,76907,Empower Field at Mile High,Denver,CO
8,2014,400554224,2014-10-26T13:30Z,Detroit Lions,DET,22,Atlanta Falcons,ATL,21,Detroit Lions,1,Final,22,17,3,2,8,15,0,0,70,385,5.5,9,325,24,47,6.9,1,0,0,60,23,2.6,1-3,8,85,1,0,0,30:55,22,15,4,3,4,8,0,0,55,291,5.3,9,213,20,27,7.3,1,2,15,78,26,3.0,3-3,5,39,1,0,0,29:05,83532,Wembley Stadium,London,
8,2014,400554264,2014-10-26T17:00Z,Baltimore Ravens,BAL,24,Cincinnati Bengals,CIN,27,Cincinnati Bengals,3,Final,18,9,8,1,5,13,1,3,61,294,4.8,11,187,17,34,5.3,2,1,8,107,26,4.1,2-4,7,51,2,0,0,29:16,19,10,8,1,8,14,1,1,64,350,5.5,11,239,21,28,8.0,1,2,27,111,34,3.3,3-5,6,40,2,1,0,30:44,55711,Paycor Stadium,Cincinnati,OH
8,2014,400554230,2014-10-26T17:00Z,Houston Texans,HOU,30,Tennessee Titans,TEN,16,Houston Texans,14,Final,24,14,9,1,7,16,0,0,80,405,5.1,13,193,19,35,4.8,0,5,34,212,40,5.3,2-4,4,35,0,0,0,35:22,13,12,1,0,2,12,1,2,56,326,5.8,13,290,27,41,6.7,1,2,9,36,13,2.8,2-4,6,61,2,1,0,24:38,69143,Nissan Stadium,Nashville,TN
8,2014,400554227,2014-10-26T17:00Z,St. Louis Rams,STL,7,Kansas City Chiefs,KC,34,Kansas City Chiefs,27,Final,13,8,5,0,3,11,0,1,51,200,3.9,12,116,15,25,3.6,1,7,44,84,19,4.4,1-3,8,68,1,0,0,24:22,23,10,9,4,6,12,0,0,64,355,5.5,11,215,25,29,6.9,0,2,8,140,33,4.2,2-3,7,51,1,1,1,35:38,75972,GEHA Field at Arrowhead Stadium,Kansas City,MO
8,2014,400554272,2014-10-26T17:00Z,Chicago Bears,CHI,23,New England Patriots,NE,51,New England Patriots,28,Final,27,13,11,3,4,11,1,3,64,384,6.0,11,231,21,35,6.1,1,3,18,153,26,5.9,1-1,5,41,2,1,0,27:17,32,25,6,1,7,11,0,0,71,487,6.9,10,365,33,38,9.4,0,1,11,122,32,3.8,4-7,7,38,0,0,2,32:43,68756,Gillette Stadium,Foxborough,MA
8,2014,400554298,2014-10-26T17:00Z,Buffalo Bills,BUF,43,New York Jets,NYJ,23,Buffalo Bills,20,Final,12,7,2,3,3,12,0,0,53,280,5.3,15,213,10,17,10.1,0,4,25,67,32,2.1,4-6,7,49,0,0,0,27:43,22,9,11,2,9,19,1,1,81,312,3.9,15,137,20,44,2.9,4,4,21,175,33,5.3,3-3,10,90,6,2,0,32:17,78160,MetLife Stadium,East Rutherford,NJ
8,2014,400554254,2014-10-26T17:00Z,Minnesota Vikings,MIN,19,Tampa Bay Buccaneers,TB,13,Minnesota Vikings,6,Final,22,12,6,4,6,15,0,0,65,332,5.1,12,235,24,42,5.5,0,1,6,97,22,4.4,1-2,6,59,0,0,2,30:34,15,9,3,3,1,12,2,2,56,225,4.0,12,159,19,28,4.8,1,5,12,66,23,2.9,1-1,8,52,2,1,0,29:43,56577,Raymond James Stadium,Tampa,FL
8,2014,400554258,2014-10-26T17:00Z,Seattle Seahawks,SEA,13,Carolina Panthers,CAR,9,Seattle Seahawks,4,Final,19,9,8,2,4,11,0,0,59,310,5.3,9,191,20,32,5.8,1,1,8,119,26,4.6,0-3,7,41,2,1,0,29:00,17,7,9,1,2,10,1,2,56,266,4.8,9,152,12,22,6.1,1,3,19,114,31,3.7,0-3,4,20,2,1,0,31:00,74042,Bank of America Stadium,Charlotte,NC
8,2014,400554267,2014-10-26T17:00Z,Miami Dolphins,MIA,27,Jacksonville Jaguars,JAX,13,Miami Dolphins,14,Final,17,8,7,2,5,12,0,0,56,326,5.8,10,178,16,29,5.6,1,3,18,148,24,6.2,1-4,7,52,1,0,4,27:37,19,11,6,2,6,15,2,2,68,377,5.5,12,201,18,34,5.3,2,4,20,176,30,5.9,0-1,6,37,3,1,0,32:23,65633,EverBank Stadium,Jacksonville,FL
