gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6380751,11/1/2024,2025,1692,Southeastern La.,TRUE,1388182,La. Christian,87,38,27,62,31,38,2,16,15,50,12,20,24,21,5,4350.00%,1250.00%,8160.00%,10,47,16,29,2,12,8,30,6,34,29,8,2,2130.00%,1670.00%,5520.00%
6380751,11/1/2024,2025,1388182,La. Christian,FALSE,1692,Southeastern La.,38,87,10,47,16,29,2,12,8,30,6,34,29,8,2,2130.00%,1670.00%,5520.00%,27,62,31,38,2,16,15,50,12,20,24,21,5,4350.00%,1250.00%,8160.00%
6380913,11/3/2024,2025,121,Baylor,TRUE,18537,Langston,100,39,40,68,14,20,6,17,15,41,19,17,18,13,5,5880.00%,3530.00%,7000.00%,13,60,11,16,2,17,22,39,2,27,31,9,0,2170.00%,1180.00%,6880.00%
6380913,11/3/2024,2025,18537,Langston,FALSE,121,Baylor,39,100,13,60,11,16,2,17,22,39,2,27,31,9,0,2170.00%,1180.00%,6880.00%,40,68,14,20,6,17,15,41,19,17,18,13,5,5880.00%,3530.00%,7000.00%
6354970,11/4/2024,2025,2145,Georgia Tech,TRUE,497,Winthrop,85,39,35,65,6,7,9,26,11,38,25,15,15,12,4,5380.00%,3460.00%,8570.00%,18,53,3,5,0,10,8,23,5,22,13,5,2,3400.00%,0.00%,6000.00%
6354970,11/4/2024,2025,497,Winthrop,FALSE,2145,Georgia Tech,39,85,18,53,3,5,0,10,8,23,5,22,13,5,2,3400.00%,0.00%,6000.00%,35,65,6,7,9,26,11,38,25,15,15,12,4,5380.00%,3460.00%,8570.00%
6354979,11/4/2024,2025,1522,Liberty,TRUE,2679,Valparaiso,77,58,29,54,6,9,13,20,11,35,22,18,21,5,6,5370.00%,6500.00%,6670.00%,14,42,23,32,7,25,5,21,10,14,15,9,2,3330.00%,2800.00%,7190.00%
6354979,11/4/2024,2025,2679,Valparaiso,FALSE,1522,Liberty,58,77,14,42,23,32,7,25,5,21,10,14,15,9,2,3330.00%,2800.00%,7190.00%,29,54,6,9,13,20,11,35,22,18,21,5,6,5370.00%,6500.00%,6670.00%
6355007,11/4/2024,2025,1193,Buffalo,TRUE,1352,Troy,80,78,23,65,27,38,7,20,13,45,16,8,24,7,0,3540.00%,3500.00%,7110.00%,29,69,10,21,10,35,15,51,11,18,33,3,8,4200.00%,2860.00%,4760.00%
6355007,11/4/2024,2025,1352,Troy,FALSE,1193,Buffalo,78,80,29,69,10,21,10,35,15,51,11,18,33,3,8,4200.00%,2860.00%,4760.00%,23,65,27,38,7,20,13,45,16,8,24,7,0,3540.00%,3500.00%,7110.00%
