season,seasonType,week,poll,rank,team,conference,points
2024,regular,1,AFCA Division II Coaches Poll,1,Harding University,Great American,672
2024,regular,1,AFCA Division II Coaches Poll,2,Central Missouri,Mid America,620
2024,regular,1,AFCA Division II Coaches Poll,3,Ferris State,GLIAC,590
2024,regular,1,AFCA Division II Coaches Poll,4,Grand Valley State University,GLIAC,566
2024,regular,1,AFCA Division II Coaches Poll,5,Colorado School Of Mines,Rocky Mountain,564
2024,regular,1,AFCA Division II Coaches Poll,6,Pittsburg St,Mid America,540
2024,regular,1,AFCA Division II Coaches Poll,7,Valdosta State,Gulf South,516
2024,regular,1,AFCA Division II Coaches Poll,8,Central Washington,Lone Star,418
2024,regular,1,AFCA Division II Coaches Poll,9,Lenoir-Rhyne,South Atlantic,416
2024,regular,1,AFCA Division II Coaches Poll,10,Kutztown University,Pennsylvania State Athletic,413
2024,regular,1,AFCA Division II Coaches Poll,11,Slippery Rock,Pennsylvania State Athletic,384
2024,regular,1,AFCA Division II Coaches Poll,12,West Florida,Gulf South,330
2024,regular,1,AFCA Division II Coaches Poll,13,Minnesota State Mankato,Northern Sun,232
2024,regular,1,AFCA Division II Coaches Poll,14,Augustana University (SD),Northern Sun,231
2024,regular,1,AFCA Division II Coaches Poll,15,Western Colorado,Rocky Mountain,230
2024,regular,1,AFCA Division II Coaches Poll,16,Indianapolis,Great Lakes,216
2024,regular,1,AFCA Division II Coaches Poll,17,Minnesota Duluth,Northern Sun,214
2024,regular,1,AFCA Division II Coaches Poll,18,Delta State,Gulf South,212
2024,regular,1,AFCA Division II Coaches Poll,19,Ouachita Baptist,Great American,209
2024,regular,1,AFCA Division II Coaches Poll,20,Virginia Union,CIAA,183
2024,regular,1,AFCA Division II Coaches Poll,21,UT Permian Basin,Lone Star,169
2024,regular,1,AFCA Division II Coaches Poll,22,Northwest Missouri St,Mid America,167
2024,regular,1,AFCA Division II Coaches Poll,23,University Of Charleston (WV),Mountain East,102
2024,regular,1,AFCA Division II Coaches Poll,24,Angelo State,Lone Star,89
2024,regular,1,AFCA Division II Coaches Poll,25,Bemidji State,Northern Sun,70
2024,regular,1,AFCA Division III Coaches Poll,1,North Central College,CCIW,1225
2024,regular,1,AFCA Division III Coaches Poll,2,Cortland,Empire 8,1195
2024,regular,1,AFCA Division III Coaches Poll,3,Wisconsin-Whitewater,Wisconsin,1102
2024,regular,1,AFCA Division III Coaches Poll,4,Wartburg,American Rivers,1057
2024,regular,1,AFCA Division III Coaches Poll,5,University of Mount Union,Ohio,1042
2024,regular,1,AFCA Division III Coaches Poll,6,Wisconsin-Lacrosse,Wisconsin,1008
2024,regular,1,AFCA Division III Coaches Poll,7,Alma,Michigan,934
2024,regular,1,AFCA Division III Coaches Poll,8,Johns Hopkins University,Centennial,836
2024,regular,1,AFCA Division III Coaches Poll,9,Wheaton,CCIW,779
2024,regular,1,AFCA Division III Coaches Poll,10,Randolph-Macon,Old Dominion,738
2024,regular,1,AFCA Division III Coaches Poll,11,Grove City College,Presidents',697
2024,regular,1,AFCA Division III Coaches Poll,12,Susquehanna,Landmark Conference,604
2024,regular,1,AFCA Division III Coaches Poll,13,Trinity University TX,Southern Athletic,600
2024,regular,1,AFCA Division III Coaches Poll,14,Saint John's (MN),Minnesota,577
2024,regular,1,AFCA Division III Coaches Poll,15,Aurora,NACC,529
2024,regular,1,AFCA Division III Coaches Poll,16,Hardin-Simmons,American Southwest,517
2024,regular,1,AFCA Division III Coaches Poll,17,Wisconsin-River Falls,Wisconsin,427
