season,seasonType,week,poll,rank,team,conference,points
2016,regular,1,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,749
2016,regular,1,AFCA Division II Coaches Poll,2,West Georgia,Gulf South,676
2016,regular,1,AFCA Division II Coaches Poll,3,Grand Valley State University,GLIAC,658
2016,regular,1,AFCA Division II Coaches Poll,4,Shepherd,Mountain East,638
2016,regular,1,AFCA Division II Coaches Poll,5,CSU Pueblo,Rocky Mountain,581
2016,regular,1,AFCA Division II Coaches Poll,6,Ashland,GLIAC,523
2016,regular,1,AFCA Division II Coaches Poll,7,Minnesota State Mankato,Northern Sun,466
2016,regular,1,AFCA Division II Coaches Poll,8,Indiana-Pennsylvania,Pennsylvania State Athletic,364
2016,regular,1,AFCA Division II Coaches Poll,9,Henderson State,Great American,363
2016,regular,1,AFCA Division II Coaches Poll,9,East Texas A&M,Lone Star,363
2016,regular,1,AFCA Division II Coaches Poll,11,Slippery Rock,Pennsylvania State Athletic,360
2016,regular,1,AFCA Division II Coaches Poll,12,Ferris State,GLIAC,359
2016,regular,1,AFCA Division II Coaches Poll,13,Humboldt State,Great Northwest,353
2016,regular,1,AFCA Division II Coaches Poll,14,Midwestern State,Lone Star,344
2016,regular,1,AFCA Division II Coaches Poll,15,North Alabama,Gulf South,330
2016,regular,1,AFCA Division II Coaches Poll,16,Indianapolis,Great Lakes,276
2016,regular,1,AFCA Division II Coaches Poll,17,Tuskegee,SIAC,241
2016,regular,1,AFCA Division II Coaches Poll,18,Colorado School Of Mines,Rocky Mountain,228
2016,regular,1,AFCA Division II Coaches Poll,19,Minnesota Duluth,Northern Sun,196
2016,regular,1,AFCA Division II Coaches Poll,20,Central Missouri,Mid America,184
2016,regular,1,AFCA Division II Coaches Poll,21,Assumption,Northeast 10,144
2016,regular,1,AFCA Division II Coaches Poll,22,Catawba,South Atlantic,140
2016,regular,1,AFCA Division II Coaches Poll,23,Sioux Falls,Northern Sun,125
2016,regular,1,AFCA Division II Coaches Poll,24,Emporia State University,Mid America,124
2016,regular,1,AFCA Division II Coaches Poll,25,Augustana University (SD),Northern Sun,119
2016,regular,1,AP Top 25,1,Alabama,SEC,1469
2016,regular,1,AP Top 25,2,Clemson,ACC,1443
2016,regular,1,AP Top 25,3,Oklahoma,Big 12,1352
2016,regular,1,AP Top 25,4,Florida State,ACC,1325
2016,regular,1,AP Top 25,5,LSU,SEC,1269
2016,regular,1,AP Top 25,6,Ohio State,Big Ten,1224
2016,regular,1,AP Top 25,7,Michigan,Big Ten,1147
