season,seasonType,week,poll,rank,team,conference,points
2021,regular,1,AFCA Division II Coaches Poll,1,West Florida,Gulf South,698
2021,regular,1,AFCA Division II Coaches Poll,2,Minnesota State Mankato,Northern Sun,673
2021,regular,1,AFCA Division II Coaches Poll,3,Ferris State,GLIAC,630
2021,regular,1,AFCA Division II Coaches Poll,4,Northwest Missouri St,Mid America,575
2021,regular,1,AFCA Division II Coaches Poll,5,Slippery Rock,Pennsylvania State Athletic,544
2021,regular,1,AFCA Division II Coaches Poll,6,Lenoir-Rhyne,South Atlantic,540
2021,regular,1,AFCA Division II Coaches Poll,6,Valdosta State,Gulf South,540
2021,regular,1,AFCA Division II Coaches Poll,8,East Texas A&M,Lone Star,520
2021,regular,1,AFCA Division II Coaches Poll,9,Notre Dame College,Mountain East,501
2021,regular,1,AFCA Division II Coaches Poll,10,Colorado School Of Mines,Rocky Mountain,423
2021,regular,1,AFCA Division II Coaches Poll,11,Ouachita Baptist,Great American,387
2021,regular,1,AFCA Division II Coaches Poll,12,CSU Pueblo,Rocky Mountain,327
2021,regular,1,AFCA Division II Coaches Poll,13,Central Missouri,Mid America,323
2021,regular,1,AFCA Division II Coaches Poll,14,Indianapolis,Great Lakes,261
2021,regular,1,AFCA Division II Coaches Poll,15,Shepherd,Pennsylvania State Athletic,256
2021,regular,1,AFCA Division II Coaches Poll,16,Grand Valley State University,GLIAC,231
2021,regular,1,AFCA Division II Coaches Poll,17,Indiana-Pennsylvania,Pennsylvania State Athletic,220
2021,regular,1,AFCA Division II Coaches Poll,18,Bowie State,CIAA,210
2021,regular,1,AFCA Division II Coaches Poll,19,Tiffin,Great Midwest Athletic,188
2021,regular,1,AFCA Division II Coaches Poll,20,Kutztown University,Pennsylvania State Athletic,144
2021,regular,1,AFCA Division II Coaches Poll,21,Lindenwood,Great Lakes,134
2021,regular,1,AFCA Division II Coaches Poll,22,Harding University,Great American,120
2021,regular,1,AFCA Division II Coaches Poll,23,Minnesota Duluth,Northern Sun,100
2021,regular,1,AFCA Division II Coaches Poll,24,Wingate,South Atlantic,95
2021,regular,1,AFCA Division II Coaches Poll,24,Carson-Newman College,South Atlantic,95
2021,regular,1,AP Top 25,1,Alabama,SEC,1548
2021,regular,1,AP Top 25,2,Oklahoma,Big 12,1462
2021,regular,1,AP Top 25,3,Clemson,ACC,1447
2021,regular,1,AP Top 25,4,Ohio State,Big Ten,1393
