season,seasontype,week,poll,rank,team,conference,firstplacevotes
2015,regular,1,AFCA Division II Coaches Poll,1,Minnesota State Mankato,Northern Sun,790
2015,regular,1,AFCA Division II Coaches Poll,2,CSU Pueblo,Rocky Mountain,773
2015,regular,1,AFCA Division II Coaches Poll,3,West Georgia,Gulf South,722
2015,regular,1,AFCA Division II Coaches Poll,4,Northwest Missouri St,Mid America,703
2015,regular,1,AFCA Division II Coaches Poll,5,Pittsburg St,Mid America,636
2015,regular,1,AFCA Division II Coaches Poll,6,Ferris State,GLIAC,621
2015,regular,1,AFCA Division II Coaches Poll,7,Ohio Dominican,GLIAC,599
2015,regular,1,AFCA Division II Coaches Poll,8,Lenoir-Rhyne,South Atlantic,546
2015,regular,1,AFCA Division II Coaches Poll,9,Minnesota Duluth,Northern Sun,531
2015,regular,1,AFCA Division II Coaches Poll,10,Delta State,Gulf South,480
2015,regular,1,AFCA Division II Coaches Poll,11,Ouachita Baptist,Great American,475
2015,regular,1,AFCA Division II Coaches Poll,12,Angelo State,Lone Star,463
2015,regular,1,AFCA Division II Coaches Poll,13,North Alabama,Gulf South,401
2015,regular,1,AFCA Division II Coaches Poll,14,Valdosta State,Gulf South,387
2015,regular,1,AFCA Division II Coaches Poll,15,Sioux Falls,Northern Sun,364
2015,regular,1,AFCA Division II Coaches Poll,16,Colorado School Of Mines,Rocky Mountain,295
2015,regular,1,AFCA Division II Coaches Poll,17,Azusa Pacific,Great Northwest,286
2015,regular,1,AFCA Division II Coaches Poll,18,East Texas A&M,Lone Star,231
2015,regular,1,AFCA Division II Coaches Poll,19,Harding University,Great American,204
2015,regular,1,AFCA Division II Coaches Poll,20,Grand Valley State University,GLIAC,143
2015,regular,1,AFCA Division II Coaches Poll,21,Slippery Rock,Pennsylvania State Athletic,107
2015,regular,1,AFCA Division II Coaches Poll,22,Concord University,Mountain East,94
2015,regular,1,AFCA Division II Coaches Poll,23,Indianapolis,Great Lakes,77
2015,regular,1,AFCA Division II Coaches Poll,24,Ashland,GLIAC,64
2015,regular,1,AFCA Division II Coaches Poll,25,Shepherd,Mountain East,60
2015,regular,1,AP Top 25,1,Ohio State,Big Ten,1525
2015,regular,1,AP Top 25,2,TCU,Big 12,1428
2015,regular,1,AP Top 25,3,Alabama,SEC,1322
2015,regular,1,AP Top 25,4,Baylor,Big 12,1263
2015,regular,1,AP Top 25,5,Michigan State,Big Ten,1256
2015,regular,1,AP Top 25,6,Auburn,SEC,1192
2015,regular,1,AP Top 25,7,Oregon,Pac-12,1156
2015,regular,1,AP Top 25,8,USC,Pac-12,1085
2015,regular,1,AP Top 25,9,Georgia,SEC,991
2015,regular,1,AP Top 25,10,Florida State,ACC,959
2015,regular,1,AP Top 25,11,Notre Dame,FBS Independents,873
2015,regular,1,AP Top 25,12,Clemson,ACC,862
2015,regular,1,AP Top 25,13,UCLA,Pac-12,698
2015,regular,1,AP Top 25,14,LSU,SEC,675
2015,regular,1,AP Top 25,15,Arizona State,Pac-12,605
2015,regular,1,AP Top 25,16,Georgia Tech,ACC,588
2015,regular,1,AP Top 25,17,Ole Miss,SEC,563
2015,regular,1,AP Top 25,18,Arkansas,SEC,410
2015,regular,1,AP Top 25,19,Oklahoma,Big 12,394
2015,regular,1,AP Top 25,20,Wisconsin,Big Ten,393
2015,regular,1,AP Top 25,21,Stanford,Pac-12,347
2015,regular,1,AP Top 25,22,Arizona,Pac-12,311
2015,regular,1,AP Top 25,23,Boise State,Mountain West,240
2015,regular,1,AP Top 25,24,Missouri,SEC,219
2015,regular,1,AP Top 25,25,Tennessee,SEC,114
2015,regular,1,Coaches Poll,1,Ohio State,Big Ten,1598
2015,regular,1,Coaches Poll,2,TCU,Big 12,1487
2015,regular,1,Coaches Poll,3,Alabama,SEC,1452
2015,regular,1,Coaches Poll,4,Baylor,Big 12,1365
2015,regular,1,Coaches Poll,5,Oregon,Pac-12,1260
2015,regular,1,Coaches Poll,6,Michigan State,Big Ten,1230
2015,regular,1,Coaches Poll,7,Auburn,SEC,1103
2015,regular,1,Coaches Poll,8,Florida State,ACC,1057
2015,regular,1,Coaches Poll,9,Georgia,SEC,1026
2015,regular,1,Coaches Poll,10,USC,Pac-12,1014
2015,regular,1,Coaches Poll,11,Notre Dame,FBS Independents,883
2015,regular,1,Coaches Poll,12,Clemson,ACC,838
2015,regular,1,Coaches Poll,13,LSU,SEC,727
2015,regular,1,Coaches Poll,14,UCLA,Pac-12,697
2015,regular,1,Coaches Poll,15,Ole Miss,SEC,668
2015,regular,1,Coaches Poll,16,Arizona State,Pac-12,577
2015,regular,1,Coaches Poll,17,Georgia Tech,ACC,573
2015,regular,1,Coaches Poll,18,Wisconsin,Big Ten,470
2015,regular,1,Coaches Poll,19,Oklahoma,Big 12,407
2015,regular,1,Coaches Poll,20,Arkansas,SEC,377
2015,regular,1,Coaches Poll,21,Stanford,Pac-12,365
2015,regular,1,Coaches Poll,22,Arizona,Pac-12,299
2015,regular,1,Coaches Poll,23,Missouri,SEC,229
2015,regular,1,Coaches Poll,24,Boise State,Mountain West,190
2015,regular,1,Coaches Poll,25,Tennessee,SEC,166
2015,regular,1,FCS Coaches Poll,1,Coastal Carolina,Big South,517
2015,regular,1,FCS Coaches Poll,2,North Dakota State,MVFC,490
2015,regular,1,FCS Coaches Poll,2,Villanova,CAA,490
2015,regular,1,FCS Coaches Poll,4,Sam Houston,Southland,487
2015,regular,1,FCS Coaches Poll,5,Illinois State,MVFC,481
2015,regular,1,FCS Coaches Poll,6,Jacksonville State,OVC,453
2015,regular,1,FCS Coaches Poll,7,Eastern Washington,Big Sky,437
2015,regular,1,FCS Coaches Poll,8,Montana,Big Sky,393
2015,regular,1,FCS Coaches Poll,9,Montana State,Big Sky,384
2015,regular,1,FCS Coaches Poll,10,South Dakota State,MVFC,363
2015,regular,1,FCS Coaches Poll,11,James Madison,CAA,312
2015,regular,1,FCS Coaches Poll,12,Chattanooga,Southern,301
2015,regular,1,FCS Coaches Poll,13,Liberty,Big South,280
2015,regular,1,FCS Coaches Poll,14,Northern Iowa,MVFC,274
2015,regular,1,FCS Coaches Poll,15,New Hampshire,CAA,257
2015,regular,1,FCS Coaches Poll,16,Fordham,Patriot,233
2015,regular,1,FCS Coaches Poll,17,Youngstown State,MVFC,219
2015,regular,1,FCS Coaches Poll,18,SE Louisiana,Southland,175
2015,regular,1,FCS Coaches Poll,19,Eastern Kentucky,OVC,174
2015,regular,1,FCS Coaches Poll,20,Cal Poly,Big Sky,130
2015,regular,1,FCS Coaches Poll,21,Indiana State,MVFC,128
2015,regular,1,FCS Coaches Poll,22,Richmond,CAA,77
2015,regular,1,FCS Coaches Poll,23,McNeese,Southland,75
2015,regular,1,FCS Coaches Poll,24,Idaho State,Big Sky,68
2015,regular,1,FCS Coaches Poll,25,Harvard,Ivy,44
2015,regular,1,FCS Coaches Poll,25,William & Mary,CAA,44
2015,regular,2,AFCA Division II Coaches Poll,1,Minnesota State Mankato,Northern Sun,798
2015,regular,2,AFCA Division II Coaches Poll,2,West Georgia,Gulf South,752
2015,regular,2,AFCA Division II Coaches Poll,3,Northwest Missouri St,Mid America,742
2015,regular,2,AFCA Division II Coaches Poll,4,Pittsburg St,Mid America,670
2015,regular,2,AFCA Division II Coaches Poll,5,Ferris State,GLIAC,665
2015,regular,2,AFCA Division II Coaches Poll,6,Delta State,Gulf South,591
2015,regular,2,AFCA Division II Coaches Poll,7,Minnesota Duluth,Northern Sun,584
2015,regular,2,AFCA Division II Coaches Poll,8,Angelo State,Lone Star,539
2015,regular,2,AFCA Division II Coaches Poll,9,Ouachita Baptist,Great American,528
2015,regular,2,AFCA Division II Coaches Poll,10,North Alabama,Gulf South,493
2015,regular,2,AFCA Division II Coaches Poll,11,Valdosta State,Gulf South,473
2015,regular,2,AFCA Division II Coaches Poll,12,Sioux Falls,Northern Sun,422
2015,regular,2,AFCA Division II Coaches Poll,13,CSU Pueblo,Rocky Mountain,412
2015,regular,2,AFCA Division II Coaches Poll,14,Grand Valley State University,GLIAC,367
2015,regular,2,AFCA Division II Coaches Poll,15,Colorado School Of Mines,Rocky Mountain,348
2015,regular,2,AFCA Division II Coaches Poll,16,Harding University,Great American,298
2015,regular,2,AFCA Division II Coaches Poll,17,Ohio Dominican,GLIAC,277
2015,regular,2,AFCA Division II Coaches Poll,18,Slippery Rock,Pennsylvania State Athletic,230
2015,regular,2,AFCA Division II Coaches Poll,19,Ashland,GLIAC,176
2015,regular,2,AFCA Division II Coaches Poll,20,Shepherd,Mountain East,170
2015,regular,2,AFCA Division II Coaches Poll,21,Concord University,Mountain East,117
2015,regular,2,AFCA Division II Coaches Poll,22,East Texas A&M,Lone Star,108
2015,regular,2,AFCA Division II Coaches Poll,23,Lenoir-Rhyne,South Atlantic,93
2015,regular,2,AFCA Division II Coaches Poll,24,Tuskegee,SIAC,90
2015,regular,2,AFCA Division II Coaches Poll,25,Humboldt State,Great Northwest,74
2015,regular,2,AP Top 25,1,Ohio State,Big Ten,1525
2015,regular,2,AP Top 25,2,Alabama,SEC,1420
2015,regular,2,AP Top 25,3,TCU,Big 12,1365
2015,regular,2,AP Top 25,4,Baylor,Big 12,1252
2015,regular,2,AP Top 25,5,Michigan State,Big Ten,1198
2015,regular,2,AP Top 25,6,Auburn,SEC,1166
2015,regular,2,AP Top 25,7,Oregon,Pac-12,1081
2015,regular,2,AP Top 25,8,USC,Pac-12,1074
2015,regular,2,AP Top 25,9,Notre Dame,FBS Independents,1061
2015,regular,2,AP Top 25,10,Georgia,SEC,981
2015,regular,2,AP Top 25,11,Florida State,ACC,942
2015,regular,2,AP Top 25,12,Clemson,ACC,862
2015,regular,2,AP Top 25,13,UCLA,Pac-12,833
2015,regular,2,AP Top 25,14,LSU,SEC,653
2015,regular,2,AP Top 25,15,Georgia Tech,ACC,636
2015,regular,2,AP Top 25,16,Texas A&M,SEC,629
2015,regular,2,AP Top 25,17,Ole Miss,SEC,600
2015,regular,2,AP Top 25,18,Arkansas,SEC,480
2015,regular,2,AP Top 25,19,Oklahoma,Big 12,469
2015,regular,2,AP Top 25,20,Boise State,Mountain West,279
2015,regular,2,AP Top 25,21,Missouri,SEC,274
2015,regular,2,AP Top 25,22,Arizona,Pac-12,259
2015,regular,2,AP Top 25,23,Tennessee,SEC,169
2015,regular,2,AP Top 25,24,Utah,Pac-12,137
2015,regular,2,AP Top 25,25,Mississippi State,SEC,104
2015,regular,2,Coaches Poll,1,Ohio State,Big Ten,1599
2015,regular,2,Coaches Poll,2,Alabama,SEC,1485
2015,regular,2,Coaches Poll,3,TCU,Big 12,1464
2015,regular,2,Coaches Poll,4,Baylor,Big 12,1349
2015,regular,2,Coaches Poll,5,Oregon,Pac-12,1279
2015,regular,2,Coaches Poll,6,Michigan State,Big Ten,1252
2015,regular,2,Coaches Poll,7,Auburn,SEC,1190
2015,regular,2,Coaches Poll,8,Florida State,ACC,1090
2015,regular,2,Coaches Poll,9,Georgia,SEC,1075
2015,regular,2,Coaches Poll,10,USC,Pac-12,1035
2015,regular,2,Coaches Poll,11,Notre Dame,FBS Independents,994
2015,regular,2,Coaches Poll,12,Clemson,ACC,870
2015,regular,2,Coaches Poll,13,UCLA,Pac-12,801
2015,regular,2,Coaches Poll,14,Ole Miss,SEC,735
2015,regular,2,Coaches Poll,15,LSU,SEC,734
2015,regular,2,Coaches Poll,16,Georgia Tech,ACC,651
2015,regular,2,Coaches Poll,17,Oklahoma,Big 12,541
2015,regular,2,Coaches Poll,18,Arkansas,SEC,495
2015,regular,2,Coaches Poll,19,Texas A&M,SEC,418
2015,regular,2,Coaches Poll,20,Arizona,Pac-12,336
2015,regular,2,Coaches Poll,21,Missouri,SEC,301
2015,regular,2,Coaches Poll,22,Boise State,Mountain West,277
2015,regular,2,Coaches Poll,23,Tennessee,SEC,212
2015,regular,2,Coaches Poll,24,Wisconsin,Big Ten,108
2015,regular,2,Coaches Poll,25,Utah,Pac-12,106
2015,regular,3,AFCA Division II Coaches Poll,1,Minnesota State Mankato,Northern Sun,797
2015,regular,3,AFCA Division II Coaches Poll,2,West Georgia,Gulf South,756
2015,regular,3,AFCA Division II Coaches Poll,3,Northwest Missouri St,Mid America,737
2015,regular,3,AFCA Division II Coaches Poll,4,Ferris State,GLIAC,705
2015,regular,3,AFCA Division II Coaches Poll,5,Delta State,Gulf South,666
2015,regular,3,AFCA Division II Coaches Poll,6,Angelo State,Lone Star,624
2015,regular,3,AFCA Division II Coaches Poll,7,Sioux Falls,Northern Sun,575
