season,seasontype,week,poll,rank,team,conference,firstplacevotes
2011,regular,1,AP Top 25,1,Oklahoma,Big 12,36
2011,regular,1,AP Top 25,2,Alabama,SEC,17
2011,regular,1,AP Top 25,3,Oregon,Pac-12,4
2011,regular,1,AP Top 25,4,LSU,SEC,1
2011,regular,1,AP Top 25,5,Boise State,Mountain West,2
2011,regular,1,AP Top 25,6,Florida State,ACC,0
2011,regular,1,AP Top 25,7,Stanford,Pac-12,0
2011,regular,1,AP Top 25,8,Texas A&M,Big 12,0
2011,regular,1,AP Top 25,9,Oklahoma State,Big 12,0
2011,regular,1,AP Top 25,10,Nebraska,Big Ten,0
2011,regular,1,AP Top 25,11,Wisconsin,Big Ten,0
2011,regular,1,AP Top 25,12,South Carolina,SEC,0
2011,regular,1,AP Top 25,13,Virginia Tech,ACC,0
2011,regular,1,AP Top 25,14,TCU,Mountain West,0
2011,regular,1,AP Top 25,15,Arkansas,SEC,0
2011,regular,1,AP Top 25,16,Notre Dame,FBS Independents,0
2011,regular,1,AP Top 25,17,Michigan State,Big Ten,0
2011,regular,1,AP Top 25,18,Ohio State,Big Ten,0
2011,regular,1,AP Top 25,19,Georgia,SEC,0
2011,regular,1,AP Top 25,20,Mississippi State,SEC,0
2011,regular,1,AP Top 25,21,Missouri,Big 12,0
2011,regular,1,AP Top 25,22,Florida,SEC,0
2011,regular,1,AP Top 25,23,Auburn,SEC,0
2011,regular,1,AP Top 25,24,West Virginia,Big East,0
2011,regular,1,AP Top 25,25,USC,Pac-12,0
2011,regular,1,Coaches Poll,1,Oklahoma,Big 12,42
2011,regular,1,Coaches Poll,2,Alabama,SEC,13
2011,regular,1,Coaches Poll,3,Oregon,Pac-12,2
2011,regular,1,Coaches Poll,4,LSU,SEC,2
2011,regular,1,Coaches Poll,5,Florida State,ACC,0
2011,regular,1,Coaches Poll,6,Stanford,Pac-12,0
2011,regular,1,Coaches Poll,7,Boise State,Mountain West,0
2011,regular,1,Coaches Poll,8,Oklahoma State,Big 12,0
2011,regular,1,Coaches Poll,9,Texas A&M,Big 12,0
2011,regular,1,Coaches Poll,10,Wisconsin,Big Ten,0
2011,regular,1,Coaches Poll,11,Nebraska,Big Ten,0
2011,regular,1,Coaches Poll,12,South Carolina,SEC,0
2011,regular,1,Coaches Poll,13,Virginia Tech,ACC,0
2011,regular,1,Coaches Poll,14,Arkansas,SEC,0
2011,regular,1,Coaches Poll,15,TCU,Mountain West,0
2011,regular,1,Coaches Poll,16,Ohio State,Big Ten,0
2011,regular,1,Coaches Poll,17,Michigan State,Big Ten,0
2011,regular,1,Coaches Poll,18,Notre Dame,FBS Independents,0
2011,regular,1,Coaches Poll,19,Auburn,SEC,0
2011,regular,1,Coaches Poll,20,Mississippi State,SEC,0
2011,regular,1,Coaches Poll,21,Missouri,Big 12,0
2011,regular,1,Coaches Poll,22,Georgia,SEC,0
2011,regular,1,Coaches Poll,23,Florida,SEC,0
2011,regular,1,Coaches Poll,24,Texas,Big 12,0
2011,regular,1,Coaches Poll,25,Penn State,Big Ten,0
2011,regular,2,AP Top 25,1,Oklahoma,Big 12,32
2011,regular,2,AP Top 25,2,LSU,SEC,17
2011,regular,2,AP Top 25,3,Alabama,SEC,9
2011,regular,2,AP Top 25,4,Boise State,Mountain West,2
2011,regular,2,AP Top 25,5,Florida State,ACC,0
2011,regular,2,AP Top 25,6,Stanford,Pac-12,0
2011,regular,2,AP Top 25,7,Texas A&M,Big 12,0
2011,regular,2,AP Top 25,8,Wisconsin,Big Ten,0
2011,regular,2,AP Top 25,9,Oklahoma State,Big 12,0
2011,regular,2,AP Top 25,10,Nebraska,Big Ten,0
2011,regular,2,AP Top 25,11,Virginia Tech,ACC,0
2011,regular,2,AP Top 25,12,South Carolina,SEC,0
2011,regular,2,AP Top 25,13,Oregon,Pac-12,0
2011,regular,2,AP Top 25,14,Arkansas,SEC,0
2011,regular,2,AP Top 25,15,Ohio State,Big Ten,0
2011,regular,2,AP Top 25,16,Mississippi State,SEC,0
2011,regular,2,AP Top 25,17,Michigan State,Big Ten,0
2011,regular,2,AP Top 25,18,Florida,SEC,0
2011,regular,2,AP Top 25,19,West Virginia,Big East,0
2011,regular,2,AP Top 25,20,Baylor,Big 12,0
2011,regular,2,AP Top 25,21,Missouri,Big 12,0
2011,regular,2,AP Top 25,22,South Florida,Big East,0
2011,regular,2,AP Top 25,23,Penn State,Big Ten,0
2011,regular,2,AP Top 25,24,Texas,Big 12,0
2011,regular,2,AP Top 25,25,TCU,Mountain West,0
2011,regular,2,Coaches Poll,1,Oklahoma,Big 12,43
2011,regular,2,Coaches Poll,2,Alabama,SEC,9
2011,regular,2,Coaches Poll,3,LSU,SEC,7
2011,regular,2,Coaches Poll,4,Florida State,ACC,0
2011,regular,2,Coaches Poll,5,Boise State,Mountain West,0
2011,regular,2,Coaches Poll,6,Stanford,Pac-12,0
2011,regular,2,Coaches Poll,7,Oklahoma State,Big 12,0
2011,regular,2,Coaches Poll,8,Texas A&M,Big 12,0
2011,regular,2,Coaches Poll,9,Wisconsin,Big Ten,0
2011,regular,2,Coaches Poll,10,Nebraska,Big Ten,0
2011,regular,2,Coaches Poll,11,Virginia Tech,ACC,0
2011,regular,2,Coaches Poll,12,South Carolina,SEC,0
2011,regular,2,Coaches Poll,13,Arkansas,SEC,0
2011,regular,2,Coaches Poll,14,Oregon,Pac-12,0
2011,regular,2,Coaches Poll,15,Ohio State,Big Ten,0
2011,regular,2,Coaches Poll,16,Michigan State,Big Ten,0
2011,regular,2,Coaches Poll,17,Mississippi State,SEC,0
2011,regular,2,Coaches Poll,18,Florida,SEC,0
2011,regular,2,Coaches Poll,19,Missouri,Big 12,0
2011,regular,2,Coaches Poll,20,Penn State,Big Ten,0
2011,regular,2,Coaches Poll,21,Texas,Big 12,0
2011,regular,2,Coaches Poll,22,Auburn,SEC,0
2011,regular,2,Coaches Poll,23,Arizona State,Pac-12,0
2011,regular,2,Coaches Poll,24,West Virginia,Big East,0
2011,regular,2,Coaches Poll,25,TCU,Mountain West,0
2011,regular,3,AP Top 25,1,Oklahoma,Big 12,31
2011,regular,3,AP Top 25,2,Alabama,SEC,10
2011,regular,3,AP Top 25,3,LSU,SEC,17
2011,regular,3,AP Top 25,4,Boise State,Mountain West,2
2011,regular,3,AP Top 25,5,Florida State,ACC,0
2011,regular,3,AP Top 25,6,Stanford,Pac-12,0
2011,regular,3,AP Top 25,7,Wisconsin,Big Ten,0
2011,regular,3,AP Top 25,8,Oklahoma State,Big 12,0
2011,regular,3,AP Top 25,9,Texas A&M,Big 12,0
2011,regular,3,AP Top 25,10,South Carolina,SEC,0
2011,regular,3,AP Top 25,11,Nebraska,Big Ten,0
2011,regular,3,AP Top 25,12,Oregon,Pac-12,0
2011,regular,3,AP Top 25,13,Virginia Tech,ACC,0
2011,regular,3,AP Top 25,14,Arkansas,SEC,0
2011,regular,3,AP Top 25,15,Michigan State,Big Ten,0
2011,regular,3,AP Top 25,16,Florida,SEC,0
2011,regular,3,AP Top 25,17,Ohio State,Big Ten,0
2011,regular,3,AP Top 25,18,West Virginia,Big East,0
2011,regular,3,AP Top 25,19,Baylor,Big 12,0
2011,regular,3,AP Top 25,20,South Florida,Big East,0
2011,regular,3,AP Top 25,21,Auburn,SEC,0
2011,regular,3,AP Top 25,22,Arizona State,Pac-12,0
2011,regular,3,AP Top 25,23,Texas,Big 12,0
2011,regular,3,AP Top 25,23,TCU,Mountain West,0
2011,regular,3,AP Top 25,25,Mississippi State,SEC,0
2011,regular,3,Coaches Poll,1,Oklahoma,Big 12,44
2011,regular,3,Coaches Poll,2,Alabama,SEC,8
2011,regular,3,Coaches Poll,3,LSU,SEC,7
2011,regular,3,Coaches Poll,4,Boise State,Mountain West,0
2011,regular,3,Coaches Poll,5,Florida State,ACC,0
2011,regular,3,Coaches Poll,6,Stanford,Pac-12,0
2011,regular,3,Coaches Poll,7,Oklahoma State,Big 12,0
2011,regular,3,Coaches Poll,8,Wisconsin,Big Ten,0
2011,regular,3,Coaches Poll,9,Texas A&M,Big 12,0
2011,regular,3,Coaches Poll,10,Nebraska,Big Ten,0
