season,seasontype,week,poll,rank,team,conference,points
2017,regular,1,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,850
2017,regular,1,AFCA Division II Coaches Poll,2,Grand Valley State University,GLIAC,765
2017,regular,1,AFCA Division II Coaches Poll,3,Ferris State,GLIAC,716
2017,regular,1,AFCA Division II Coaches Poll,4,Emporia State University,Mid America,652
2017,regular,1,AFCA Division II Coaches Poll,5,East Texas A&M,Lone Star,634
2017,regular,1,AFCA Division II Coaches Poll,6,North Alabama,Gulf South,622
2017,regular,1,AFCA Division II Coaches Poll,7,Shepherd,Mountain East,574
2017,regular,1,AFCA Division II Coaches Poll,8,PennWest California,Pennsylvania State Athletic,568
2017,regular,1,AFCA Division II Coaches Poll,9,Indiana-Pennsylvania,Pennsylvania State Athletic,500
2017,regular,1,AFCA Division II Coaches Poll,10,Minnesota Duluth,Northern Sun,431
2017,regular,1,AFCA Division II Coaches Poll,11,Valdosta State,Gulf South,390
2017,regular,1,AFCA Division II Coaches Poll,12,CSU Pueblo,Rocky Mountain,349
2017,regular,1,AFCA Division II Coaches Poll,13,Azusa Pacific,Great Northwest,302
2017,regular,1,AFCA Division II Coaches Poll,14,LIU Post,Northeast 10,288
2017,regular,1,AFCA Division II Coaches Poll,15,Harding University,Great American,281
2017,regular,1,AFCA Division II Coaches Poll,16,Colorado School Of Mines,Rocky Mountain,254
2017,regular,1,AFCA Division II Coaches Poll,17,Sioux Falls,Northern Sun,235
2017,regular,1,AFCA Division II Coaches Poll,18,Southwest Baptist,Great Lakes,227
2017,regular,1,AFCA Division II Coaches Poll,19,UNC Pembroke,Independent DII,220
2017,regular,1,AFCA Division II Coaches Poll,20,Minnesota State Mankato,Northern Sun,201
2017,regular,1,AFCA Division II Coaches Poll,21,Central Missouri,Mid America,189
2017,regular,1,AFCA Division II Coaches Poll,22,Southern Arkansas,Great American,157
2017,regular,1,AFCA Division II Coaches Poll,23,Colorado Mesa,Rocky Mountain,154
2017,regular,1,AFCA Division II Coaches Poll,24,Midwestern State,Lone Star,138
2017,regular,1,AFCA Division II Coaches Poll,25,Bemidji State,Northern Sun,133
2017,regular,1,AP Top 25,1,Alabama,SEC,1513
