Team,TeamID
N.M. Highlands,2726
Navy,1711
NC State,1276
Nebraska,2273
Nelson,17617
Nevada,555
New England Col.,203
New Hampshire,1952
New Haven,1268
New Jersey City,2480
New Mexico,1954
New Mexico St.,1270
New Orleans,1272
Newberry,1603
Niagara,557
Nicholls,207
NIU,566
NJIT,1953
Norfolk St.,2606
North Ala.,1638
North American,1388488
North Carolina,2271
North Dakota,2608
North Dakota St.,2284
North Florida,2398
North Greenville,686
North Texas,916
Northeastern,565
Northern Ariz.,1279
Northern Colo.,1644
Northern Ky.,568
Northwest (WA),54112
Northwestern,1649
Northwestern St.,2613
Notre Dame,1284
Oakland,570
Oakland City,1387968
Oakwood,17522
Occidental,571
Oglethorpe,330
Ohio,1289
Ohio St.,2288
Okla. Christian,202153
Oklahoma,1653
Oklahoma St.,222
Old Dominion,923
Ole Miss,2200
Omaha,1263
Oral Roberts,575
Oregon,1291
Oregon St.,925
Ouachita Baptist,1239
P.R.-Bayamon,202154
P.R.-Mayaguez,202137
Pace,576
Pacific,1966
Palm Beach Atl.,2056
Park (AZ),1387425
Penn,577
Penn St.,1968
Pensacola Christian,54114
Pepperdine,1969
Pitt.-Johnstown,1970
Pittsburgh,2298
Point Loma,18525
Point Park,1388966
Point U.,54064
Portland,930
Portland St.,1972
Prairie View,2301
Presbyterian,1930
Princeton,581
Providence,933
Purchase,1730
Purdue,935
Purdue Fort Wayne,2474
Queens (NC),694
Quinnipiac,2624
Radford,2304
Randolph,1978
Regis (CO),2305
Rensselaer,937
Rhode Island,1305
Rice,1984
Richmond,938
Rider,248
Ripon,1663
Robert Morris,2309
Roosevelt,1388726
Rust,1371997
Rutgers,2313
Sacramento St.,1767
Sacred Heart,1310
Saint Anselm,1668
Saint Francis,1670
Saint Joseph's,1675
Saint Louis,2321
Saint Martin's,1931
Saint Mary's (CA),1992
Saint Peter's,1320
Salem (WV),993
Sam Houston,2325
Samford,604
San Diego,605
San Diego St.,2641
San Fran. St.,606
San Francisco,607
San Jose St.,1682
Santa Clara,2327
Schreiner,1245
Scranton,1998
Seattle Pacific,1323
Seattle U,1935
Seton Hall,264
Sewanee,2651
SFA,1338
Shaw,1999
Siena,267
Simmons (KY),1371996
Simpson (CA),53965
Sioux Falls,202145
SIUE,2652
Slippery Rock,2329
SMU,2006
South Alabama,609
South Carolina,272
South Carolina St.,271
South Dakota,610
South Dakota Mines,202150
South Dakota St.,273
South Fla.,2650
Southeast Mo. St.,614
Southeastern La.,1692
Southern Ark.,1937
Southern California,1329
Southern Ill.,1331
Southern Ind.,2333
Southern Miss.,618
Southern U.,1334
Southern Utah,2656
Southern-N.O.,53967
Southwestern Christ.,51949
Spalding,2044
St. Bonaventure,591
St. Francis (IL),54003
St. John's (NY),2319
St. Mary (NE),53959
St. Mary's (MD),947
St. Mary's (TX),1932
St. Mary-Woods,53958
St. Thomas (MN),949
St. Thomas (TX),1371972
Stanford,2008
Stanislaus St.,2414
Stanton,1389035
Stephens College,53532
Stetson,280
Stevenson,2042
Stillman,58639
Stonehill,1339
Stony Brook,2009
SUNY Geneseo,2460
SUNY New Paltz,1955
Syracuse,1341
Talladega,17533
TAMU-San Antonio,1389037
Tarleton St.,2591
TCU,1347
Temple,2342
Tennessee,1702
Tennessee St.,1700
Tennessee Tech,2668
Tex. A&M Int'l,2064
Tex. A&M-Kingsville,2343
Texas,289
Texas A&M,2671
Texas Col.,53971
Texas Southern,2015
Texas St.,2657
Texas Tech,629
Texas-Dallas,2369
Thiel,2345
Toledo,2019
Tougaloo,16450
Towson,1706
Transylvania,1388
Trevecca Nazarene,202139
Trinity (FL),58619
Trinity Baptist,18100
Troy,1352
Truman St.,564
Tulane,967
Tulsa,1708
Tusculum,344
Tuskegee,2676
UAB,451
UAlbany,1543
UC Davis,2093
UC Irvine,352
UC Riverside,2096
UC San Diego,1771
UC Santa Barbara,1063
UC Santa Cruz,5
UCF,1069
UCLA,702
UConn,2430
UIC,758
UIW,1414
ULM,210
UMass Lowell,788
UMBC,96
UMES,97
UNC Asheville,1620
UNC Greensboro,1260
UNC Pembroke,927
UNCW,2600
UNI,214
UNLV,1265
UNT Dallas,1387963
Ursinus,971
USC Upstate,1755
UT Arlington,1348
UT Martin,1345
Utah,2025
Utah St.,2353
Utah Tech,1405
Utah Valley,658
UTEP,964
UTRGV,1292
UTSA,1349
UVA Wise,202127
Valparaiso,2679
Vanderbilt,2027
VCU,2683
Vermont,2681
Villanova,638
Virginia,1364
Virginia St.,2355
Virginia Tech,976
Virginia-Lynchburg,8007
Wagner,979
Wake Forest,1366
Walla Walla,56129
Walsh,202152
Warner Pacific,18534
Warren Wilson,1387969
Washington,1370
Washington Adventist,54047
Washington St.,2687
Wayne St. (MI),2360
Weber St.,303
Wesleyan (GA),697
West Ala.,1525
West Chester,646
West Ga.,647
West Liberty,2263
West Virginia,304
Western Caro.,2366
Western Ill.,1723
Western Ky.,650
Western Mich.,847
Western N.M.,892
Western Ore.,894
Westminster (MO),1940
Westminster (UT),53327
Westmont,1388513
Wichita St.,849
Wilberforce,53979
Wiley,17565
Willamette,140
William & Mary,1571
William Carey,17571
William Jewell,202141
Winston-Salem,1198
Winthrop,497
Wis. Lutheran,339
Wis.-Stevens Point,501
Wis.-Stout,502
Wisconsin,1200
Wofford,1416
Worcester St.,1205
Wright St.,1578
Wyoming,1884
Xavier,1885
Yale,1579
York (NE),54067
Youngstown St.,1888
