TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,date
1611661330,Atlanta Dream,1,0,1,0.0,40.0,33.0,73.0,0.452,1.0,9.0,0.111,16.0,21.0,0.762,11.0,23.0,34.0,24.0,13.0,6.0,2.0,5.0,19.0,21.0,83.0,-7.0,1,6,6,6,1,5,3,7,10,10,9,2,3,7,2,6,5,3,3,6,5,7,8,1,6,7,08/13/2010
1611661323,Connecticut Sun,1,1,0,1.0,40.0,37.0,67.0,0.552,7.0,22.0,0.318,7.0,9.0,0.778,7.0,30.0,37.0,27.0,15.0,9.0,2.0,2.0,13.0,19.0,88.0,20.0,1,1,1,1,1,3,6,2,2,1,6,10,10,4,8,2,3,1,5,3,5,3,1,2,5,1,08/13/2010
1611661325,Indiana Fever,1,1,0,1.0,40.0,43.0,75.0,0.573,9.0,22.0,0.409,15.0,22.0,0.682,10.0,25.0,35.0,24.0,12.0,6.0,5.0,2.0,14.0,18.0,110.0,20.0,1,1,1,1,1,1,2,1,1,1,2,3,2,9,3,4,4,3,2,6,3,3,2,4,1,1,08/13/2010
1611661324,Minnesota Lynx,1,0,1,0.0,40.0,23.0,76.0,0.303,2.0,19.0,0.105,10.0,13.0,0.769,10.0,24.0,34.0,9.0,10.0,10.0,7.0,0.0,14.0,17.0,58.0,-3.0,1,6,6,6,1,9,1,10,9,4,10,7,5,5,3,5,5,10,1,2,1,1,2,5,10,6,08/13/2010
1611661313,New York Liberty,1,1,0,1.0,40.0,31.0,58.0,0.534,5.0,11.0,0.455,23.0,28.0,0.821,4.0,27.0,31.0,21.0,15.0,6.0,5.0,2.0,21.0,19.0,90.0,7.0,1,1,1,1,1,6,10,3,7,9,1,1,1,3,10,3,7,5,5,6,3,3,10,2,3,4,08/13/2010
1611661317,Phoenix Mercury,1,0,1,0.0,40.0,36.0,72.0,0.5,6.0,16.0,0.375,12.0,13.0,0.923,8.0,20.0,28.0,14.0,13.0,6.0,2.0,5.0,18.0,14.0,90.0,-20.0,1,6,6,6,1,4,5,5,4,5,3,4,5,1,7,8,8,8,3,6,5,7,7,8,3,8,08/13/2010
1611661319,San Antonio Silver Stars,1,1,0,1.0,40.0,38.0,73.0,0.521,6.0,16.0,0.375,12.0,20.0,0.6,20.0,22.0,42.0,26.0,19.0,9.0,1.0,7.0,15.0,17.0,94.0,20.0,1,1,1,1,1,2,3,4,4,5,3,4,4,10,1,7,2,2,9,3,9,9,4,5,2,1,08/13/2010
1611661328,Seattle Storm,1,0,1,0.0,40.0,26.0,62.0,0.419,7.0,22.0,0.318,9.0,13.0,0.692,5.0,19.0,24.0,18.0,17.0,9.0,2.0,2.0,19.0,13.0,68.0,-20.0,1,6,6,6,1,8,7,8,2,1,6,9,5,8,9,9,10,7,7,3,5,3,8,10,8,8,08/13/2010
1611661321,Tulsa Shock,1,0,1,0.0,40.0,30.0,61.0,0.492,4.0,14.0,0.286,10.0,13.0,0.769,9.0,16.0,25.0,20.0,18.0,11.0,7.0,1.0,17.0,15.0,74.0,-20.0,1,6,6,6,1,7,8,6,8,8,8,7,5,5,5,10,9,6,8,1,1,2,5,7,7,8,08/13/2010
1611661322,Washington Mystics,1,1,0,1.0,40.0,22.0,61.0,0.361,6.0,16.0,0.375,11.0,13.0,0.846,9.0,37.0,46.0,11.0,23.0,2.0,0.0,7.0,17.0,14.0,61.0,3.0,1,1,1,1,1,10,8,9,4,5,3,6,5,2,5,1,1,9,10,10,10,9,5,8,9,5,08/13/2010
