TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,date
1611661325,Indiana Fever,1,1,0,1.0,40.0,32.0,67.0,0.478,7.0,24.0,0.292,12.0,14.0,0.857,7.0,34.0,41.0,20.0,15.0,6.0,2.0,1.0,15.0,11.0,83.0,5.0,1,1,1,1,1,1,3,1,3,4,2,1,2,1,3,1,1,1,3,4,2,1,3,4,1,2,07/06/2024
1611661324,Minnesota Lynx,1,1,0,1.0,40.0,27.0,70.0,0.386,10.0,28.0,0.357,10.0,14.0,0.714,13.0,25.0,38.0,20.0,14.0,9.0,3.0,1.0,17.0,14.0,74.0,7.0,1,1,1,1,1,3,2,4,1,2,1,2,2,3,1,3,2,1,2,1,1,1,4,3,3,1,07/06/2024
1611661313,New York Liberty,1,0,1,0.0,40.0,29.0,71.0,0.408,10.0,42.0,0.238,10.0,16.0,0.625,8.0,23.0,31.0,20.0,10.0,7.0,1.0,2.0,11.0,15.0,78.0,-5.0,1,3,3,3,1,2,1,3,1,1,4,2,1,4,2,4,4,1,1,2,3,3,1,2,2,3,07/06/2024
1611661322,Washington Mystics,1,0,1,0.0,40.0,25.0,60.0,0.417,7.0,28.0,0.25,10.0,13.0,0.769,6.0,26.0,32.0,19.0,18.0,7.0,1.0,3.0,14.0,17.0,67.0,-7.0,1,3,3,3,1,4,4,2,3,2,3,2,4,2,4,2,3,4,4,2,3,4,2,1,4,4,07/06/2024
