season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2015,7,South Alabama,6,Sun Belt,31,1214.0,1181.0,Arkansas State,2032,Sun Belt,49,1322.0,1355.0,1,-18
2015,7,Kentucky,96,SEC,27,1476.0,1483.0,Auburn,2,SEC,30,1669.0,1662.0,1,-3
2015,7,North Texas,249,Conference USA,28,1072.0,1071.0,Western Kentucky,98,Conference USA,55,1739.0,1740.0,1,-27
2015,7,Arkansas-Pine Bluff,2029,SWAC,24,,,Alabama State,2011,SWAC,31,,,1,-7
2015,7,Stanford,24,Pac-12,56,1884.0,1920.0,UCLA,26,Pac-12,35,1752.0,1716.0,1,21
2015,7,BYU,252,FBS Independents,38,1559.0,1588.0,Cincinnati,2132,American Athletic,24,1564.0,1535.0,0,14
2015,7,Utah State,328,Mountain West,52,1638.0,1741.0,Boise State,68,Mountain West,26,1925.0,1822.0,1,26
2015,7,Tulane,2655,American Athletic,7,1162.0,1124.0,Houston,248,American Athletic,42,1674.0,1712.0,1,-35
2015,7,Fresno State,278,Mountain West,31,1100.0,1102.0,UNLV,2439,Mountain West,28,1212.0,1210.0,1,3
2015,7,Brown,225,Ivy,38,,,Princeton,163,Ivy,31,,,1,7
2015,7,Rhode Island,227,CAA,12,,,Richmond,257,CAA,37,,,1,-25
2015,7,Army,349,FBS Independents,21,,,Bucknell,2083,Patriot,14,,,0,7
2015,7,Ohio,195,Mid-American,14,1442.0,1330.0,Western Michigan,2711,Mid-American,49,1377.0,1489.0,1,-35
2015,7,East Carolina,151,American Athletic,30,1564.0,1572.0,Tulsa,202,American Athletic,17,1346.0,1338.0,1,13
2015,7,Baylor,239,Big 12,62,2098.0,2120.0,West Virginia,277,Big 12,38,1740.0,1718.0,1,24
2015,7,UConn,41,American Athletic,20,1362.0,1348.0,South Florida,58,American Athletic,28,1382.0,1396.0,1,-8
2015,7,William & Mary,2729,CAA,34,,,New Hampshire,160,CAA,18,,,1,16
2015,7,Memphis,235,American Athletic,37,1639.0,1677.0,Ole Miss,145,SEC,24,1786.0,1748.0,0,13
2015,7,Florida State,52,ACC,41,1826.0,1858.0,Louisville,97,ACC,21,1682.0,1650.0,1,20
2015,7,Middle Tennessee,2393,Conference USA,42,1491.0,1497.0,Florida International,2229,Conference USA,34,1386.0,1380.0,1,8
2015,7,Florida Atlantic,2226,Conference USA,17,1267.0,1268.0,Marshall,276,Conference USA,33,1676.0,1675.0,1,-16
2015,7,Wisconsin,275,Big Ten,24,1812.0,1802.0,Purdue,2509,Big Ten,7,1263.0,1273.0,1,17
2015,7,Kansas,2305,Big 12,20,1120.0,1140.0,Texas Tech,2641,Big 12,30,1638.0,1618.0,1,-10
2015,7,Mississippi State,344,SEC,45,1742.0,1800.0,Louisiana Tech,2348,Conference USA,20,1701.0,1643.0,0,25
2015,7,Toledo,2649,Mid-American,63,1645.0,1694.0,Eastern Michigan,2199,Mid-American,20,1045.0,996.0,1,43
2015,7,Northwestern,77,Big Ten,10,1533.0,1469.0,Iowa,2294,Big Ten,40,1687.0,1751.0,1,-30
2015,7,Bryant,2803,NEC,38,,,Duquesne,2184,NEC,17,,,1,21
2015,7,Central Connecticut,2115,NEC,7,,,Dartmouth,159,Ivy,34,,,0,-27
2015,7,Georgia Tech,59,ACC,28,1730.0,1714.0,Pittsburgh,221,ACC,31,1554.0,1570.0,1,-3
2015,7,Central Michigan,2117,Mid-American,51,1427.0,1529.0,Buffalo,2084,Mid-American,14,1402.0,1300.0,1,37
2015,7,Fordham,2230,Patriot,47,,,Holy Cross,107,Patriot,41,,,1,6
2015,7,Georgetown,46,Patriot,13,,,Colgate,2142,Patriot,17,,,1,-4
2015,7,Kennesaw State,338,Big South,12,,,Gardner-Webb,2241,Big South,7,,,1,5
2015,7,Monmouth,2405,Big South,20,,,Liberty,2335,Big South,17,,,1,3
2015,7,Sacred Heart,2529,NEC,31,,,Cornell,172,Ivy,6,,,0,25
2015,7,Morgan State,2415,MEAC,10,,,Hampton,2261,MEAC,20,,,1,-10
2015,7,North Carolina A&T,2448,MEAC,24,,,Bethune-Cookman,2065,MEAC,14,,,1,10
2015,7,Butler,2086,Pioneer,38,,,Davidson,2166,Pioneer,7,,,1,31
2015,7,Stetson,56,Pioneer,6,,,Campbell,2097,Pioneer,16,,,1,-10
2015,7,Jacksonville,294,Pioneer,49,,,Edward Waters,2206,SIAC,28,,,0,21
2015,7,VMI,2678,Southern,27,,,Chattanooga,236,Southern,33,,,1,-6
