season,team,conference,offense,defense
2025,Air Force,Mountain West,"{'plays': 823, 'drives': 117, 'ppa': 0.286935598221958, 'totalPPA': 236.14799733667144, 'successRate': 0.47630619684082626, 'explosiveness': 1.2013665208389686, 'powerSuccess': 0.788235294117647, 'stuffRate': 0.11856474258970359, 'lineYards': 3.2709828393135725, 'lineYardsTotal': 2097, 'secondLevelYards': 1.0374414976599065, 'secondLevelYardsTotal': 665, 'openFieldYards': 0.9407176287051482, 'openFieldYardsTotal': 603, 'totalOpportunies': 72, 'pointsPerOpportunity': 4.597222222222222, 'fieldPosition': {'averageStart': 71.8, 'averagePredictedPoints': 1.24}, 'havoc': {'total': 0.09, 'frontSeven': 0.066, 'db': 0.024}, 'standardDowns': {'rate': 0.7594167679222357, 'ppa': 0.25701296078457664, 'successRate': 0.5248, 'explosiveness': 1.0357838872062495}, 'passingDowns': {'rate': 0.24058323207776428, 'ppa': 0.3813883679106618, 'successRate': 0.32323232323232326, 'explosiveness': 2.0499775182066546}, 'rushingPlays': {'rate': 0.778857837181045, 'ppa': 0.228549688055938, 'totalPPA': 146.50035004385626, 'successRate': 0.48205928237129486, 'explosiveness': 0.9488883936121759}, 'passingPlays': {'rate': 0.20899149453219928, 'ppa': 0.5452085086966985, 'totalPPA': 93.77586349583213, 'successRate': 0.47093023255813954, 'explosiveness': 2.1339353422617204}}","{'plays': 704, 'drives': 118, 'ppa': 0.4016443170135715, 'totalPPA': 282.7575991775543, 'successRate': 0.4943181818181818, 'explosiveness': 1.3668087243470741, 'powerSuccess': 0.7551020408163265, 'stuffRate': 0.13953488372093023, 'lineYards': 3.270058139534884, 'lineYardsTotal': 1125, 'secondLevelYards': 1.194767441860465, 'secondLevelYardsTotal': 411, 'openFieldYards': 1.5581395348837208, 'openFieldYardsTotal': 0, 'totalOpportunies': 69, 'pointsPerOpportunity': 4.27536231884058, 'fieldPosition': {'averageStart': 71.5, 'averagePredictedPoints': -1.286}, 'havoc': {'total': 0.107, 'frontSeven': 0.063, 'db': 0.044}, 'standardDowns': {'rate': 0.7215909090909091, 'ppa': 0.27905256282365065, 'successRate': 0.5295275590551181, 'explosiveness': 1.1110343145030757}, 'passingDowns': {'rate': 0.2784090909090909, 'ppa': 0.7193821288935704, 'totalPPA': 177.67094565063843, 'successRate': 0.4030612244897959, 'explosiveness': 2.237736778119677}, 'rushingPlays': {'rate': 0.48863636363636365, 'ppa': 0.2925295785516217, 'totalPPA': 100.63017502175786, 'successRate': 0.45348837209302323, 'explosiveness': 1.2026404587542565}, 'passingPlays': {'rate': 0.49573863636363635, 'ppa': 0.5090858041565571, 'totalPPA': 177.67094565063843, 'successRate': 0.5358166189111748, 'explosiveness': 1.4647699209453076}}"
2025,Akron,Mid-American,"{'plays': 848, 'drives': 155, 'ppa': 0.07016411537606243, 'totalPPA': 59.49916983890095, 'successRate': 0.39504716981132076, 'explosiveness': 1.180533368002093, 'powerSuccess': 0.7, 'stuffRate': 0.2, 'lineYards': 2.83875, 'lineYardsTotal': 1136, 'secondLevelYards': 1.115, 'secondLevelYardsTotal': 446, 'openFieldYards': 0.8575, 'openFieldYardsTotal': 343, 'totalOpportunies': 75, 'pointsPerOpportunity': 3.2533333333333334, 'fieldPosition': {'averageStart': 70.6, 'averagePredictedPoints': 1.37}, 'havoc': {'total': 0.179, 'frontSeven': 0.102, 'db': 0.077}, 'standardDowns': {'rate': 0.6627358490566038, 'ppa': 0.02725666585309287, 'successRate': 0.4555160142348754, 'explosiveness': 0.9517066101753686}, 'passingDowns': {'rate': 0.33726415094339623, 'ppa': 0.15447875394917046, 'successRate': 0.2762237762237762, 'explosiveness': 1.9220479250102132}, 'rushingPlays': {'rate': 0.4716981132075472, 'ppa': 0.01188382092887322, 'totalPPA': 4.753528371549288, 'successRate': 0.4225, 'explosiveness': 0.7808170234058902}, 'passingPlays': {'rate': 0.5047169811320755, 'ppa': 0.1683024163776489, 'totalPPA': 72.03343420963373, 'successRate': 0.37850467289719625, 'explosiveness': 1.571895582607505}}","{'plays': 791, 'drives': 152, 'ppa': 0.14564764166308092, 'totalPPA': 115.20728455549701, 'successRate': 0.40328697850821743, 'explosiveness': 1.3124423153582485, 'powerSuccess': 0.5967741935483871, 'stuffRate': 0.2097560975609756, 'lineYards': 2.90609756097561, 'lineYardsTotal': 1192, 'secondLevelYards': 1.075609756097561, 'secondLevelYardsTotal': 441, 'openFieldYards': 1.4804878048780488, 'openFieldYardsTotal': 0, 'totalOpportunies': 73, 'pointsPerOpportunity': 3.684931506849315, 'fieldPosition': {'averageStart': 68.3, 'averagePredictedPoints': -1.542}, 'havoc': {'total': 0.173, 'frontSeven': 0.11, 'db': 0.063}, 'standardDowns': {'rate': 0.7130214917825537, 'ppa': 0.0944516165488795, 'successRate': 0.4592198581560284, 'explosiveness': 1.0977685169058167}, 'passingDowns': {'rate': 0.28697850821744625, 'ppa': 0.2728483384225946, 'totalPPA': 85.38475713846981, 'successRate': 0.2643171806167401, 'explosiveness': 2.2391175453445795}, 'rushingPlays': {'rate': 0.5183312262958281, 'ppa': 0.09770964095920569, 'totalPPA': 40.06095279327433, 'successRate': 0.4268292682926829, 'explosiveness': 1.013908915386198}, 'passingPlays': {'rate': 0.47281921618204803, 'ppa': 0.22830148967505295, 'totalPPA': 85.38475713846981, 'successRate': 0.3850267379679144, 'explosiveness': 1.6752433222687269}}"
2025,Alabama,SEC,"{'plays': 894, 'drives': 138, 'ppa': 0.23370296118119452, 'totalPPA': 208.9304472959879, 'successRate': 0.44742729306487694, 'explosiveness': 1.262090420605634, 'powerSuccess': 0.6774193548387096, 'stuffRate': 0.16458852867830423, 'lineYards': 2.9331670822942644, 'lineYardsTotal': 1176, 'secondLevelYards': 0.8877805486284289, 'secondLevelYardsTotal': 356, 'openFieldYards': 0.6583541147132169, 'openFieldYardsTotal': 264, 'totalOpportunies': 83, 'pointsPerOpportunity': 4.265060240963855, 'fieldPosition': {'averageStart': 69.6, 'averagePredictedPoints': 1.431}, 'havoc': {'total': 0.128, 'frontSeven': 0.074, 'db': 0.054}, 'standardDowns': {'rate': 0.7170022371364653, 'ppa': 0.14552134564273067, 'successRate': 0.48829953198127923, 'explosiveness': 1.0310690514860694}, 'passingDowns': {'rate': 0.2829977628635347, 'ppa': 0.4571196234742985, 'successRate': 0.3438735177865613, 'explosiveness': 2.0932362658288954}, 'rushingPlays': {'rate': 0.44854586129753915, 'ppa': 0.08418460661672965, 'totalPPA': 33.75802725330859, 'successRate': 0.4239401496259352, 'explosiveness': 0.8450914119272572}, 'passingPlays': {'rate': 0.540268456375839, 'ppa': 0.37758642906645745, 'totalPPA': 182.37424523909894, 'successRate': 0.474120082815735, 'explosiveness': 1.5722324400764165}}","{'plays': 777, 'drives': 144, 'ppa': 0.05702346006257948, 'totalPPA': 44.30722846862426, 'successRate': 0.3680823680823681, 'explosiveness': 1.2409868391002679, 'powerSuccess': 0.7222222222222222, 'stuffRate': 0.20537897310513448, 'lineYards': 2.6711491442542785, 'lineYardsTotal': 1093, 'secondLevelYards': 0.9731051344743277, 'secondLevelYardsTotal': 398, 'openFieldYards': 1.215158924205379, 'openFieldYardsTotal': 0, 'totalOpportunies': 57, 'pointsPerOpportunity': 3.3333333333333335, 'fieldPosition': {'averageStart': 71.5, 'averagePredictedPoints': -1.267}, 'havoc': {'total': 0.184, 'frontSeven': 0.118, 'db': 0.066}, 'standardDowns': {'rate': 0.6486486486486487, 'ppa': -0.02075925406473925, 'successRate': 0.4226190476190476, 'explosiveness': 1.0034200011681516}, 'passingDowns': {'rate': 0.35135135135135137, 'ppa': 0.20062231691301408, 'totalPPA': 30.94247227273578, 'successRate': 0.2673992673992674, 'explosiveness': 1.9341613114227445}, 'rushingPlays': {'rate': 0.5263835263835264, 'ppa': 0.07321517563830769, 'totalPPA': 29.945006836067844, 'successRate': 0.37163814180929094, 'explosiveness': 1.0492035176662118}, 'passingPlays': {'rate': 0.4543114543114543, 'ppa': 0.08765572881794839, 'totalPPA': 30.94247227273578, 'successRate': 0.37393767705382436, 'explosiveness': 1.4692146610964771}}"
2025,App State,Sun Belt,"{'plays': 866, 'drives': 145, 'ppa': 0.10676320118304587, 'totalPPA': 92.45693222451771, 'successRate': 0.40300230946882215, 'explosiveness': 1.2158445903961277, 'powerSuccess': 0.6875, 'stuffRate': 0.16573033707865167, 'lineYards': 2.9390449438202246, 'lineYardsTotal': 1046, 'secondLevelYards': 1.0421348314606742, 'secondLevelYardsTotal': 371, 'openFieldYards': 0.9943820224719101, 'openFieldYardsTotal': 354, 'totalOpportunies': 77, 'pointsPerOpportunity': 3.688311688311688, 'fieldPosition': {'averageStart': 72, 'averagePredictedPoints': 1.247}, 'havoc': {'total': 0.168, 'frontSeven': 0.079, 'db': 0.088}, 'standardDowns': {'rate': 0.6628175519630485, 'ppa': 0.012994611138949133, 'successRate': 0.45121951219512196, 'explosiveness': 0.9820525615957607}, 'passingDowns': {'rate': 0.3371824480369515, 'ppa': 0.2910891281875374, 'successRate': 0.3082191780821918, 'explosiveness': 1.8886460954994062}, 'rushingPlays': {'rate': 0.4110854503464203, 'ppa': 0.05647348273362871, 'totalPPA': 20.10455985317182, 'successRate': 0.42696629213483145, 'explosiveness': 0.7605456975906221}, 'passingPlays': {'rate': 0.5727482678983834, 'ppa': 0.19179792913189575, 'totalPPA': 95.13177284942029, 'successRate': 0.38911290322580644, 'explosiveness': 1.5798708795521375}}","{'plays': 882, 'drives': 146, 'ppa': 0.17712311055405083, 'totalPPA': 156.2225835086728, 'successRate': 0.4433106575963719, 'explosiveness': 1.205649177266662, 'powerSuccess': 0.7068965517241379, 'stuffRate': 0.18673218673218672, 'lineYards': 2.8216216216216217, 'lineYardsTotal': 1148, 'secondLevelYards': 1.0343980343980343, 'secondLevelYardsTotal': 421, 'openFieldYards': 0.9877149877149877, 'openFieldYardsTotal': 0, 'totalOpportunies': 76, 'pointsPerOpportunity': 4.184210526315789, 'fieldPosition': {'averageStart': 68.9, 'averagePredictedPoints': -1.475}, 'havoc': {'total': 0.17, 'frontSeven': 0.099, 'db': 0.071}, 'standardDowns': {'rate': 0.6757369614512472, 'ppa': 0.08249651484996799, 'successRate': 0.5016778523489933, 'explosiveness': 0.9179603978347006}, 'passingDowns': {'rate': 0.3242630385487528, 'ppa': 0.37431699530801366, 'totalPPA': 137.2332149967383, 'successRate': 0.32167832167832167, 'explosiveness': 2.140637710420536}, 'rushingPlays': {'rate': 0.4614512471655329, 'ppa': 0.06723297395527024, 'totalPPA': 27.363820399794985, 'successRate': 0.44226044226044225, 'explosiveness': 0.8550478117347086}, 'passingPlays': {'rate': 0.5249433106575964, 'ppa': 0.2964000323903635, 'totalPPA': 137.2332149967383, 'successRate': 0.4514038876889849, 'explosiveness': 1.4991422759877349}}"
2025,Arizona,Big 12,"{'plays': 821, 'drives': 143, 'ppa': 0.1744982248853361, 'totalPPA': 143.26304263086092, 'successRate': 0.42509135200974424, 'explosiveness': 1.2700810446565314, 'powerSuccess': 0.7647058823529411, 'stuffRate': 0.18781725888324874, 'lineYards': 3.078172588832487, 'lineYardsTotal': 1213, 'secondLevelYards': 1.2081218274111676, 'secondLevelYardsTotal': 476, 'openFieldYards': 1.4035532994923858, 'openFieldYardsTotal': 553, 'totalOpportunies': 82, 'pointsPerOpportunity': 3.573170731707317, 'fieldPosition': {'averageStart': 65.8, 'averagePredictedPoints': 1.682}, 'havoc': {'total': 0.149, 'frontSeven': 0.092, 'db': 0.057}, 'standardDowns': {'rate': 0.6967113276492083, 'ppa': 0.09721564464412634, 'successRate': 0.4825174825174825, 'explosiveness': 1.039819327470636}, 'passingDowns': {'rate': 0.3032886723507917, 'ppa': 0.3520308991743802, 'successRate': 0.2931726907630522, 'explosiveness': 2.140659591825122}, 'rushingPlays': {'rate': 0.47990255785627284, 'ppa': 0.1297284263984091, 'totalPPA': 51.11300000097318, 'successRate': 0.4213197969543147, 'explosiveness': 1.0457024437583002}, 'passingPlays': {'rate': 0.5152253349573691, 'ppa': 0.21860912502922467, 'totalPPA': 92.47165988736204, 'successRate': 0.4302600472813239, 'explosiveness': 1.4783067437919606}}","{'plays': 804, 'drives': 143, 'ppa': 0.05845378443904123, 'totalPPA': 46.99684268898915, 'successRate': 0.3706467661691542, 'explosiveness': 1.2010219121507018, 'powerSuccess': 0.7017543859649122, 'stuffRate': 0.19082125603864733, 'lineYards': 2.8591787439613525, 'lineYardsTotal': 1184, 'secondLevelYards': 0.9734299516908212, 'secondLevelYardsTotal': 403, 'openFieldYards': 0.8502415458937198, 'openFieldYardsTotal': 0, 'totalOpportunies': 53, 'pointsPerOpportunity': 3.3773584905660377, 'fieldPosition': {'averageStart': 72.9, 'averagePredictedPoints': -1.154}, 'havoc': {'total': 0.206, 'frontSeven': 0.113, 'db': 0.093}, 'standardDowns': {'rate': 0.6654228855721394, 'ppa': -0.005839488233916849, 'successRate': 0.43177570093457945, 'explosiveness': 0.9603235987063917}, 'passingDowns': {'rate': 0.3345771144278607, 'ppa': 0.1863233044391623, 'totalPPA': 30.60312632885529, 'successRate': 0.24907063197026022, 'explosiveness': 2.0308922167124277}, 'rushingPlays': {'rate': 0.5149253731343284, 'ppa': 0.10251822359277131, 'totalPPA': 42.44254456740732, 'successRate': 0.43478260869565216, 'explosiveness': 0.9160416606458583}, 'passingPlays': {'rate': 0.4564676616915423, 'ppa': 0.08338726520124057, 'totalPPA': 30.60312632885529, 'successRate': 0.31607629427792916, 'explosiveness': 1.6334975855814169}}"
2025,Arizona State,Big 12,"{'plays': 866, 'drives': 147, 'ppa': 0.1373379644556373, 'totalPPA': 118.93467721858191, 'successRate': 0.394919168591224, 'explosiveness': 1.2639344422125136, 'powerSuccess': 0.660377358490566, 'stuffRate': 0.19036697247706422, 'lineYards': 3.004816513761468, 'lineYardsTotal': 1310, 'secondLevelYards': 1.2408256880733946, 'secondLevelYardsTotal': 541, 'openFieldYards': 1.738532110091743, 'openFieldYardsTotal': 758, 'totalOpportunies': 75, 'pointsPerOpportunity': 3.32, 'fieldPosition': {'averageStart': 72.5, 'averagePredictedPoints': 1.246}, 'havoc': {'total': 0.174, 'frontSeven': 0.098, 'db': 0.075}, 'standardDowns': {'rate': 0.6709006928406467, 'ppa': 0.06500343306280795, 'successRate': 0.45266781411359724, 'explosiveness': 1.0525414754376503}, 'passingDowns': {'rate': 0.32909930715935337, 'ppa': 0.2847988863476859, 'successRate': 0.2771929824561403, 'explosiveness': 1.9676857113490838}, 'rushingPlays': {'rate': 0.5034642032332564, 'ppa': 0.13834305190199875, 'totalPPA': 60.31757062927146, 'successRate': 0.4334862385321101, 'explosiveness': 0.9826531334466412}, 'passingPlays': {'rate': 0.47575057736720555, 'ppa': 0.20506157031916158, 'totalPPA': 84.48536697149457, 'successRate': 0.3713592233009709, 'explosiveness': 1.6113995883350618}}","{'plays': 825, 'drives': 146, 'ppa': 0.09228164997647334, 'totalPPA': 76.1323612305905, 'successRate': 0.3987878787878788, 'explosiveness': 1.2196658625923267, 'powerSuccess': 0.6956521739130435, 'stuffRate': 0.20887728459530025, 'lineYards': 2.7232375979112273, 'lineYardsTotal': 1043, 'secondLevelYards': 0.8877284595300261, 'secondLevelYardsTotal': 340, 'openFieldYards': 0.9112271540469974, 'openFieldYardsTotal': 0, 'totalOpportunies': 76, 'pointsPerOpportunity': 3.3157894736842106, 'fieldPosition': {'averageStart': 68, 'averagePredictedPoints': -1.559}, 'havoc': {'total': 0.19, 'frontSeven': 0.111, 'db': 0.079}, 'standardDowns': {'rate': 0.673939393939394, 'ppa': 0.029549817687992082, 'successRate': 0.45323741007194246, 'explosiveness': 0.9660183753695085}, 'passingDowns': {'rate': 0.32606060606060605, 'ppa': 0.22194298362850154, 'totalPPA': 70.25996275087545, 'successRate': 0.2862453531598513, 'explosiveness': 2.0497849116851863}, 'rushingPlays': {'rate': 0.46424242424242423, 'ppa': 0.020364955834822517, 'totalPPA': 7.799778084737024, 'successRate': 0.40992167101827676, 'explosiveness': 0.9259716472179051}, 'passingPlays': {'rate': 0.526060606060606, 'ppa': 0.16188931509418306, 'totalPPA': 70.25996275087545, 'successRate': 0.38940092165898615, 'explosiveness': 1.4828147794346873}}"
2025,Arkansas,SEC,"{'plays': 789, 'drives': 131, 'ppa': 0.3022057534021279, 'totalPPA': 238.4403394342789, 'successRate': 0.4866920152091255, 'explosiveness': 1.3339673249825164, 'powerSuccess': 0.6607142857142857, 'stuffRate': 0.1994750656167979, 'lineYards': 3.38005249343832, 'lineYardsTotal': 1288, 'secondLevelYards': 1.5275590551181102, 'secondLevelYardsTotal': 582, 'openFieldYards': 2.3753280839895012, 'openFieldYardsTotal': 905, 'totalOpportunies': 80, 'pointsPerOpportunity': 4.2, 'fieldPosition': {'averageStart': 72.6, 'averagePredictedPoints': 1.198}, 'havoc': {'total': 0.169, 'frontSeven': 0.097, 'db': 0.072}, 'standardDowns': {'rate': 0.6932826362484157, 'ppa': 0.206868816844998, 'successRate': 0.5356489945155393, 'explosiveness': 1.0332207029772926}, 'passingDowns': {'rate': 0.30671736375158426, 'ppa': 0.5176987463639049, 'successRate': 0.3760330578512397, 'explosiveness': 2.3023053496806547}, 'rushingPlays': {'rate': 0.4828897338403042, 'ppa': 0.2782176199520056, 'totalPPA': 106.00091320171413, 'successRate': 0.5249343832020997, 'explosiveness': 1.065916137092875}, 'passingPlays': {'rate': 0.5069708491761724, 'ppa': 0.37269102084125394, 'totalPPA': 149.07640833650157, 'successRate': 0.455, 'explosiveness': 1.6445549969877127}}","{'plays': 820, 'drives': 134, 'ppa': 0.24770852666491325, 'totalPPA': 203.12099186522886, 'successRate': 0.45975609756097563, 'explosiveness': 1.2808714500124447, 'powerSuccess': 0.6724137931034483, 'stuffRate': 0.20088300220750552, 'lineYards': 2.9322295805739516, 'lineYardsTotal': 1328, 'secondLevelYards': 1.240618101545254, 'secondLevelYardsTotal': 562, 'openFieldYards': 1.4525386313465785, 'openFieldYardsTotal': 0, 'totalOpportunies': 80, 'pointsPerOpportunity': 4.2125, 'fieldPosition': {'averageStart': 71.5, 'averagePredictedPoints': -1.274}, 'havoc': {'total': 0.154, 'frontSeven': 0.09, 'db': 0.063}, 'standardDowns': {'rate': 0.6878048780487804, 'ppa': 0.15245202577469294, 'successRate': 0.5053191489361702, 'explosiveness': 1.002558561952282}, 'passingDowns': {'rate': 0.3121951219512195, 'ppa': 0.4575705051886798, 'totalPPA': 153.3918054623117, 'successRate': 0.359375, 'explosiveness': 2.1430363749814267}, 'rushingPlays': {'rate': 0.552439024390244, 'ppa': 0.16523753909867128, 'totalPPA': 74.85260521169809, 'successRate': 0.48123620309050774, 'explosiveness': 0.958417296695746}, 'passingPlays': {'rate': 0.4304878048780488, 'ppa': 0.4345376925277952, 'totalPPA': 153.3918054623117, 'successRate': 0.4475920679886686, 'explosiveness': 1.7276295223155422}}"
2025,Arkansas State,Sun Belt,"{'plays': 923, 'drives': 143, 'ppa': 0.08750431365950258, 'totalPPA': 80.76648150772088, 'successRate': 0.4268689057421452, 'explosiveness': 1.1257507576064112, 'powerSuccess': 0.6721311475409836, 'stuffRate': 0.20595533498759305, 'lineYards': 2.590818858560794, 'lineYardsTotal': 1044, 'secondLevelYards': 0.9081885856079405, 'secondLevelYardsTotal': 366, 'openFieldYards': 0.7741935483870968, 'openFieldYardsTotal': 312, 'totalOpportunies': 81, 'pointsPerOpportunity': 3.259259259259259, 'fieldPosition': {'averageStart': 70.2, 'averagePredictedPoints': 1.388}, 'havoc': {'total': 0.177, 'frontSeven': 0.101, 'db': 0.076}, 'standardDowns': {'rate': 0.7074756229685807, 'ppa': 0.0030469251309031514, 'successRate': 0.4793261868300153, 'explosiveness': 0.8861246720821083}, 'passingDowns': {'rate': 0.29252437703141926, 'ppa': 0.2917660718416338, 'successRate': 0.3, 'explosiveness': 2.0517132856200755}, 'rushingPlays': {'rate': 0.43661971830985913, 'ppa': -0.023225929538524898, 'totalPPA': -9.360049604025534, 'successRate': 0.40198511166253104, 'explosiveness': 0.7973406710406604}, 'passingPlays': {'rate': 0.551462621885157, 'ppa': 0.21645711525614028, 'totalPPA': 110.17667166537541, 'successRate': 0.44793713163064836, 'explosiveness': 1.3637200978526103}}","{'plays': 836, 'drives': 147, 'ppa': 0.18775785437183318, 'totalPPA': 156.96556625485252, 'successRate': 0.44019138755980863, 'explosiveness': 1.26091789601997, 'powerSuccess': 0.68, 'stuffRate': 0.1917808219178082, 'lineYards': 2.8075342465753423, 'lineYardsTotal': 1230, 'secondLevelYards': 1.139269406392694, 'secondLevelYardsTotal': 499, 'openFieldYards': 1.490867579908676, 'openFieldYardsTotal': 0, 'totalOpportunies': 75, 'pointsPerOpportunity': 3.88, 'fieldPosition': {'averageStart': 72, 'averagePredictedPoints': -1.281}, 'havoc': {'total': 0.143, 'frontSeven': 0.095, 'db': 0.048}, 'standardDowns': {'rate': 0.7033492822966507, 'ppa': 0.10135257459489387, 'successRate': 0.4914965986394558, 'explosiveness': 1.0319677065505801}, 'passingDowns': {'rate': 0.2966507177033493, 'ppa': 0.3926219854558667, 'totalPPA': 114.23400950220768, 'successRate': 0.3185483870967742, 'explosiveness': 2.0984698549649536}, 'rushingPlays': {'rate': 0.5239234449760766, 'ppa': 0.1251230216531295, 'totalPPA': 54.80388348407072, 'successRate': 0.4383561643835616, 'explosiveness': 1.014049240641684}, 'passingPlays': {'rate': 0.45933014354066987, 'ppa': 0.29748439974533253, 'totalPPA': 114.23400950220768, 'successRate': 0.4453125, 'explosiveness': 1.5157651766827973}}"
2025,Army,American Athletic,"{'plays': 801, 'drives': 115, 'ppa': 0.15808549537703595, 'totalPPA': 126.6264817970058, 'successRate': 0.40574282147315854, 'explosiveness': 1.1383261681179107, 'powerSuccess': 0.8085106382978723, 'stuffRate': 0.1346153846153846, 'lineYards': 2.964792899408284, 'lineYardsTotal': 2004, 'secondLevelYards': 0.75, 'secondLevelYardsTotal': 507, 'openFieldYards': 0.7544378698224852, 'openFieldYardsTotal': 510, 'totalOpportunies': 64, 'pointsPerOpportunity': 3.5, 'fieldPosition': {'averageStart': 69.7, 'averagePredictedPoints': 1.411}, 'havoc': {'total': 0.084, 'frontSeven': 0.07, 'db': 0.014}, 'standardDowns': {'rate': 0.7215980024968789, 'ppa': 0.14508762663998345, 'successRate': 0.458477508650519, 'explosiveness': 1.000505227737426}, 'passingDowns': {'rate': 0.2784019975031211, 'ppa': 0.19177503856096575, 'successRate': 0.26905829596412556, 'explosiveness': 1.7470353214650511}, 'rushingPlays': {'rate': 0.8439450686641697, 'ppa': 0.11897749918741776, 'totalPPA': 80.42878945069441, 'successRate': 0.41420118343195267, 'explosiveness': 0.9332210293875716}, 'passingPlays': {'rate': 0.14481897627965043, 'ppa': 0.42650934975735955, 'totalPPA': 49.47508457185371, 'successRate': 0.35344827586206895, 'explosiveness': 2.5053543037164507}}","{'plays': 748, 'drives': 111, 'ppa': 0.17922744050252828, 'totalPPA': 134.06212549589117, 'successRate': 0.44919786096256686, 'explosiveness': 1.1228956118502302, 'powerSuccess': 0.72, 'stuffRate': 0.16793893129770993, 'lineYards': 3.071501272264631, 'lineYardsTotal': 1207, 'secondLevelYards': 1.0305343511450382, 'secondLevelYardsTotal': 405, 'openFieldYards': 0.9134860050890585, 'openFieldYardsTotal': 0, 'totalOpportunies': 64, 'pointsPerOpportunity': 3.734375, 'fieldPosition': {'averageStart': 69.8, 'averagePredictedPoints': -1.418}, 'havoc': {'total': 0.128, 'frontSeven': 0.076, 'db': 0.052}, 'standardDowns': {'rate': 0.713903743315508, 'ppa': 0.14771373729358978, 'successRate': 0.5074906367041199, 'explosiveness': 0.933144739826317}, 'passingDowns': {'rate': 0.28609625668449196, 'ppa': 0.2578644382295057, 'totalPPA': 110.72847013646908, 'successRate': 0.3037383177570093, 'explosiveness': 1.9140107859806994}, 'rushingPlays': {'rate': 0.5254010695187166, 'ppa': 0.0755952651858742, 'totalPPA': 29.70893921804856, 'successRate': 0.44783715012722647, 'explosiveness': 0.8140806315125024}, 'passingPlays': {'rate': 0.4585561497326203, 'ppa': 0.3228235280946621, 'totalPPA': 110.72847013646908, 'successRate': 0.46355685131195334, 'explosiveness': 1.4679879998452239}}"
2025,Auburn,SEC,"{'plays': 827, 'drives': 135, 'ppa': 0.17270669968790353, 'totalPPA': 142.82844064189624, 'successRate': 0.43530834340991537, 'explosiveness': 1.1538124656962565, 'powerSuccess': 0.8, 'stuffRate': 0.16267942583732056, 'lineYards': 3.1270334928229664, 'lineYardsTotal': 1307, 'secondLevelYards': 1.2607655502392343, 'secondLevelYardsTotal': 527, 'openFieldYards': 1.555023923444976, 'openFieldYardsTotal': 650, 'totalOpportunies': 62, 'pointsPerOpportunity': 3.903225806451613, 'fieldPosition': {'averageStart': 73.2, 'averagePredictedPoints': 1.189}, 'havoc': {'total': 0.168, 'frontSeven': 0.112, 'db': 0.056}, 'standardDowns': {'rate': 0.6904474002418379, 'ppa': 0.1549563944231502, 'successRate': 0.5078809106830122, 'explosiveness': 0.9587200243403311}, 'passingDowns': {'rate': 0.309552599758162, 'ppa': 0.2122982008838963, 'successRate': 0.2734375, 'explosiveness': 1.96205257988509}, 'rushingPlays': {'rate': 0.5054413542926239, 'ppa': 0.23858683822588894, 'totalPPA': 99.72929837842157, 'successRate': 0.47129186602870815, 'explosiveness': 1.0187821775878596}, 'passingPlays': {'rate': 0.47762998790810157, 'ppa': 0.13993757746129082, 'totalPPA': 55.27534309720988, 'successRate': 0.40759493670886077, 'explosiveness': 1.30784270382185}}","{'plays': 808, 'drives': 137, 'ppa': 0.05992073442142166, 'totalPPA': 48.4159534125087, 'successRate': 0.37376237623762376, 'explosiveness': 1.289063361185499, 'powerSuccess': 0.7, 'stuffRate': 0.26666666666666666, 'lineYards': 2.2258974358974357, 'lineYardsTotal': 868, 'secondLevelYards': 0.7717948717948718, 'secondLevelYardsTotal': 301, 'openFieldYards': 0.6461538461538462, 'openFieldYardsTotal': 0, 'totalOpportunies': 67, 'pointsPerOpportunity': 3.373134328358209, 'fieldPosition': {'averageStart': 71.3, 'averagePredictedPoints': -1.267}, 'havoc': {'total': 0.166, 'frontSeven': 0.112, 'db': 0.054}, 'standardDowns': {'rate': 0.6683168316831684, 'ppa': -0.046412500927255164, 'successRate': 0.4111111111111111, 'explosiveness': 1.041833850707189}, 'passingDowns': {'rate': 0.3316831683168317, 'ppa': 0.2741742683329347, 'totalPPA': 106.89989066668902, 'successRate': 0.29850746268656714, 'explosiveness': 1.9751252527628094}, 'rushingPlays': {'rate': 0.48267326732673266, 'ppa': -0.11252257059236179, 'totalPPA': -43.8838025310211, 'successRate': 0.32051282051282054, 'explosiveness': 0.8855539440180515}, 'passingPlays': {'rate': 0.504950495049505, 'ppa': 0.2620095359477672, 'totalPPA': 106.89989066668902, 'successRate': 0.42892156862745096, 'explosiveness': 1.5814848211271055}}"
