season,team,conference,offense,defense
2025,Air Force,Mountain West,"{'plays': 327, 'drives': 53, 'ppa': 0.3898965763664753, 'totalPPA': 127.49618047183742, 'successRate': 0.5107033639143731, 'explosiveness': 1.2979920712069537, 'powerSuccess': 0.78125, 'stuffRate': 0.13135593220338984, 'lineYards': 3.2504237288135593, 'lineYardsTotal': 767, 'secondLevelYards': 1.0593220338983051, 'secondLevelYardsTotal': 250, 'openFieldYards': 1.2457627118644068, 'openFieldYardsTotal': 294, 'totalOpportunies': 29, 'pointsPerOpportunity': 5.620689655172414, 'fieldPosition': {'averageStart': 73.8, 'averagePredictedPoints': 1.065}, 'havoc': {'total': 0.104, 'frontSeven': 0.076, 'db': 0.028}, 'standardDowns': {'rate': 0.746177370030581, 'ppa': 0.31537651918297527, 'successRate': 0.5532786885245902, 'explosiveness': 1.065150631704148}, 'passingDowns': {'rate': 0.25382262996941896, 'ppa': 0.6089675878456802, 'successRate': 0.3855421686746988, 'explosiveness': 2.2802918941094164}, 'rushingPlays': {'rate': 0.7217125382262997, 'ppa': 0.2841033626937944, 'totalPPA': 67.04839359573548, 'successRate': 0.5169491525423728, 'explosiveness': 0.9435820160205995}, 'passingPlays': {'rate': 0.2782874617737003, 'ppa': 0.6642613942428786, 'totalPPA': 60.447786876101944, 'successRate': 0.4945054945054945, 'explosiveness': 2.258837109712181}}","{'plays': 304, 'drives': 53, 'ppa': 0.470642156005494, 'totalPPA': 143.07521542567017, 'successRate': 0.46381578947368424, 'explosiveness': 1.6297990407935046, 'powerSuccess': 0.4666666666666667, 'stuffRate': 0.19463087248322147, 'lineYards': 2.9348993288590606, 'lineYardsTotal': 437, 'secondLevelYards': 1.1946308724832215, 'secondLevelYardsTotal': 178, 'openFieldYards': 2.0067114093959733, 'openFieldYardsTotal': 0, 'totalOpportunies': 27, 'pointsPerOpportunity': 4.925925925925926, 'fieldPosition': {'averageStart': 71.4, 'averagePredictedPoints': -1.333}, 'havoc': {'total': 0.115, 'frontSeven': 0.082, 'db': 0.033}, 'standardDowns': {'rate': 0.680921052631579, 'ppa': 0.2704911799662636, 'successRate': 0.47342995169082125, 'explosiveness': 1.2796736022576731}, 'passingDowns': {'rate': 0.3190789473684211, 'ppa': 0.8977684656974597, 'totalPPA': 106.63069256016095, 'successRate': 0.44329896907216493, 'explosiveness': 2.4277593425728416}, 'rushingPlays': {'rate': 0.4901315789473684, 'ppa': 0.24459411319133698, 'totalPPA': 36.444522865509214, 'successRate': 0.3825503355704698, 'explosiveness': 1.41190687746431}, 'passingPlays': {'rate': 0.5098684210526315, 'ppa': 0.6879399520010384, 'totalPPA': 106.63069256016095, 'successRate': 0.5419354838709678, 'explosiveness': 1.7776544373383154}}"
2025,Akron,Mid-American,"{'plays': 396, 'drives': 74, 'ppa': 0.0351500170118032, 'totalPPA': 13.919406736674068, 'successRate': 0.39141414141414144, 'explosiveness': 1.1128229787493078, 'powerSuccess': 0.72, 'stuffRate': 0.19095477386934673, 'lineYards': 2.757286432160804, 'lineYardsTotal': 549, 'secondLevelYards': 1.1256281407035176, 'secondLevelYardsTotal': 224, 'openFieldYards': 0.8844221105527639, 'openFieldYardsTotal': 176, 'totalOpportunies': 29, 'pointsPerOpportunity': 3.2758620689655173, 'fieldPosition': {'averageStart': 70.9, 'averagePredictedPoints': 1.345}, 'havoc': {'total': 0.172, 'frontSeven': 0.096, 'db': 0.076}, 'standardDowns': {'rate': 0.6691919191919192, 'ppa': 0.031146319122299093, 'successRate': 0.4679245283018868, 'explosiveness': 0.9422791426562883}, 'passingDowns': {'rate': 0.33080808080808083, 'ppa': 0.043249100528738996, 'successRate': 0.2366412213740458, 'explosiveness': 1.7949983231213864}, 'rushingPlays': {'rate': 0.5025252525252525, 'ppa': -0.018799928288909567, 'totalPPA': -3.741185729493004, 'successRate': 0.44221105527638194, 'explosiveness': 0.7433354160693398}, 'passingPlays': {'rate': 0.49242424242424243, 'ppa': 0.12259973005053344, 'totalPPA': 23.906947359854023, 'successRate': 0.3435897435897436, 'explosiveness': 1.5981200760006091}}","{'plays': 415, 'drives': 74, 'ppa': 0.256639566758503, 'totalPPA': 106.50542020477876, 'successRate': 0.4457831325301205, 'explosiveness': 1.330827773882853, 'powerSuccess': 0.6451612903225806, 'stuffRate': 0.16267942583732056, 'lineYards': 3.3138755980861245, 'lineYardsTotal': 693, 'secondLevelYards': 1.2105263157894737, 'secondLevelYardsTotal': 253, 'openFieldYards': 1.7655502392344498, 'openFieldYardsTotal': 0, 'totalOpportunies': 41, 'pointsPerOpportunity': 4.097560975609756, 'fieldPosition': {'averageStart': 71.4, 'averagePredictedPoints': -1.326}, 'havoc': {'total': 0.159, 'frontSeven': 0.096, 'db': 0.063}, 'standardDowns': {'rate': 0.7469879518072289, 'ppa': 0.16548120360594532, 'successRate': 0.4870967741935484, 'explosiveness': 1.110016892064267}, 'passingDowns': {'rate': 0.25301204819277107, 'ppa': 0.5257737817803401, 'totalPPA': 59.8685971341199, 'successRate': 0.3238095238095238, 'explosiveness': 2.3114878666653964}, 'rushingPlays': {'rate': 0.5036144578313253, 'ppa': 0.22314269411798493, 'totalPPA': 46.63682307065885, 'successRate': 0.46411483253588515, 'explosiveness': 1.1150733950265415}, 'passingPlays': {'rate': 0.4963855421686747, 'ppa': 0.2906242579326209, 'totalPPA': 59.8685971341199, 'successRate': 0.42718446601941745, 'explosiveness': 1.5686479414858328}}"
2025,Alabama,SEC,"{'plays': 339, 'drives': 49, 'ppa': 0.37535891410422856, 'totalPPA': 127.24667188133348, 'successRate': 0.471976401179941, 'explosiveness': 1.398429456846684, 'powerSuccess': 0.7058823529411765, 'stuffRate': 0.13548387096774195, 'lineYards': 3.2361290322580647, 'lineYardsTotal': 502, 'secondLevelYards': 0.9290322580645162, 'secondLevelYardsTotal': 144, 'openFieldYards': 0.7548387096774194, 'openFieldYardsTotal': 117, 'totalOpportunies': 33, 'pointsPerOpportunity': 4.666666666666667, 'fieldPosition': {'averageStart': 68.4, 'averagePredictedPoints': 1.503}, 'havoc': {'total': 0.1, 'frontSeven': 0.062, 'db': 0.038}, 'standardDowns': {'rate': 0.696165191740413, 'ppa': 0.26044958060858925, 'successRate': 0.5169491525423728, 'explosiveness': 1.0821005932262375}, 'passingDowns': {'rate': 0.30383480825958703, 'ppa': 0.6386463190068585, 'successRate': 0.36893203883495146, 'explosiveness': 2.414011597943906}, 'rushingPlays': {'rate': 0.45722713864306785, 'ppa': 0.09315059221835811, 'totalPPA': 14.438341793845508, 'successRate': 0.4064516129032258, 'explosiveness': 0.859266287800579}, 'passingPlays': {'rate': 0.5427728613569321, 'ppa': 0.6130887504754782, 'totalPPA': 112.80833008748797, 'successRate': 0.5271739130434783, 'explosiveness': 1.7486075975673498}}","{'plays': 272, 'drives': 51, 'ppa': 0.12060085388961003, 'totalPPA': 32.80343225797393, 'successRate': 0.39705882352941174, 'explosiveness': 1.2869135990231348, 'powerSuccess': 0.7142857142857143, 'stuffRate': 0.18633540372670807, 'lineYards': 2.8527950310559005, 'lineYardsTotal': 459, 'secondLevelYards': 1, 'secondLevelYardsTotal': 161, 'openFieldYards': 1.639751552795031, 'openFieldYardsTotal': 0, 'totalOpportunies': 14, 'pointsPerOpportunity': 4.214285714285714, 'fieldPosition': {'averageStart': 74.3, 'averagePredictedPoints': -1.085}, 'havoc': {'total': 0.184, 'frontSeven': 0.121, 'db': 0.063}, 'standardDowns': {'rate': 0.6691176470588235, 'ppa': 0.08193225775725815, 'successRate': 0.45054945054945056, 'explosiveness': 1.110270260721034}, 'passingDowns': {'rate': 0.33088235294117646, 'ppa': 0.1987973482905883, 'totalPPA': 17.710073293945985, 'successRate': 0.28888888888888886, 'explosiveness': 1.8440195121297607}, 'rushingPlays': {'rate': 0.5919117647058824, 'ppa': 0.09806196934903945, 'totalPPA': 15.787977065195351, 'successRate': 0.37888198757763975, 'explosiveness': 1.1730620773879052}, 'passingPlays': {'rate': 0.4007352941176471, 'ppa': 0.16247773664170628, 'totalPPA': 17.710073293945985, 'successRate': 0.43119266055045874, 'explosiveness': 1.4346783398688585}}"
2025,App State,Sun Belt,"{'plays': 362, 'drives': 61, 'ppa': 0.07082002995135263, 'totalPPA': 25.636850842389652, 'successRate': 0.4171270718232044, 'explosiveness': 1.1354350834338267, 'powerSuccess': 0.8, 'stuffRate': 0.12422360248447205, 'lineYards': 3.324223602484472, 'lineYardsTotal': 535, 'secondLevelYards': 1.1677018633540373, 'secondLevelYardsTotal': 188, 'openFieldYards': 1.2422360248447204, 'openFieldYardsTotal': 200, 'totalOpportunies': 28, 'pointsPerOpportunity': 3.642857142857143, 'fieldPosition': {'averageStart': 72.9, 'averagePredictedPoints': 1.169}, 'havoc': {'total': 0.174, 'frontSeven': 0.08, 'db': 0.094}, 'standardDowns': {'rate': 0.6657458563535912, 'ppa': -0.005202518695821406, 'successRate': 0.48132780082987553, 'explosiveness': 0.8983573503112989}, 'passingDowns': {'rate': 0.3342541436464088, 'ppa': 0.222236841719691, 'successRate': 0.2892561983471074, 'explosiveness': 1.9211784274970618}, 'rushingPlays': {'rate': 0.4447513812154696, 'ppa': 0.13665521618276621, 'totalPPA': 22.00148980542536, 'successRate': 0.4968944099378882, 'explosiveness': 0.6918296929788472}, 'passingPlays': {'rate': 0.5524861878453039, 'ppa': 0.02708845922773833, 'totalPPA': 5.417691845547666, 'successRate': 0.355, 'explosiveness': 1.6352721431014094}}","{'plays': 329, 'drives': 58, 'ppa': 0.12466398795790976, 'totalPPA': 41.014452038152314, 'successRate': 0.4133738601823708, 'explosiveness': 1.2644095512733529, 'powerSuccess': 0.6666666666666666, 'stuffRate': 0.2222222222222222, 'lineYards': 2.2979166666666666, 'lineYardsTotal': 331, 'secondLevelYards': 0.7152777777777778, 'secondLevelYardsTotal': 103, 'openFieldYards': 0.6944444444444444, 'openFieldYardsTotal': 0, 'totalOpportunies': 28, 'pointsPerOpportunity': 3.6785714285714284, 'fieldPosition': {'averageStart': 70.3, 'averagePredictedPoints': -1.362}, 'havoc': {'total': 0.219, 'frontSeven': 0.14, 'db': 0.079}, 'standardDowns': {'rate': 0.6656534954407295, 'ppa': -0.010499882829155422, 'successRate': 0.45662100456621, 'explosiveness': 0.932622966832136}, 'passingDowns': {'rate': 0.3343465045592705, 'ppa': 0.39376296707033953, 'totalPPA': 56.24134099042112, 'successRate': 0.32727272727272727, 'explosiveness': 2.186038952498955}, 'rushingPlays': {'rate': 0.4376899696048632, 'ppa': -0.08880966780769535, 'totalPPA': -12.78859216430813, 'successRate': 0.375, 'explosiveness': 0.7573527822773266}, 'passingPlays': {'rate': 0.5592705167173252, 'ppa': 0.30565946190446264, 'totalPPA': 56.24134099042112, 'successRate': 0.44565217391304346, 'explosiveness': 1.5983249845146383}}"
2025,Arizona,Big 12,"{'plays': 333, 'drives': 62, 'ppa': 0.16060816441824338, 'totalPPA': 53.48251875127505, 'successRate': 0.43243243243243246, 'explosiveness': 1.2659160278160626, 'powerSuccess': 0.6875, 'stuffRate': 0.2012987012987013, 'lineYards': 3.3733766233766236, 'lineYardsTotal': 520, 'secondLevelYards': 1.4545454545454546, 'secondLevelYardsTotal': 224, 'openFieldYards': 1.6753246753246753, 'openFieldYardsTotal': 258, 'totalOpportunies': 33, 'pointsPerOpportunity': 2.9696969696969697, 'fieldPosition': {'averageStart': 64.5, 'averagePredictedPoints': 1.798}, 'havoc': {'total': 0.162, 'frontSeven': 0.096, 'db': 0.066}, 'standardDowns': {'rate': 0.7117117117117117, 'ppa': 0.047739817011668524, 'successRate': 0.48945147679324896, 'explosiveness': 1.0179496235536705}, 'passingDowns': {'rate': 0.2882882882882883, 'ppa': 0.4392518970782251, 'successRate': 0.2916666666666667, 'explosiveness': 2.293205416903115}, 'rushingPlays': {'rate': 0.4624624624624625, 'ppa': 0.1932296317035614, 'totalPPA': 29.757363282348454, 'successRate': 0.42207792207792205, 'explosiveness': 1.151059858669798}, 'passingPlays': {'rate': 0.5375375375375375, 'ppa': 0.13254276798283016, 'totalPPA': 23.725155468926598, 'successRate': 0.441340782122905, 'explosiveness': 1.3604179391389386}}","{'plays': 306, 'drives': 59, 'ppa': -0.022380575562132344, 'totalPPA': -6.8484561220124975, 'successRate': 0.30392156862745096, 'explosiveness': 1.2860964612180295, 'powerSuccess': 0.5555555555555556, 'stuffRate': 0.2535211267605634, 'lineYards': 2.234507042253521, 'lineYardsTotal': 317, 'secondLevelYards': 0.8732394366197183, 'secondLevelYardsTotal': 124, 'openFieldYards': 0.8661971830985915, 'openFieldYardsTotal': 0, 'totalOpportunies': 21, 'pointsPerOpportunity': 2.857142857142857, 'fieldPosition': {'averageStart': 71.4, 'averagePredictedPoints': -1.253}, 'havoc': {'total': 0.261, 'frontSeven': 0.157, 'db': 0.105}, 'standardDowns': {'rate': 0.630718954248366, 'ppa': -0.09265168907222959, 'successRate': 0.35233160621761656, 'explosiveness': 1.0312527633854882}, 'passingDowns': {'rate': 0.369281045751634, 'ppa': 0.09763999884006916, 'totalPPA': -3.047423405135706, 'successRate': 0.22123893805309736, 'explosiveness': 1.979271319322542}, 'rushingPlays': {'rate': 0.46405228758169936, 'ppa': -0.024958776738038625, 'totalPPA': -3.5441462968014847, 'successRate': 0.34507042253521125, 'explosiveness': 1.038926584873961}, 'passingPlays': {'rate': 0.5326797385620915, 'ppa': -0.018695849111262, 'totalPPA': -3.047423405135706, 'successRate': 0.26993865030674846, 'explosiveness': 1.5613538235102875}}"
2025,Arizona State,Big 12,"{'plays': 360, 'drives': 60, 'ppa': 0.22353810824985504, 'totalPPA': 80.47371896994781, 'successRate': 0.4305555555555556, 'explosiveness': 1.2422582419842159, 'powerSuccess': 0.625, 'stuffRate': 0.18652849740932642, 'lineYards': 3.334715025906736, 'lineYardsTotal': 644, 'secondLevelYards': 1.4145077720207253, 'secondLevelYardsTotal': 273, 'openFieldYards': 1.844559585492228, 'openFieldYardsTotal': 356, 'totalOpportunies': 34, 'pointsPerOpportunity': 3.5588235294117645, 'fieldPosition': {'averageStart': 69.2, 'averagePredictedPoints': 1.502}, 'havoc': {'total': 0.153, 'frontSeven': 0.089, 'db': 0.064}, 'standardDowns': {'rate': 0.6916666666666667, 'ppa': 0.20649711611194396, 'successRate': 0.4939759036144578, 'explosiveness': 1.0788726606817969}, 'passingDowns': {'rate': 0.30833333333333335, 'ppa': 0.2617651987213852, 'successRate': 0.2882882882882883, 'explosiveness': 1.8702715701153894}, 'rushingPlays': {'rate': 0.5361111111111111, 'ppa': 0.22116107942170526, 'totalPPA': 42.684088328389116, 'successRate': 0.46632124352331605, 'explosiveness': 1.055115547742488}, 'passingPlays': {'rate': 0.46111111111111114, 'ppa': 0.23498648978183664, 'totalPPA': 39.007757303784885, 'successRate': 0.39156626506024095, 'explosiveness': 1.5013788955496854}}","{'plays': 331, 'drives': 58, 'ppa': 0.12310333745281217, 'totalPPA': 40.74720469688083, 'successRate': 0.4199395770392749, 'explosiveness': 1.254555301977956, 'powerSuccess': 0.68, 'stuffRate': 0.23308270676691728, 'lineYards': 2.4413533834586465, 'lineYardsTotal': 325, 'secondLevelYards': 0.8646616541353384, 'secondLevelYardsTotal': 115, 'openFieldYards': 0.7669172932330827, 'openFieldYardsTotal': 0, 'totalOpportunies': 24, 'pointsPerOpportunity': 3.6666666666666665, 'fieldPosition': {'averageStart': 69.1, 'averagePredictedPoints': -1.477}, 'havoc': {'total': 0.236, 'frontSeven': 0.145, 'db': 0.091}, 'standardDowns': {'rate': 0.6586102719033232, 'ppa': -0.010328924313885702, 'successRate': 0.481651376146789, 'explosiveness': 0.961643442586018}, 'passingDowns': {'rate': 0.3413897280966767, 'ppa': 0.38052132917971604, 'totalPPA': 31.446814261168637, 'successRate': 0.3008849557522124, 'explosiveness': 2.159136044217765}, 'rushingPlays': {'rate': 0.40181268882175225, 'ppa': 0.09176760151984126, 'totalPPA': 12.205091002138888, 'successRate': 0.44360902255639095, 'explosiveness': 1.0133512389208905}, 'passingPlays': {'rate': 0.595166163141994, 'ppa': 0.15962849878765806, 'totalPPA': 31.446814261168637, 'successRate': 0.40609137055837563, 'explosiveness': 1.432443298482542}}"
2025,Arkansas,SEC,"{'plays': 333, 'drives': 57, 'ppa': 0.3764442724733503, 'totalPPA': 125.35594273362567, 'successRate': 0.5255255255255256, 'explosiveness': 1.3356557289889173, 'powerSuccess': 0.7916666666666666, 'stuffRate': 0.17791411042944785, 'lineYards': 3.4662576687116564, 'lineYardsTotal': 565, 'secondLevelYards': 1.5460122699386503, 'secondLevelYardsTotal': 252, 'openFieldYards': 2.460122699386503, 'openFieldYardsTotal': 401, 'totalOpportunies': 35, 'pointsPerOpportunity': 4.542857142857143, 'fieldPosition': {'averageStart': 72.5, 'averagePredictedPoints': 1.222}, 'havoc': {'total': 0.138, 'frontSeven': 0.06, 'db': 0.078}, 'standardDowns': {'rate': 0.7027027027027027, 'ppa': 0.36080526595882845, 'successRate': 0.5897435897435898, 'explosiveness': 1.1082387543910566}, 'passingDowns': {'rate': 0.2972972972972973, 'ppa': 0.4134091969622203, 'successRate': 0.37373737373737376, 'explosiveness': 2.1838595801917493}, 'rushingPlays': {'rate': 0.4894894894894895, 'ppa': 0.3311735138088375, 'totalPPA': 53.98128275084051, 'successRate': 0.5398773006134969, 'explosiveness': 1.079707363535292}, 'passingPlays': {'rate': 0.5075075075075075, 'ppa': 0.43952284348646065, 'totalPPA': 74.27936054921184, 'successRate': 0.514792899408284, 'explosiveness': 1.5945460296776417}}","{'plays': 343, 'drives': 57, 'ppa': 0.2529928590418995, 'totalPPA': 86.77655065137154, 'successRate': 0.4577259475218659, 'explosiveness': 1.3130636086457734, 'powerSuccess': 0.6785714285714286, 'stuffRate': 0.23595505617977527, 'lineYards': 2.7803370786516854, 'lineYardsTotal': 495, 'secondLevelYards': 1.2303370786516854, 'secondLevelYardsTotal': 219, 'openFieldYards': 1.3426966292134832, 'openFieldYardsTotal': 0, 'totalOpportunies': 29, 'pointsPerOpportunity': 4.758620689655173, 'fieldPosition': {'averageStart': 75.2, 'averagePredictedPoints': -1.001}, 'havoc': {'total': 0.172, 'frontSeven': 0.105, 'db': 0.067}, 'standardDowns': {'rate': 0.6938775510204082, 'ppa': 0.1084614946692903, 'successRate': 0.4789915966386555, 'explosiveness': 1.0735563565236206}, 'passingDowns': {'rate': 0.30612244897959184, 'ppa': 0.5805972849531471, 'totalPPA': 56.96993329136821, 'successRate': 0.4095238095238095, 'explosiveness': 1.948036323574272}, 'rushingPlays': {'rate': 0.5189504373177842, 'ppa': 0.1674529065168726, 'totalPPA': 29.806617360003326, 'successRate': 0.48314606741573035, 'explosiveness': 0.9962796016140749}, 'passingPlays': {'rate': 0.48104956268221577, 'ppa': 0.34527232297798915, 'totalPPA': 56.96993329136821, 'successRate': 0.4303030303030303, 'explosiveness': 1.6967738143461406}}"
2025,Arkansas State,Sun Belt,"{'plays': 444, 'drives': 68, 'ppa': 0.08596456168806174, 'totalPPA': 38.16826538949941, 'successRate': 0.39864864864864863, 'explosiveness': 1.2307765432101951, 'powerSuccess': 0.6551724137931034, 'stuffRate': 0.19689119170984457, 'lineYards': 2.7, 'lineYardsTotal': 521, 'secondLevelYards': 0.927461139896373, 'secondLevelYardsTotal': 179, 'openFieldYards': 0.7253886010362695, 'openFieldYardsTotal': 140, 'totalOpportunies': 33, 'pointsPerOpportunity': 3.7272727272727275, 'fieldPosition': {'averageStart': 71.8, 'averagePredictedPoints': 1.269}, 'havoc': {'total': 0.187, 'frontSeven': 0.115, 'db': 0.072}, 'standardDowns': {'rate': 0.6914414414414415, 'ppa': -0.009302918318508692, 'successRate': 0.44625407166123776, 'explosiveness': 0.9591220211456093}, 'passingDowns': {'rate': 0.30855855855855857, 'ppa': 0.29944716287066847, 'successRate': 0.291970802919708, 'explosiveness': 2.161193281281402}, 'rushingPlays': {'rate': 0.4346846846846847, 'ppa': -0.0269580429523224, 'totalPPA': -5.202902289798224, 'successRate': 0.40414507772020725, 'explosiveness': 0.8734225262739908}, 'passingPlays': {'rate': 0.5653153153153153, 'ppa': 0.17279349673026947, 'totalPPA': 43.371167679297635, 'successRate': 0.3944223107569721, 'explosiveness': 1.5123281929175079}}","{'plays': 400, 'drives': 69, 'ppa': 0.27653877655763726, 'totalPPA': 110.6155106230549, 'successRate': 0.4925, 'explosiveness': 1.2877686179274532, 'powerSuccess': 0.8095238095238095, 'stuffRate': 0.19004524886877827, 'lineYards': 2.781447963800905, 'lineYardsTotal': 615, 'secondLevelYards': 1.1855203619909502, 'secondLevelYardsTotal': 262, 'openFieldYards': 1.914027149321267, 'openFieldYardsTotal': 0, 'totalOpportunies': 36, 'pointsPerOpportunity': 4.444444444444445, 'fieldPosition': {'averageStart': 73.2, 'averagePredictedPoints': -1.199}, 'havoc': {'total': 0.118, 'frontSeven': 0.07, 'db': 0.048}, 'standardDowns': {'rate': 0.72, 'ppa': 0.22574415039499385, 'successRate': 0.5451388888888888, 'explosiveness': 1.0782492928245626}, 'passingDowns': {'rate': 0.28, 'ppa': 0.4071535295472917, 'totalPPA': 75.51546862686787, 'successRate': 0.35714285714285715, 'explosiveness': 2.110131968956299}, 'rushingPlays': {'rate': 0.5525, 'ppa': 0.1719671609168042, 'totalPPA': 38.00474256261372, 'successRate': 0.4796380090497738, 'explosiveness': 1.0665631088037344}, 'passingPlays': {'rate': 0.445, 'ppa': 0.42424420576892063, 'totalPPA': 75.51546862686787, 'successRate': 0.5112359550561798, 'explosiveness': 1.5454365736100268}}"
2025,Army,American Athletic,"{'plays': 362, 'drives': 54, 'ppa': 0.14984445142145447, 'totalPPA': 54.24369141456652, 'successRate': 0.4171270718232044, 'explosiveness': 1.1326092823859697, 'powerSuccess': 0.7948717948717948, 'stuffRate': 0.13725490196078433, 'lineYards': 2.950980392156863, 'lineYardsTotal': 903, 'secondLevelYards': 0.7973856209150327, 'secondLevelYardsTotal': 244, 'openFieldYards': 0.9117647058823529, 'openFieldYardsTotal': 279, 'totalOpportunies': 26, 'pointsPerOpportunity': 3.9615384615384617, 'fieldPosition': {'averageStart': 67.1, 'averagePredictedPoints': 1.56}, 'havoc': {'total': 0.105, 'frontSeven': 0.088, 'db': 0.017}, 'standardDowns': {'rate': 0.7016574585635359, 'ppa': 0.13743827414134563, 'successRate': 0.48031496062992124, 'explosiveness': 0.9972302015493352}, 'passingDowns': {'rate': 0.2983425414364641, 'ppa': 0.1790219424320808, 'successRate': 0.26851851851851855, 'explosiveness': 1.7021350707331906}, 'rushingPlays': {'rate': 0.8453038674033149, 'ppa': 0.12233311605510538, 'totalPPA': 37.43393351286225, 'successRate': 0.43790849673202614, 'explosiveness': 0.914924847945612}, 'passingPlays': {'rate': 0.15469613259668508, 'ppa': 0.30017424824471917, 'totalPPA': 16.809757901704273, 'successRate': 0.30357142857142855, 'explosiveness': 2.8484748244452596}}","{'plays': 310, 'drives': 51, 'ppa': 0.2181180825974269, 'totalPPA': 67.61660560520234, 'successRate': 0.44193548387096776, 'explosiveness': 1.185193806030078, 'powerSuccess': 0.625, 'stuffRate': 0.17307692307692307, 'lineYards': 3.1608974358974358, 'lineYardsTotal': 493, 'secondLevelYards': 1.0128205128205128, 'secondLevelYardsTotal': 158, 'openFieldYards': 0.9615384615384616, 'openFieldYardsTotal': 0, 'totalOpportunies': 29, 'pointsPerOpportunity': 4.0344827586206895, 'fieldPosition': {'averageStart': 68.6, 'averagePredictedPoints': -1.484}, 'havoc': {'total': 0.152, 'frontSeven': 0.084, 'db': 0.068}, 'standardDowns': {'rate': 0.7, 'ppa': 0.19404706711662578, 'successRate': 0.5069124423963134, 'explosiveness': 0.9689055085749593}, 'passingDowns': {'rate': 0.3, 'ppa': 0.2742837853859628, 'totalPPA': 46.80010467111195, 'successRate': 0.2903225806451613, 'explosiveness': 2.0663683512175988}, 'rushingPlays': {'rate': 0.5032258064516129, 'ppa': 0.13343910855186142, 'totalPPA': 20.81650093409038, 'successRate': 0.42948717948717946, 'explosiveness': 0.9535323394817115}, 'passingPlays': {'rate': 0.4967741935483871, 'ppa': 0.3038967835786491, 'totalPPA': 46.80010467111195, 'successRate': 0.45454545454545453, 'explosiveness': 1.4069269240120859}}"
2025,Auburn,SEC,"{'plays': 328, 'drives': 55, 'ppa': 0.20703413259910405, 'totalPPA': 67.90719549250613, 'successRate': 0.4451219512195122, 'explosiveness': 1.12292810079989, 'powerSuccess': 0.9230769230769231, 'stuffRate': 0.16568047337278108, 'lineYards': 3.044378698224852, 'lineYardsTotal': 515, 'secondLevelYards': 1.195266272189349, 'secondLevelYardsTotal': 202, 'openFieldYards': 1.467455621301775, 'openFieldYardsTotal': 248, 'totalOpportunies': 23, 'pointsPerOpportunity': 5.086956521739131, 'fieldPosition': {'averageStart': 73.3, 'averagePredictedPoints': 1.183}, 'havoc': {'total': 0.155, 'frontSeven': 0.113, 'db': 0.043}, 'standardDowns': {'rate': 0.7073170731707317, 'ppa': 0.2616286966167079, 'successRate': 0.5431034482758621, 'explosiveness': 1.0128561459740453}, 'passingDowns': {'rate': 0.2926829268292683, 'ppa': 0.0750972695565614, 'successRate': 0.20833333333333334, 'explosiveness': 1.8163814162027112}, 'rushingPlays': {'rate': 0.5152439024390244, 'ppa': 0.2647058655306035, 'totalPPA': 44.73529127467199, 'successRate': 0.47928994082840237, 'explosiveness': 1.0426404629417596}, 'passingPlays': {'rate': 0.4817073170731707, 'ppa': 0.15674384516324222, 'totalPPA': 24.76552753579227, 'successRate': 0.41139240506329117, 'explosiveness': 1.2229788495154061}}","{'plays': 323, 'drives': 57, 'ppa': 0.07679648867148615, 'totalPPA': 24.80526584089003, 'successRate': 0.35294117647058826, 'explosiveness': 1.3243404404628891, 'powerSuccess': 0.75, 'stuffRate': 0.31446540880503143, 'lineYards': 1.7006289308176101, 'lineYardsTotal': 270, 'secondLevelYards': 0.6918238993710691, 'secondLevelYardsTotal': 110, 'openFieldYards': 0.6918238993710691, 'openFieldYardsTotal': 0, 'totalOpportunies': 28, 'pointsPerOpportunity': 3.107142857142857, 'fieldPosition': {'averageStart': 71, 'averagePredictedPoints': -1.263}, 'havoc': {'total': 0.17, 'frontSeven': 0.136, 'db': 0.034}, 'standardDowns': {'rate': 0.6408668730650154, 'ppa': -0.008771121921339137, 'successRate': 0.42028985507246375, 'explosiveness': 1.0140586008337513}, 'passingDowns': {'rate': 0.3591331269349845, 'ppa': 0.229490414470752, 'totalPPA': 50.891973533158485, 'successRate': 0.23275862068965517, 'explosiveness': 2.3241374792678893}, 'rushingPlays': {'rate': 0.49226006191950467, 'ppa': -0.1640673439765312, 'totalPPA': -26.086707692268458, 'successRate': 0.2830188679245283, 'explosiveness': 0.8717811030829509}, 'passingPlays': {'rate': 0.5077399380804953, 'ppa': 0.3103169117875518, 'totalPPA': 50.891973533158485, 'successRate': 0.42073170731707316, 'explosiveness': 1.6194878344063273}}"
