id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
401403974,2022,1,,,1,,,,Gesa Field,,,,,,,,
401403969,2022,1,,,1,,,,Reser Stadium,,,,,,,,
401403973,2022,1,,,1,,,,Husky Stadium,,,,,,,,
401426543,2022,1,,,1,,,,Clarence T.C. Ching Athletics Complex,,,,,,,,
401403867,2022,1,,,1,,,,Caesars Superdome,,,,,,,,
401411101,2022,1,,,1,,,,Mercedes-Benz Stadium,,,,,,,,
401415613,2022,2,,,1,,,,FBC Mortgage Stadium,,,,,,,,
401415214,2022,2,,,1,,,,University Stadium (NM),,,,,,,,
401405080,2022,2,,,1,,,,Beaver Stadium,,,,,,,,
401426553,2022,2,,,1,,,,Michie Stadium,,,,,,,,
401403868,2022,2,,,1,,,,DKR-Texas Memorial Stadium,,,,,,,,
401405071,2022,2,,,1,,,,Huntington Bank Stadium,,,,,,,,
401405079,2022,2,,,1,,,,Ohio Stadium,,,,,,,,
401403879,2022,2,,,1,,,,FirstBank Stadium,,,,,,,,
401411105,2022,2,,,1,,,,Hard Rock Stadium,,,,,,,,
401411103,2022,2,,,1,,,,Center Parc Stadium,,,,,,,,
401403876,2022,2,,,1,,,,Bill Snyder Family Stadium,,,,,,,,
401405073,2022,2,,,1,,,,Ryan Field,,,,,,,,
401403869,2022,2,,,1,,,,Razorback Stadium,,,,,,,,
401411106,2022,2,,,1,,,,Carter-Finley Stadium,,,,,,,,
401416597,2022,2,,,1,,,,Kelly/Shorts Stadium,,,,,,,,
401403982,2022,2,,,1,,,,Rice-Eccles Stadium,,,,,,,,
401415614,2022,2,,,1,,,,Lincoln Financial Field,,,,,,,,
401416594,2022,2,,,1,,,,Scheumann Stadium,,,,,,,,
401404125,2022,2,,,1,,,,Notre Dame Stadium,,,,,,,,
401415617,2022,2,,,1,,,,Navy-Marine Corps Memorial Stadium,,,,,,,,
401403984,2022,2,,,1,,,,Camp Randall Stadium,,,,,,,,
401415619,2022,2,,,1,,,,Nippert Stadium,,,,,,,,
401403977,2022,2,,,1,,,,Falcon Stadium,,,,,,,,
401426545,2022,2,,,1,,,,Jerry Richardson Stadium,,,,,,,,
401403877,2022,2,,,1,,,,Acrisure Stadium,,,,,,,,
401403878,2022,2,,,1,,,,Kyle Field,,,,,,,,
401411102,2022,2,,,1,,,,"Memorial Stadium (Clemson, SC)",,,,,,,,
401416595,2022,2,,,1,,,,Doyt L. Perry Stadium,,,,,,,,
401405070,2022,2,,,1,,,,"Memorial Stadium (Champaign, IL)",,,,,,,,
401403983,2022,2,,,1,,,,Husky Stadium,,,,,,,,
401404064,2022,2,,,1,,,,Kinnick Stadium,,,,,,,,
401404063,2022,2,,,1,,,,Jones AT&T Stadium,,,,,,,,
401403976,2022,2,,,1,,,,California Memorial Stadium,,,,,,,,
401403872,2022,2,,,1,,,,Sanford Stadium,,,,,,,,
401415177,2022,2,,,1,,,,War Memorial Stadium,,,,,,,,
401426548,2022,2,,,1,,,,Canvas Stadium,,,,,,,,
401405081,2022,2,,,1,,,,SHI Stadium,,,,,,,,
401405078,2022,2,,,1,,,,Spartan Stadium,,,,,,,,
401405074,2022,2,,,1,,,,Ross-Ade Stadium,,,,,,,,
401420788,2022,2,,,1,,,,Bridgeforth Stadium,,,,,,,,
401403981,2022,2,,,1,,,,Rose Bowl,,,,,,,,
401415216,2022,2,,,1,,,,Mackay Stadium,,,,,,,,
401426551,2022,2,,,1,,,,Williams Stadium (VA),,,,,,,,
401404065,2022,2,,,1,,,,Milan Puskar Stadium,,,,,,,,
401416599,2022,2,,,1,,,,Yager Stadium,,,,,,,,
401415024,2022,2,,,1,,,,Dowdy-Ficklen Stadium,,,,,,,,
401426546,2022,2,,,1,,,,FAU Stadium,,,,,,,,
401426332,2022,2,,,1,,,,Brooks Stadium (SC),,,,,,,,
401416596,2022,2,,,1,,,,UB Stadium,,,,,,,,
401415615,2022,2,,,1,,,,Yulman Stadium,,,,,,,,
401404066,2022,2,,,1,,,,"Memorial Stadium (Norman, OK)",,,,,,,,
401426547,2022,2,,,1,,,,Joe Aillet Stadium,,,,,,,,
401403871,2022,2,,,1,,,,Ben Hill Griffin Stadium,,,,,,,,
401423439,2022,2,,,1,,,,Veterans Memorial Stadium (AL),,,,,,,,
401411104,2022,2,,,1,,,,Bobby Dodd Stadium,,,,,,,,
401414779,2022,2,,,1,,,,Glass Bowl,,,,,,,,
401426544,2022,2,,,1,,,,Bobcat Stadium (TX),,,,,,,,
401416598,2022,2,,,1,,,,Cajun Field,,,,,,,,
401415215,2022,2,,,1,,,,Maverik Stadium,,,,,,,,
401415616,2022,2,,,1,,,,Gerald J. Ford Stadium,,,,,,,,
401415618,2022,2,,,1,,,,Raymond James Stadium,,,,,,,,
401404148,2022,2,,,1,,,,Pratt & Whitney Stadium,,,,,,,,
401403874,2022,2,,,1,,,,Vaught-Hemingway Stadium,,,,,,,,
401415620,2022,2,,,1,,,,Chapman Stadium,,,,,,,,
401426550,2022,2,,,1,,,,Rice Stadium,,,,,,,,
401403980,2022,2,,,1,,,,Stanford Stadium,,,,,,,,
401426549,2022,2,,,1,,,,DATCU Stadium,,,,,,,,
401405072,2022,2,,,1,,,,"Memorial Stadium (Lincoln, NE)",,,,,,,,
401403873,2022,2,,,1,,,,Tiger Stadium (LA),,,,,,,,
401403870,2022,2,,,1,,,,Jordan-Hare Stadium,,,,,,,,
401403975,2022,2,,,1,,,,Boone Pickens Stadium,,,,,,,,
401405075,2022,2,,,1,,,,"Memorial Stadium (Bloomington, IN)",,,,,,,,
401421117,2022,2,,,1,,,,Malone Stadium,,,,,,,,
401404067,2022,2,,,1,,,,Amon G. Carter Stadium,,,,,,,,
401411108,2022,2,,,1,,,,Lane Stadium,,,,,,,,
401413257,2022,2,,,1,,,,Snapdragon Stadium,,,,,,,,
401405077,2022,2,,,1,,,,Michigan Stadium,,,,,,,,
401403978,2022,2,,,1,,,,Autzen Stadium,,,,,,,,
401426552,2022,2,,,1,,,,Sun Bowl,,,,,,,,
