id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
400935282,2017,1,regular,2017-08-26T18:30:00.000Z,True,False,False,5388,Canvas Stadium,36,Colorado State,Mountain West,58,204,Oregon State,Pac-12,27
400945031,2017,1,regular,2017-08-26T19:00:00.000Z,True,False,False,3801,LaVell Edwards Stadium,252,BYU,FBS Independents,20,2502,Portland State,Big Sky,6
400938887,2017,1,regular,2017-08-26T22:00:00.000Z,True,False,False,3985,Warren McGuirk Alumni Stadium,113,Massachusetts,FBS Independents,35,62,Hawai'i,Mountain West,38
400941786,2017,1,regular,2017-08-26T23:30:00.000Z,True,False,False,3935,CEFCU Stadium,23,San José State,Mountain West,22,58,South Florida,American Athletic,42
400935257,2017,1,regular,2017-08-27T02:00:00.000Z,True,True,False,5363,Allianz Stadium,242,Rice,Conference USA,7,24,Stanford,Pac-12,62
400938591,2017,1,regular,2017-08-31T22:00:00.000Z,True,False,False,3652,FBC Mortgage Stadium,2116,UCF,American Athletic,61,2229,Florida International,Conference USA,17
400937445,2017,1,regular,2017-08-31T22:30:00.000Z,True,False,False,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,ACC,51,2506,Presbyterian,Big South,7
400941787,2017,1,regular,2017-08-31T23:00:00.000Z,True,False,False,3854,Nippert Stadium,2132,Cincinnati,American Athletic,26,2046,Austin Peay,OVC,14
400944890,2017,1,regular,2017-08-31T23:00:00.000Z,True,False,False,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,30,227,Rhode Island,CAA,27
400944826,2017,1,regular,2017-08-31T23:00:00.000Z,True,False,False,4246,Center Parc Stadium,2247,Georgia State,Sun Belt,10,2634,Tennessee State,OVC,17
400935230,2017,1,regular,2017-08-31T23:00:00.000Z,True,False,False,3953,Huntington Bank Stadium,135,Minnesota,Big Ten,17,2084,Buffalo,Mid-American,7
400944889,2017,1,regular,2017-08-31T23:00:00.000Z,True,False,False,3739,Glass Bowl,2649,Toledo,Mid-American,47,2210,Elon,CAA,13
400934493,2017,1,regular,2017-08-31T23:30:00.000Z,True,False,False,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,59,202,Tulsa,American Athletic,24
400941788,2017,1,regular,2017-08-31T23:30:00.000Z,True,False,False,3892,Pratt & Whitney Stadium,41,UConn,American Athletic,27,107,Holy Cross,Patriot,20
400935248,2017,1,regular,2017-08-31T23:30:00.000Z,True,False,False,587,Rice-Eccles Stadium,254,Utah,Pac-12,37,155,North Dakota,Big Sky,16
400935229,2017,1,regular,2017-09-01T00:00:00.000Z,True,False,True,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,Big Ten,21,194,Ohio State,Big Ten,49
400933828,2017,1,regular,2017-09-01T00:00:00.000Z,True,True,False,3983,War Memorial Stadium (AR),8,Arkansas,SEC,49,50,Florida A&M,MEAC,7
400944827,2017,1,regular,2017-09-01T01:00:00.000Z,True,False,False,3791,Kibbie Dome,70,Idaho,Sun Belt,28,16,Sacramento State,Big Sky,6
400941789,2017,1,regular,2017-09-01T01:20:00.000Z,True,False,False,3805,Simmons Bank Liberty Stadium,235,Memphis,American Athletic,37,2433,UL Monroe,Sun Belt,29
400935247,2017,1,regular,2017-09-01T02:30:00.000Z,True,False,False,3947,Mountain America Stadium,9,Arizona State,Pac-12,37,166,New Mexico State,Sun Belt,31
400934570,2017,1,regular,2017-09-01T22:00:00.000Z,True,False,False,3841,Michie Stadium,349,Army,FBS Independents,64,2230,Fordham,Patriot,6
400944891,2017,1,regular,2017-09-01T22:30:00.000Z,True,False,False,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,24,2429,Charlotte,Conference USA,7
400937451,2017,1,regular,2017-09-01T23:00:00.000Z,True,False,False,1964,JMA Wireless Dome,183,Syracuse,ACC,50,2115,Central Connecticut,NEC,7
400935249,2017,1,regular,2017-09-02T00:00:00.000Z,True,True,False,3937,Sports Authority Field at Mile High,38,Colorado,Pac-12,17,36,Colorado State,Mountain West,3
400935250,2017,1,regular,2017-09-02T00:00:00.000Z,True,False,False,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,14,264,Washington,Pac-12,30
400938592,2017,1,regular,2017-09-02T00:00:00.000Z,True,False,False,3715,FAU Stadium,2226,Florida Atlantic,Conference USA,19,2426,Navy,American Athletic,42
400935231,2017,1,regular,2017-09-02T01:00:00.000Z,True,False,False,347,Camp Randall Stadium,275,Wisconsin,Big Ten,59,328,Utah State,Mountain West,10
400937446,2017,1,regular,2017-09-02T01:30:00.000Z,True,False,False,3764,Huskie Stadium,2459,Northern Illinois,Mid-American,20,103,Boston College,ACC,23
400933836,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3838,Memorial Stadium,142,Missouri,SEC,72,2623,Missouri State,MVFC,43
400934495,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3910,DKR-Texas Memorial Stadium,251,Texas,Big 12,41,120,Maryland,Big Ten,51
400935232,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,Big Ten,24,2050,Ball State,Mid-American,21
400935234,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3936,Spartan Stadium,127,Michigan State,Big Ten,35,189,Bowling Green,Mid-American,10
400935233,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3793,Kinnick Stadium,2294,Iowa,Big Ten,24,2751,Wyoming,Mountain West,3
400935237,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3632,Beaver Stadium,213,Penn State,Big Ten,52,2006,Akron,Mid-American,0
400937447,2017,1,regular,2017-09-02T16:00:00.000Z,True,False,False,3836,"Memorial Stadium (Clemson, SC)",228,Clemson,ACC,56,2309,Kent State,Mid-American,3
400935256,2017,1,regular,2017-09-02T16:20:00.000Z,True,False,False,3787,Kenan Stadium,153,North Carolina,ACC,30,25,California,Pac-12,35
400937449,2017,1,regular,2017-09-02T16:30:00.000Z,True,False,False,3948,Hard Rock Stadium,2390,Miami,ACC,41,2065,Bethune-Cookman,MEAC,13
400937450,2017,1,regular,2017-09-02T17:00:00.000Z,True,False,False,3752,Acrisure Stadium,221,Pittsburgh,ACC,28,2754,Youngstown State,MVFC,21
400935254,2017,1,regular,2017-09-02T18:00:00.000Z,True,False,False,3893,Reser Stadium,204,Oregon State,Pac-12,35,2502,Portland State,Big Sky,32
400945246,2017,1,regular,2017-09-02T18:00:00.000Z,True,False,False,3713,Falcon Stadium,2005,Air Force,Mountain West,62,2678,VMI,Southern,0
400933837,2017,1,regular,2017-09-02T19:00:00.000Z,True,True,False,3628,Bank of America Stadium,2579,South Carolina,SEC,35,152,NC State,ACC,28
400937452,2017,1,regular,2017-09-02T19:30:00.000Z,True,False,False,3923,Scott Stadium,258,Virginia,ACC,28,2729,William & Mary,CAA,10
400938597,2017,1,regular,2017-09-02T19:30:00.000Z,True,False,False,3803,Legion Field,5,UAB,Conference USA,38,2010,Alabama A&M,SWAC,7
400933830,2017,1,regular,2017-09-02T19:30:00.000Z,True,True,False,3687,AT&T Stadium,57,Florida,SEC,17,130,Michigan,Big Ten,33
400935236,2017,1,regular,2017-09-02T19:30:00.000Z,True,False,False,3911,Ryan Field,77,Northwestern,Big Ten,31,2440,Nevada,Mountain West,20
