id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
400548403,2014,1,,,1,,,,Georgia Dome,,,,,,,,
400548402,2014,1,,,1,,,,Williams-Brice Stadium,,,,,,,,
400548091,2014,1,,,1,,,,Huskie Stadium,,,,,,,,
400547829,2014,1,,,1,,,,Malone Stadium,,,,,,,,
400548090,2014,1,,,1,,,,InfoCision Stadium,,,,,,,,
400547960,2014,1,,,1,,,,Huntington Bank Stadium,,,,,,,,
400548092,2014,1,,,1,,,,Kelly/Shorts Stadium,,,,,,,,
400548256,2014,1,,,1,,,,Rice-Eccles Stadium,,,,,,,,
400548404,2014,1,,,1,,,,Aggie Memorial Stadium,,,,,,,,
400547647,2014,1,,,1,,,,Chapman Stadium,,,,,,,,
400548169,2014,1,,,1,,,,Georgia Dome,,,,,,,,
400547993,2014,1,,,1,,,,Lumen Field,,,,,,,,
400553383,2014,1,,,1,,,,CEFCU Stadium,,,,,,,,
400548255,2014,1,,,1,,,,Mountain America Stadium,,,,,,,,
400547640,2014,1,,,1,,,,FirstBank Stadium,,,,,,,,
400547641,2014,1,,,1,,,,Pratt & Whitney Stadium,,,,,,,,
400547952,2014,1,,,1,,,,Spartan Stadium,,,,,,,,
400547815,2014,1,,,1,,,,JMA Wireless Dome,,,,,,,,
400548003,2014,1,,,1,,,,Houchens Industries-L.T. Smith Stadium,,,,,,,,
400548171,2014,1,,,1,,,,Sports Authority Field at Mile High,,,,,,,,
400547644,2014,1,,,1,,,,TDECU Stadium,,,,,,,,
400548177,2014,1,,,1,,,,Arizona Stadium,,,,,,,,
400547642,2014,1,,,1,,,,Croke Park Stadium,,,,,,,,
400547982,2014,1,,,1,,,,M&T Bank Stadium,,,,,,,,
400548010,2014,1,,,1,,,,Legion Field,,,,,,,,
400547820,2014,1,,,1,,,,Scott Stadium,,,,,,,,
400547808,2014,1,,,1,,,,Acrisure Stadium,,,,,,,,
400547943,2014,1,,,1,,,,Michigan Stadium,,,,,,,,
400547928,2014,1,,,1,,,,Kinnick Stadium,,,,,,,,
400547988,2014,1,,,1,,,,Ross-Ade Stadium,,,,,,,,
400547840,2014,1,,,1,,,,Jack Trice Stadium,,,,,,,,
400547904,2014,1,,,1,,,,"Memorial Stadium (Champaign, IL)",,,,,,,,
400547916,2014,1,,,1,,,,"Memorial Stadium (Bloomington, IN)",,,,,,,,
400548400,2014,1,,,1,,,,Kroger Field,,,,,,,,
400547772,2014,1,,,1,,,,Bobby Dodd Stadium,,,,,,,,
400547802,2014,1,,,1,,,,Carter-Finley Stadium,,,,,,,,
400548170,2014,1,,,1,,,,Falcon Stadium,,,,,,,,
400548093,2014,1,,,1,,,,Scheumann Stadium,,,,,,,,
400547728,2014,1,,,1,,,,Gillette Stadium,,,,,,,,
400548174,2014,1,,,1,,,,Mackay Stadium,,,,,,,,
400547936,2014,1,,,1,,,,SECU Stadium,,,,,,,,
400548005,2014,1,,,1,,,,Yager Stadium,,,,,,,,
400547835,2014,1,,,1,,,,Georgia Dome,,,,,,,,
400548007,2014,1,,,1,,,,S.B. Ballard Stadium,,,,,,,,
400547975,2014,1,,,1,,,,Ryan Field,,,,,,,,
400548401,2014,1,,,1,,,,Memorial Stadium,,,,,,,,
400548094,2014,1,,,1,,,,UB Stadium,,,,,,,,
400547968,2014,1,,,1,,,,"Memorial Stadium (Lincoln, NE)",,,,,,,,
400548008,2014,1,,,1,,,,Notre Dame Stadium,,,,,,,,
400548258,2014,1,,,1,,,,Reser Stadium,,,,,,,,
400548179,2014,1,,,1,,,,War Memorial Stadium,,,,,,,,
400547825,2014,1,,,1,,,,Lane Stadium,,,,,,,,
400548259,2014,1,,,1,,,,Stanford Stadium,,,,,,,,
400548398,2014,1,,,1,,,,Jordan-Hare Stadium,,,,,,,,
400547740,2014,1,,,1,,,,Sanford Stadium,,,,,,,,
400547751,2014,1,,,1,,,,Wallace Wade Stadium,,,,,,,,
400548097,2014,1,,,1,,,,Dix Stadium,,,,,,,,
400547795,2014,1,,,1,,,,Kenan Stadium,,,,,,,,
400548095,2014,1,,,1,,,,Rynearson Stadium,,,,,,,,
400547834,2014,1,,,1,,,,"Memorial Stadium (Norman, OK)",,,,,,,,
400548406,2014,1,,,1,,,,Cajun Field,,,,,,,,
400548407,2014,1,,,1,,,,Bobcat Stadium (TX),,,,,,,,
400547645,2014,1,,,1,,,,Simmons Bank Liberty Stadium,,,,,,,,
400548405,2014,1,,,1,,,,Centennial Bank Stadium,,,,,,,,
400548175,2014,1,,,1,,,,Qualcomm Stadium,,,,,,,,
400548096,2014,1,,,1,,,,Glass Bowl,,,,,,,,
400548006,2014,1,,,1,,,,"Johnny ""Red"" Floyd Stadium",,,,,,,,
400548004,2014,1,,,1,,,,FIU Stadium,,,,,,,,
400547837,2014,1,,,1,,,,Amon G. Carter Stadium,,,,,,,,
400547646,2014,1,,,1,,,,Raymond James Stadium,,,,,,,,
400547838,2014,1,,,1,,,,Jones AT&T Stadium,,,,,,,,
400547839,2014,1,,,1,,,,Bill Snyder Family Stadium,,,,,,,,
400548172,2014,1,,,1,,,,Los Angeles Memorial Coliseum,,,,,,,,
400548009,2014,1,,,1,,,,Davis Wade Stadium,,,,,,,,
400547762,2014,1,,,1,,,,AT&T Stadium,,,,,,,,
400548011,2014,1,,,1,,,,University Stadium (NM),,,,,,,,
400547836,2014,1,,,1,,,,DKR-Texas Memorial Stadium,,,,,,,,
400547643,2014,1,,,1,,,,Dowdy-Ficklen Stadium,,,,,,,,
400548000,2014,1,,,1,,,,NRG Stadium,,,,,,,,
400548257,2014,1,,,1,,,,Autzen Stadium,,,,,,,,
400548173,2014,1,,,1,,,,Aloha Stadium,,,,,,,,
400548178,2014,1,,,1,,,,Neyland Stadium,,,,,,,,
400547648,2014,1,,,1,,,,McLane Stadium,,,,,,,,
400547786,2014,1,,,1,,,,L&N Federal Credit Union Stadium,,,,,,,,
400548018,2014,2,,,1,,,,Alamodome,,,,,,,,
400547729,2014,2,,,1,,,,"Alumni Stadium (Chestnut Hill, MA)",,,,,,,,
400548184,2014,2,,,1,,,,Mackay Stadium,,,,,,,,
400548013,2014,2,,,1,,,,Bryant-Denny Stadium,,,,,,,,
400547989,2014,2,,,1,,,,Ross-Ade Stadium,,,,,,,,
400547986,2014,2,,,1,,,,Beaver Stadium,,,,,,,,
400547905,2014,2,,,1,,,,"Memorial Stadium (Champaign, IL)",,,,,,,,
400547843,2014,2,,,1,,,,Jack Trice Stadium,,,,,,,,
400548396,2014,2,,,1,,,,Neyland Stadium,,,,,,,,
400547653,2014,2,,,1,,,,DATCU Stadium,,,,,,,,
400547657,2014,2,,,1,,,,Chapman Stadium,,,,,,,,
400547994,2014,2,,,1,,,,High Point Solutions Stadium,,,,,,,,
400547649,2014,2,,,1,,,,Pratt & Whitney Stadium,,,,,,,,
400547969,2014,2,,,1,,,,"Memorial Stadium (Lincoln, NE)",,,,,,,,
400548001,2014,2,,,1,,,,Camp Randall Stadium,,,,,,,,
400548098,2014,2,,,1,,,,Michie Stadium,,,,,,,,
400548102,2014,2,,,1,,,,Glass Bowl,,,,,,,,
400547741,2014,2,,,1,,,,"Memorial Stadium (Clemson, SC)",,,,,,,,
400547655,2014,2,,,1,,,,Lincoln Financial Field,,,,,,,,
400548017,2014,2,,,1,,,,Davis Wade Stadium,,,,,,,,
400548409,2014,2,,,1,,,,Georgia Dome,,,,,,,,
400548104,2014,2,,,1,,,,Dix Stadium,,,,,,,,
400548182,2014,2,,,1,,,,Rice-Eccles Stadium,,,,,,,,
400548262,2014,2,,,1,,,,California Memorial Stadium,,,,,,,,
400548099,2014,2,,,1,,,,Gillette Stadium,,,,,,,,
400548261,2014,2,,,1,,,,Husky Stadium,,,,,,,,
400548103,2014,2,,,1,,,,Kroger Field,,,,,,,,
400548100,2014,2,,,1,,,,Yager Stadium,,,,,,,,
400547821,2014,2,,,1,,,,Scott Stadium,,,,,,,,
400547844,2014,2,,,1,,,,Boone Pickens Stadium,,,,,,,,
400548105,2014,2,,,1,,,,Doyt L. Perry Stadium,,,,,,,,
400548260,2014,2,,,1,,,,Stanford Stadium,,,,,,,,
400547654,2014,2,,,1,,,,Raymond James Stadium,,,,,,,,
400547929,2014,2,,,1,,,,Kinnick Stadium,,,,,,,,
400547961,2014,2,,,1,,,,Huntington Bank Stadium,,,,,,,,
400547976,2014,2,,,1,,,,Ryan Field,,,,,,,,
400547656,2014,2,,,1,,,,Yulman Stadium,,,,,,,,
400548101,2014,2,,,1,,,,Ben Hill Griffin Stadium,,,,,,,,
400548393,2014,2,,,1,,,,Razorback Stadium,,,,,,,,
400548395,2014,2,,,1,,,,Nissan Stadium,,,,,,,,
400548012,2014,2,,,1,,,,FIU Stadium,,,,,,,,
400548408,2014,2,,,1,,,,Kidd Brewer Stadium,,,,,,,,
400548410,2014,2,,,1,,,,Allen E. Paulson Stadium,,,,,,,,
400547803,2014,2,,,1,,,,Carter-Finley Stadium,,,,,,,,
400547953,2014,2,,,1,,,,Autzen Stadium,,,,,,,,
400547830,2014,2,,,1,,,,Allegacy Federal Credit Union Stadium,,,,,,,,
400548016,2014,2,,,1,,,,M. M. Roberts Stadium,,,,,,,,
400547787,2014,2,,,1,,,,Hard Rock Stadium,,,,,,,,
400548015,2014,2,,,1,,,,Joan C. Edwards Stadium,,,,,,,,
400547780,2014,2,,,1,,,,L&N Federal Credit Union Stadium,,,,,,,,
400548186,2014,2,,,1,,,,Jordan-Hare Stadium,,,,,,,,
400548014,2014,2,,,1,,,,Cajun Field,,,,,,,,
400547752,2014,2,,,1,,,,Veterans Memorial Stadium (AL),,,,,,,,
400548411,2014,2,,,1,,,,Malone Stadium,,,,,,,,
400547650,2014,2,,,1,,,,Williams-Brice Stadium,,,,,,,,
400548185,2014,2,,,1,,,,University Stadium (NM),,,,,,,,
400547847,2014,2,,,1,,,,Memorial Stadium,,,,,,,,
400547944,2014,2,,,1,,,,Notre Dame Stadium,,,,,,,,
400547763,2014,2,,,1,,,,Doak Campbell Stadium,,,,,,,,
400547842,2014,2,,,1,,,,McLane Stadium,,,,,,,,
400548397,2014,2,,,1,,,,Kyle Field,,,,,,,,
400547841,2014,2,,,1,,,,Milan Puskar Stadium,,,,,,,,
400548394,2014,2,,,1,,,,Tiger Stadium (LA),,,,,,,,
400547846,2014,2,,,1,,,,DKR-Texas Memorial Stadium,,,,,,,,
400547796,2014,2,,,1,,,,Kenan Stadium,,,,,,,,
400548188,2014,2,,,1,,,,Maverik Stadium,,,,,,,,
400547651,2014,2,,,1,,,,TDECU Stadium,,,,,,,,
400547826,2014,2,,,1,,,,Ohio Stadium,,,,,,,,
400547652,2014,2,,,1,,,,Rose Bowl,,,,,,,,
400548187,2014,2,,,1,,,,Sam Boyd Stadium,,,,,,,,
400548180,2014,2,,,1,,,,War Memorial Stadium,,,,,,,,
400548181,2014,2,,,1,,,,Albertsons Stadium,,,,,,,,
400548183,2014,2,,,1,,,,Aloha Stadium,,,,,,,,
400547845,2014,2,,,1,,,,Sun Bowl,,,,,,,,
400548021,2014,3,,,1,,,,DATCU Stadium,,,,,,,,
400547658,2014,3,,,1,,,,LaVell Edwards Stadium,,,,,,,,
400547659,2014,3,,,1,,,,Paul Brown Stadium,,,,,,,,
400548106,2014,3,,,1,,,,UB Stadium,,,,,,,,
400547660,2014,3,,,1,,,,Memorial Stadium,,,,,,,,
400548019,2014,3,,,1,,,,Joan C. Edwards Stadium,,,,,,,,
