season,seasonType,week,poll,rank,team,conference,points
2019,regular,1,AFCA Division II Coaches Poll,1,Valdosta State,Gulf South,792
2019,regular,1,AFCA Division II Coaches Poll,2,Ferris State,GLIAC,768
2019,regular,1,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,686
2019,regular,1,AFCA Division II Coaches Poll,4,Notre Dame College,Mountain East,623
2019,regular,1,AFCA Division II Coaches Poll,5,Ouachita Baptist,Great American,585
2019,regular,1,AFCA Division II Coaches Poll,6,Northwest Missouri St,Mid America,580
2019,regular,1,AFCA Division II Coaches Poll,7,Tarleton State,Lone Star,549
2019,regular,1,AFCA Division II Coaches Poll,8,Lenoir-Rhyne,South Atlantic,524
2019,regular,1,AFCA Division II Coaches Poll,9,CSU Pueblo,Rocky Mountain,463
2019,regular,1,AFCA Division II Coaches Poll,10,Slippery Rock,Pennsylvania State Athletic,446
2019,regular,1,AFCA Division II Coaches Poll,11,Fort Hays State,Mid America,419
2019,regular,1,AFCA Division II Coaches Poll,12,Grand Valley State University,GLIAC,418
2019,regular,1,AFCA Division II Coaches Poll,13,East Texas A&M,Lone Star,385
2019,regular,1,AFCA Division II Coaches Poll,14,Minnesota Duluth,Northern Sun,342
2019,regular,1,AFCA Division II Coaches Poll,15,West Georgia,Gulf South,330
2019,regular,1,AFCA Division II Coaches Poll,16,Indianapolis,Great Lakes,319
2019,regular,1,AFCA Division II Coaches Poll,17,Colorado School Of Mines,Rocky Mountain,288
2019,regular,1,AFCA Division II Coaches Poll,18,Harding University,Great American,223
2019,regular,1,AFCA Division II Coaches Poll,19,Hillsdale,Great Midwest Athletic,220
2019,regular,1,AFCA Division II Coaches Poll,20,Midwestern State,Lone Star,214
2019,regular,1,AFCA Division II Coaches Poll,21,Wingate,South Atlantic,175
2019,regular,1,AFCA Division II Coaches Poll,22,West Chester,Pennsylvania State Athletic,134
2019,regular,1,AFCA Division II Coaches Poll,23,Ashland,GLIAC,129
2019,regular,1,AFCA Division II Coaches Poll,24,West Alabama,Gulf South,116
2019,regular,1,AFCA Division II Coaches Poll,25,Fairmont State,Mountain East,78
2019,regular,1,AFCA Division III Coaches Poll,1,Mary Hardin-Baylor,American Southwest,1309
2019,regular,1,AFCA Division III Coaches Poll,2,University of Mount Union,Ohio,1283
2019,regular,1,AFCA Division III Coaches Poll,3,Wisconsin-Whitewater,Wisconsin,1187
2019,regular,1,AFCA Division III Coaches Poll,4,Saint John's (MN),Minnesota,1132
2019,regular,1,AFCA Division III Coaches Poll,5,North Central College,CCIW,1093
2019,regular,1,AFCA Division III Coaches Poll,6,St. Thomas (MN),Minnesota,1032
2019,regular,1,AFCA Division III Coaches Poll,7,Hardin-Simmons,American Southwest,998
2019,regular,1,AFCA Division III Coaches Poll,8,Muhlenberg,Centennial,894
2019,regular,1,AFCA Division III Coaches Poll,9,John Carroll University,Ohio,732
2019,regular,1,AFCA Division III Coaches Poll,10,Berry College,Southern Athletic,725
2019,regular,1,AFCA Division III Coaches Poll,11,Wheaton,CCIW,720
2019,regular,1,AFCA Division III Coaches Poll,11,Wesley College,New Jersey,720
2019,regular,1,AFCA Division III Coaches Poll,13,Bethel (MN),Minnesota,693
2019,regular,1,AFCA Division III Coaches Poll,14,Ithaca College,Liberty League,420
2019,regular,1,AFCA Division III Coaches Poll,15,Wartburg,American Rivers,403
2019,regular,1,AFCA Division III Coaches Poll,16,Salisbury,New Jersey,334
2019,regular,1,AFCA Division III Coaches Poll,17,Delaware Valley,Mid Atlantic,325
2019,regular,1,AFCA Division III Coaches Poll,18,Johns Hopkins University,Centennial,324
2019,regular,1,AFCA Division III Coaches Poll,19,Wisconsin-Lacrosse,Wisconsin,294
2019,regular,1,AFCA Division III Coaches Poll,20,Redlands,So. Cal.,249
2019,regular,1,AFCA Division III Coaches Poll,21,Linfield College,Northwest,191
2019,regular,1,AFCA Division III Coaches Poll,22,Hobart College,Liberty League,184
2019,regular,1,AFCA Division III Coaches Poll,23,Whitworth,Northwest,178
2019,regular,1,AFCA Division III Coaches Poll,24,Trine University,Michigan,156
2019,regular,1,AFCA Division III Coaches Poll,25,Case Western Reserve,Presidents',153
2019,regular,1,AP Top 25,1,Clemson,ACC,1540
2019,regular,1,AP Top 25,2,Alabama,SEC,1496
2019,regular,1,AP Top 25,3,Georgia,SEC,1403
2019,regular,1,AP Top 25,4,Oklahoma,Big 12,1331
2019,regular,1,AP Top 25,5,Ohio State,Big Ten,1261
2019,regular,1,AP Top 25,6,LSU,SEC,1199
2019,regular,1,AP Top 25,7,Michigan,Big Ten,1164
2019,regular,1,AP Top 25,8,Florida,SEC,1054
2019,regular,1,AP Top 25,9,Notre Dame,FBS Independents,1044
2019,regular,1,AP Top 25,10,Texas,Big 12,1005
2019,regular,1,AP Top 25,11,Oregon,Pac-12,860
2019,regular,1,AP Top 25,12,Texas A&M,SEC,852
2019,regular,1,AP Top 25,13,Washington,Pac-12,786
2019,regular,1,AP Top 25,14,Utah,Pac-12,772
2019,regular,1,AP Top 25,15,Penn State,Big Ten,651
2019,regular,1,AP Top 25,16,Auburn,SEC,578
2019,regular,1,AP Top 25,17,UCF,American Athletic,410
2019,regular,1,AP Top 25,18,Michigan State,Big Ten,377
2019,regular,1,AP Top 25,19,Wisconsin,Big Ten,370
2019,regular,1,AP Top 25,20,Iowa,Big Ten,330
2019,regular,1,AP Top 25,21,Iowa State,Big 12,302
2019,regular,1,AP Top 25,22,Syracuse,ACC,209
2019,regular,1,AP Top 25,23,Washington State,Pac-12,200
2019,regular,1,AP Top 25,24,Nebraska,Big Ten,154
2019,regular,1,AP Top 25,25,Stanford,Pac-12,141
2019,regular,1,Coaches Poll,1,Clemson,ACC,1619
2019,regular,1,Coaches Poll,2,Alabama,SEC,1566
2019,regular,1,Coaches Poll,3,Georgia,SEC,1447
