season,seasonType,week,poll,rank,team,conference,points
2022,regular,1,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,750
2022,regular,1,AFCA Division II Coaches Poll,2,Northwest Missouri St,Mid America,661
2022,regular,1,AFCA Division II Coaches Poll,3,Valdosta State,Gulf South,656
2022,regular,1,AFCA Division II Coaches Poll,4,Colorado School Of Mines,Rocky Mountain,654
2022,regular,1,AFCA Division II Coaches Poll,5,Grand Valley State University,GLIAC,596
2022,regular,1,AFCA Division II Coaches Poll,6,Shepherd,Pennsylvania State Athletic,550
2022,regular,1,AFCA Division II Coaches Poll,7,Angelo State,Lone Star,494
2022,regular,1,AFCA Division II Coaches Poll,8,Bowie State,CIAA,479
2022,regular,1,AFCA Division II Coaches Poll,9,Harding University,Great American,467
2022,regular,1,AFCA Division II Coaches Poll,10,Notre Dame College,Mountain East,465
2022,regular,1,AFCA Division II Coaches Poll,11,West Florida,Gulf South,452
2022,regular,1,AFCA Division II Coaches Poll,12,West Georgia,Gulf South,373
2022,regular,1,AFCA Division II Coaches Poll,13,Kutztown University,Pennsylvania State Athletic,359
2022,regular,1,AFCA Division II Coaches Poll,14,Nebraska-Kearney,Mid America,318
2022,regular,1,AFCA Division II Coaches Poll,15,Newberry,South Atlantic,250
2022,regular,1,AFCA Division II Coaches Poll,16,New Haven,Northeast 10,243
2022,regular,1,AFCA Division II Coaches Poll,17,Western Colorado,Rocky Mountain,226
2022,regular,1,AFCA Division II Coaches Poll,18,Albany State GA,SIAC,160
2022,regular,1,AFCA Division II Coaches Poll,19,Lenoir-Rhyne,South Atlantic,154
2022,regular,1,AFCA Division II Coaches Poll,19,Ouachita Baptist,Great American,154
2022,regular,1,AFCA Division II Coaches Poll,21,PennWest California,Pennsylvania State Athletic,143
2022,regular,1,AFCA Division II Coaches Poll,22,Bemidji State,Northern Sun,137
2022,regular,1,AFCA Division II Coaches Poll,23,Slippery Rock,Pennsylvania State Athletic,131
2022,regular,1,AFCA Division II Coaches Poll,24,Midwestern State,Lone Star,112
2022,regular,1,AFCA Division II Coaches Poll,25,Augustana University (SD),Northern Sun,99
2022,regular,1,AP Top 25,1,Alabama,SEC,1566
2022,regular,1,AP Top 25,2,Ohio State,Big Ten,1506
2022,regular,1,AP Top 25,3,Georgia,SEC,1455
2022,regular,1,AP Top 25,4,Clemson,ACC,1292
2022,regular,1,AP Top 25,5,Notre Dame,FBS Independents,1242
2022,regular,1,AP Top 25,6,Texas A&M,SEC,1212
2022,regular,1,AP Top 25,7,Utah,Pac-12,1209
2022,regular,1,AP Top 25,8,Michigan,Big Ten,1203
2022,regular,1,AP Top 25,9,Oklahoma,Big 12,956
2022,regular,1,AP Top 25,10,Baylor,Big 12,884
2022,regular,1,AP Top 25,11,Oregon,Pac-12,831
2022,regular,1,AP Top 25,12,Oklahoma State,Big 12,814
2022,regular,1,AP Top 25,13,NC State,ACC,752
2022,regular,1,AP Top 25,14,USC,Pac-12,711
2022,regular,1,AP Top 25,15,Michigan State,Big Ten,631
2022,regular,1,AP Top 25,16,Miami,ACC,476
2022,regular,1,AP Top 25,17,Pittsburgh,ACC,383
2022,regular,1,AP Top 25,18,Wisconsin,Big Ten,365
2022,regular,1,AP Top 25,19,Arkansas,SEC,348
2022,regular,1,AP Top 25,20,Kentucky,SEC,332
2022,regular,1,AP Top 25,21,Ole Miss,SEC,324
2022,regular,1,AP Top 25,22,Wake Forest,ACC,303
2022,regular,1,AP Top 25,23,Cincinnati,American Athletic,265
2022,regular,1,AP Top 25,24,Houston,American Athletic,263
2022,regular,1,AP Top 25,25,BYU,FBS Independents,234
2022,regular,1,Coaches Poll,1,Alabama,SEC,1634
2022,regular,1,Coaches Poll,2,Ohio State,Big Ten,1564
2022,regular,1,Coaches Poll,3,Georgia,SEC,1542
2022,regular,1,Coaches Poll,4,Clemson,ACC,1356
2022,regular,1,Coaches Poll,5,Notre Dame,FBS Independents,1284
2022,regular,1,Coaches Poll,6,Michigan,Big Ten,1232
2022,regular,1,Coaches Poll,7,Texas A&M,SEC,1219
2022,regular,1,Coaches Poll,8,Utah,Pac-12,1134
2022,regular,1,Coaches Poll,9,Oklahoma,Big 12,1027
2022,regular,1,Coaches Poll,10,Baylor,Big 12,891
2022,regular,1,Coaches Poll,11,Oklahoma State,Big 12,859
2022,regular,1,Coaches Poll,12,Oregon,Pac-12,734
2022,regular,1,Coaches Poll,13,NC State,ACC,726
2022,regular,1,Coaches Poll,14,Michigan State,Big Ten,711
2022,regular,1,Coaches Poll,15,USC,Pac-12,602
2022,regular,1,Coaches Poll,16,Pittsburgh,ACC,450
2022,regular,1,Coaches Poll,17,Miami,ACC,433
2022,regular,1,Coaches Poll,18,Texas,Big 12,383
2022,regular,1,Coaches Poll,19,Wake Forest,ACC,381
2022,regular,1,Coaches Poll,20,Wisconsin,Big Ten,369
2022,regular,1,Coaches Poll,21,Kentucky,SEC,353
2022,regular,1,Coaches Poll,22,Cincinnati,American Athletic,339
2022,regular,1,Coaches Poll,23,Arkansas,SEC,334
2022,regular,1,Coaches Poll,24,Ole Miss,SEC,327
2022,regular,1,Coaches Poll,25,Houston,American Athletic,257
2022,regular,1,FCS Coaches Poll,1,North Dakota State,MVFC,624
2022,regular,1,FCS Coaches Poll,2,Montana,Big Sky,567
2022,regular,1,FCS Coaches Poll,3,South Dakota State,MVFC,566
2022,regular,1,FCS Coaches Poll,4,Montana State,Big Sky,560
2022,regular,1,FCS Coaches Poll,5,Villanova,CAA,493
2022,regular,1,FCS Coaches Poll,6,Kennesaw State,Atlantic Sun,453
2022,regular,1,FCS Coaches Poll,7,Sacramento State,Big Sky,452
2022,regular,1,FCS Coaches Poll,8,Missouri State,MVFC,405
2022,regular,1,FCS Coaches Poll,9,Southern Illinois,MVFC,379
2022,regular,1,FCS Coaches Poll,10,Stephen F. Austin,Western Athletic,362
2022,regular,1,FCS Coaches Poll,11,East Tennessee State,Southern,352
2022,regular,1,FCS Coaches Poll,12,Eastern Washington,Big Sky,337
2022,regular,1,FCS Coaches Poll,13,Chattanooga,Southern,294
2022,regular,1,FCS Coaches Poll,14,Incarnate Word,Southland,277
2022,regular,1,FCS Coaches Poll,15,UT Martin,OVC,257
2022,regular,1,FCS Coaches Poll,16,SE Louisiana,Southland,254
2022,regular,1,FCS Coaches Poll,17,Jackson State,SWAC,245
2022,regular,1,FCS Coaches Poll,18,Holy Cross,Patriot,184
2022,regular,1,FCS Coaches Poll,19,Delaware,CAA,172
2022,regular,1,FCS Coaches Poll,20,Weber State,Big Sky,141
2022,regular,1,FCS Coaches Poll,21,Northern Iowa,MVFC,119
2022,regular,1,FCS Coaches Poll,22,UC Davis,Big Sky,101
2022,regular,1,FCS Coaches Poll,23,Mercer,Southern,78
2022,regular,1,FCS Coaches Poll,24,Rhode Island,CAA,66
2022,regular,1,FCS Coaches Poll,24,Richmond,CAA,66
2022,regular,2,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,748
2022,regular,2,AFCA Division II Coaches Poll,2,Northwest Missouri St,Mid America,706
2022,regular,2,AFCA Division II Coaches Poll,3,Valdosta State,Gulf South,686
2022,regular,2,AFCA Division II Coaches Poll,4,Grand Valley State University,GLIAC,667
2022,regular,2,AFCA Division II Coaches Poll,5,Shepherd,Pennsylvania State Athletic,608
2022,regular,2,AFCA Division II Coaches Poll,6,Angelo State,Lone Star,582
2022,regular,2,AFCA Division II Coaches Poll,7,West Florida,Gulf South,524
2022,regular,2,AFCA Division II Coaches Poll,8,Harding University,Great American,509
2022,regular,2,AFCA Division II Coaches Poll,9,Bowie State,CIAA,500
2022,regular,2,AFCA Division II Coaches Poll,10,West Georgia,Gulf South,475
2022,regular,2,AFCA Division II Coaches Poll,11,Nebraska-Kearney,Mid America,428
2022,regular,2,AFCA Division II Coaches Poll,12,Colorado School Of Mines,Rocky Mountain,424
2022,regular,2,AFCA Division II Coaches Poll,13,Newberry,South Atlantic,361
2022,regular,2,AFCA Division II Coaches Poll,14,Lenoir-Rhyne,South Atlantic,326
2022,regular,2,AFCA Division II Coaches Poll,15,Albany State GA,SIAC,286
2022,regular,2,AFCA Division II Coaches Poll,16,Ouachita Baptist,Great American,278
2022,regular,2,AFCA Division II Coaches Poll,17,PennWest California,Pennsylvania State Athletic,252
2022,regular,2,AFCA Division II Coaches Poll,18,Slippery Rock,Pennsylvania State Athletic,229
2022,regular,2,AFCA Division II Coaches Poll,19,Augustana University (SD),Northern Sun,152
2022,regular,2,AFCA Division II Coaches Poll,20,Ashland,Great Midwest Athletic,122
2022,regular,2,AFCA Division II Coaches Poll,21,Notre Dame College,Mountain East,102
2022,regular,2,AFCA Division II Coaches Poll,21,CSU Pueblo,Rocky Mountain,102
2022,regular,2,AFCA Division II Coaches Poll,23,West Texas A&M,Lone Star,88
2022,regular,2,AFCA Division II Coaches Poll,24,New Haven,Northeast 10,85
2022,regular,2,AFCA Division II Coaches Poll,25,Indianapolis,Great Lakes,76
2022,regular,2,AP Top 25,1,Alabama,SEC,1552
2022,regular,2,AP Top 25,2,Georgia,SEC,1511
2022,regular,2,AP Top 25,3,Ohio State,Big Ten,1471
2022,regular,2,AP Top 25,4,Michigan,Big Ten,1299
2022,regular,2,AP Top 25,5,Clemson,ACC,1280
2022,regular,2,AP Top 25,6,Texas A&M,SEC,1241
2022,regular,2,AP Top 25,7,Oklahoma,Big 12,1130
2022,regular,2,AP Top 25,8,Notre Dame,FBS Independents,1085
2022,regular,2,AP Top 25,9,Baylor,Big 12,1057
2022,regular,2,AP Top 25,10,USC,Pac-12,898
2022,regular,2,AP Top 25,11,Oklahoma State,Big 12,818
