Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status
2024-07-06,Fever,83,Liberty,78,Final
2024-07-06,Lynx,74,Mystics,67,Final
2024-07-07,Sun,80,Dream,67,Final
2024-07-07,Aces,104,Wings,85,Final
2024-07-07,Storm,84,Sky,71,Final
2024-07-07,Sparks,78,Mercury,84,Final
2024-07-09,Sparks,67,Lynx,82,Final
2024-07-10,Sun,68,Liberty,71,Final
2024-07-10,Fever,84,Mystics,89,Final
2024-07-10,Sky,78,Dream,69,Final
2024-07-10,Storm,79,Aces,84,Final
2024-07-10,Mercury,100,Wings,84,Final
2024-07-11,Liberty,91,Sky,76,Final
2024-07-12,Dream,70,Aces,84,Final
2024-07-12,Fever,95,Mercury,86,Final
2024-07-12,Storm,91,Lynx,63,Final
2024-07-13,Sky,67,Liberty,81,Final
2024-07-13,Wings,81,Sparks,87,Final
2024-07-14,Sun,96,Mercury,69,Final
2024-07-14,Mystics,77,Aces,89,Final
2024-07-14,Lynx,74,Fever,81,Final
2024-07-14,Storm,81,Dream,70,Final
2024-07-16,Mystics,87,Mercury,96,Final
2024-07-16,Sparks,83,Storm,89,Final
2024-07-16,Liberty,82,Sun,74,Final
2024-07-16,Aces,85,Sky,93,Final
2024-07-17,Lynx,86,Dream,79,Final
2024-07-17,Wings,101,Fever,93,Final
2024-07-20,Team WNBA,117,Team USA,109,Final
2024-08-15,Sky,65,Mercury,85,Final
2024-08-15,Lynx,79,Mystics,68,Final
2024-08-15,Sparks,68,Liberty,103,Final
2024-08-16,Dream,83,Storm,81,Final
2024-08-16,Fever,98,Mercury,89,Final
2024-08-16,Wings,91,Sun,109,Final
2024-08-17,Mystics,83,Lynx,99,Final
2024-08-17,Aces,67,Liberty,79,Final
2024-08-17,Sparks,86,Sky,90,Final
2024-08-18,Dream,82,Sun,70,Final
2024-08-18,Fever,92,Storm,75,Final
2024-08-18,Aces,87,Sparks,71,Final
2024-08-18,Mercury,86,Sky,68,Final
2024-08-20,Sun,69,Sparks,61,Final
2024-08-20,Liberty,94,Wings,74,Final
2024-08-20,Mystics,77,Storm,83,Final
2024-08-21,Dream,72,Mercury,63,Final
2024-08-21,Aces,87,Lynx,98,Final
2024-08-22,Liberty,79,Wings,71,Final
2024-08-23,Dream,80,Mercury,82,Final
2024-08-23,Sun,82,Sky,80,Final
2024-08-23,Mystics,80,Sparks,74,Final
2024-08-23,Lynx,87,Aces,74,Final
2024-08-24,Liberty,64,Sun,72,Final
2024-08-24,Lynx,90,Fever,80,Final
2024-08-25,Sky,75,Aces,77,Final
2024-08-25,Wings,113,Sparks,110,Final
2024-08-26,Dream,79,Fever,84,Final
2024-08-26,Mercury,70,Liberty,84,Final
2024-08-26,Storm,72,Mystics,74,Final
2024-08-27,Wings,93,Aces,90,Final
2024-08-28,Fever,84,Sun,80,Final
2024-08-28,Sky,70,Mystics,74,Final
2024-08-28,Sparks,94,Liberty,88,Final
2024-08-28,Mercury,76,Lynx,89,Final
2024-08-28,Storm,85,Dream,81,Final
2024-08-30,Sky,81,Fever,100,Final
2024-08-30,Wings,94,Lynx,76,Final
2024-08-30,Aces,83,Dream,72,Final
2024-08-30,Storm,85,Liberty,98,Final
2024-08-31,Mystics,85,Sun,96,Final
2024-09-01,Sun,93,Storm,86,Final
2024-09-01,Lynx,79,Sky,74,Final
2024-09-01,Wings,93,Fever,100,Final
2024-09-01,Mercury,79,Aces,97,Final
2024-09-01,Sparks,62,Dream,80,Final
2024-09-03,Sun,64,Storm,71,Final
2024-09-03,Wings,86,Mystics,90,Final
2024-09-03,Aces,90,Sky,71,Final
2024-09-03,Mercury,74,Dream,66,Final
2024-09-04,Fever,93,Sparks,86,Final
2024-09-05,Liberty,77,Storm,70,Final
2024-09-05,Mercury,77,Mystics,90,Final
2024-09-06,Dream,107,Wings,96,Final
2024-09-06,Sun,67,Aces,72,Final
2024-09-06,Fever,88,Lynx,99,Final
2024-09-06,Sky,92,Sparks,78,Final
2024-09-07,Storm,90,Mercury,66,Final
2024-09-08,Mystics,71,Lynx,78,Final
2024-09-08,Fever,104,Dream,100,Final
2024-09-08,Liberty,75,Aces,71,Final
2024-09-08,Sky,92,Wings,77,Final
2024-09-08,Sparks,67,Sun,79,Final
2024-09-10,Dream,64,Lynx,76,Final
2024-09-10,Wings,91,Liberty,105,Final
2024-09-10,Sparks,66,Sun,86,Final
2024-09-11,Fever,75,Aces,86,Final
2024-09-11,Sky,58,Mystics,89,Final
2024-09-11,Sparks,82,Storm,90,Final
2024-09-12,Wings,67,Liberty,99,Final
2024-09-13,Dream,69,Mystics,72,Final
2024-09-13,Fever,74,Aces,78,Final
2024-09-13,Wings,81,Storm,83,Final
2024-09-13,Lynx,83,Sky,66,Final
2024-09-13,Mercury,69,Sun,88,Final
2024-09-15,Fever,110,Wings,109,Final
2024-09-15,Liberty,79,Lynx,88,Final
2024-09-15,Mystics,73,Dream,76,Final
2024-09-15,Sky,88,Mercury,93,Final
2024-09-15,Aces,84,Sun,71,Final
2024-09-15,Storm,90,Sparks,87,Final
2024-09-17,Sun,76,Lynx,78,Final
2024-09-17,Mystics,71,Liberty,87,Final
2024-09-17,Dream,86,Sky,70,Final
2024-09-17,Storm,72,Aces,85,Final
2024-09-17,Sparks,81,Mercury,85,Final
2024-09-19,Sun,87,Sky,54,Final
2024-09-19,Liberty,67,Dream,78,Final
2024-09-19,Mystics,92,Fever,91,Final
2024-09-19,Lynx,51,Sparks,68,Final
2024-09-19,Aces,98,Wings,84,Final
2024-09-19,Mercury,70,Storm,89,Final
2024-09-22,Liberty,83,Dream,69,Final
2024-09-22,Sun,93,Fever,69,Final
2024-09-22,Lynx,102,Mercury,95,Final
2024-09-22,Aces,78,Storm,67,Final
2024-09-24,Liberty,91,Dream,82,Final
2024-09-24,Aces,83,Storm,76,Final
2024-09-25,Sun,87,Fever,81,Final
2024-09-25,Lynx,101,Mercury,88,Final
2024-09-29,Liberty,87,Aces,77,Final
2024-09-29,Lynx,70,Sun,73,Final
2024-10-01,Liberty,88,Aces,84,Final
2024-10-01,Lynx,77,Sun,70,Final
2024-10-04,Sun,81,Lynx,90,Final
2024-10-04,Aces,95,Liberty,81,Final
2024-10-06,Aces,62,Liberty,76,Final
2024-10-06,Sun,92,Lynx,82,Final
2024-10-08,Lynx,88,Sun,77,Final
2024-10-10,Liberty,93,Lynx,95,Final
2024-10-13,Liberty,80,Lynx,66,Final
2024-10-16,Lynx,77,Liberty,80,Final
2024-10-18,Lynx,82,Liberty,80,Final
2024-10-20,Liberty,67,Lynx,62,Final
