Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status
2025-05-16,Mystics,94,Dream,90,Final
2025-05-16,Wings,84,Lynx,99,Final
2025-05-16,Valkyries,67,Sparks,84,Final
2025-05-17,Liberty,92,Aces,78,Final
2025-05-17,Fever,93,Sky,58,Final
2025-05-17,Mercury,81,Storm,59,Final
2025-05-18,Sun,85,Mystics,90,Final
2025-05-18,Sparks,75,Lynx,89,Final
2025-05-19,Wings,71,Storm,79,Final
2025-05-20,Sun,62,Aces,87,Final
2025-05-20,Fever,90,Dream,91,Final
2025-05-21,Lynx,85,Wings,81,Final
2025-05-21,Valkyries,76,Mystics,74,Final
2025-05-21,Mercury,89,Sparks,86,Final
2025-05-22,Dream,76,Fever,81,Final
2025-05-22,Sky,74,Liberty,99,Final
2025-05-23,Lynx,76,Sun,70,Final
2025-05-23,Aces,75,Mystics,72,Final
2025-05-23,Sparks,73,Valkyries,82,Final
2025-05-23,Storm,77,Mercury,70,Final
2025-05-24,Fever,88,Liberty,90,Final
2025-05-24,Dream,83,Wings,75,Final
2025-05-25,Dream,79,Sun,55,Final
2025-05-25,Sparks,91,Sky,78,Final
2025-05-25,Mercury,68,Mystics,62,Final
2025-05-25,Storm,102,Aces,82,Final
2025-05-27,Sun,87,Wings,109,Final
2025-05-27,Liberty,95,Valkyries,67,Final
2025-05-27,Lynx,82,Storm,77,Final
2025-05-27,Sparks,82,Dream,88,Final
2025-05-27,Mercury,94,Sky,89,Final
2025-05-28,Mystics,83,Fever,77,Final
2025-05-29,Liberty,82,Valkyries,77,Final
2025-05-29,Sky,97,Wings,92,Final
2025-05-30,Fever,83,Sun,85,Final
2025-05-30,Mystics,63,Liberty,85,Final
2025-05-30,Aces,96,Sparks,81,Final
2025-05-30,Mercury,71,Lynx,74,Final
2025-05-30,Storm,87,Dream,94,Final
2025-05-31,Wings,83,Sky,94,Final
2025-06-01,Liberty,100,Sun,52,Final
2025-06-01,Sparks,80,Mercury,85,Final
2025-06-01,Storm,70,Aces,75,Final
2025-06-01,Valkyries,75,Lynx,86,Final
2025-06-03,Fever,85,Mystics,76,Final
2025-06-03,Lynx,88,Mercury,65,Final
2025-06-03,Storm,83,Wings,77,Final
2025-06-05,Mystics,78,Liberty,86,Final
2025-06-05,Mercury,86,Valkyries,77,Final
2025-06-06,Sun,84,Dream,76,Final
2025-06-06,Wings,79,Sparks,93,Final
2025-06-07,Valkyries,95,Aces,68,Final
2025-06-07,Sky,52,Fever,79,Final
2025-06-07,Mercury,77,Storm,89,Final
2025-06-08,Mystics,104,Sun,67,Final
2025-06-08,Wings,65,Lynx,81,Final
2025-06-09,Sparks,81,Valkyries,89,Final
2025-06-10,Dream,77,Fever,58,Final
2025-06-10,Liberty,85,Sky,66,Final
2025-06-11,Aces,89,Sparks,97,Final
2025-06-11,Mercury,93,Wings,80,Final
2025-06-11,Storm,94,Lynx,84,Final
2025-06-13,Dream,88,Sky,70,Final
2025-06-13,Aces,88,Wings,84,Final
2025-06-14,Lynx,101,Sparks,78,Final
2025-06-14,Fever,102,Liberty,88,Final
2025-06-14,Valkyries,76,Storm,70,Final
2025-06-15,Sun,66,Sky,78,Final
2025-06-15,Mystics,56,Dream,89,Final
2025-06-15,Aces,70,Mercury,76,Final
2025-06-17,Fever,88,Sun,71,Final
2025-06-17,Liberty,86,Dream,81,Final
2025-06-17,Sky,72,Mystics,79,Final
2025-06-17,Wings,80,Valkyries,71,Final
2025-06-17,Lynx,76,Aces,62,Final
2025-06-17,Sparks,67,Storm,98,Final
2025-06-18,Sun,75,Mercury,83,Final
2025-06-19,Liberty,81,Mercury,89,Final
2025-06-19,Valkyries,88,Fever,77,Final
2025-06-20,Dream,92,Mystics,91,Final
2025-06-20,Sun,83,Wings,86,Final
2025-06-20,Aces,83,Storm,90,Final
2025-06-21,Sky,86,Mercury,107,Final
2025-06-21,Lynx,82,Sparks,66,Final
2025-06-22,Dream,93,Sky,80,Final
2025-06-22,Mystics,91,Wings,88,Final
2025-06-22,Aces,89,Fever,81,Final
2025-06-22,Storm,89,Liberty,79,Final
2025-06-22,Valkyries,87,Sun,63,Final
2025-06-24,Mystics,68,Lynx,64,Final
2025-06-24,Sky,97,Sparks,86,Final
2025-06-24,Wings,68,Dream,55,Final
2025-06-24,Storm,86,Fever,94,Final
2025-06-25,Valkyries,78,Liberty,81,Final
2025-06-25,Aces,85,Sun,59,Final
2025-06-26,Fever,75,Sparks,85,Final
2025-06-26,Aces,83,Mystics,94,Final
2025-06-27,Dream,92,Lynx,96,Final
2025-06-27,Wings,86,Fever,94,Final
2025-06-27,Valkyries,83,Sky,78,Final
2025-06-27,Mercury,106,Liberty,91,Final
2025-06-27,Storm,97,Sun,81,Final
2025-06-28,Wings,79,Mystics,71,Final
2025-06-29,Dream,90,Liberty,81,Final
2025-06-29,Sparks,85,Sky,92,Final
2025-06-29,Mercury,81,Aces,84,Final
2025-06-29,Lynx,102,Sun,63,Final
2025-06-29,Valkyries,84,Storm,57,Final
2025-07-01,Lynx,59,Fever,74,Final
2025-07-03,Fever,81,Aces,54,Final
2025-07-03,Liberty,89,Sparks,79,Final
2025-07-03,Dream,79,Storm,80,Final
2025-07-03,Wings,98,Mercury,89,Final
2025-07-03,Lynx,92,Mystics,75,Final
2025-07-05,Fever,87,Sparks,89,Final
2025-07-05,Lynx,82,Valkyries,71,Final
2025-07-06,Liberty,70,Storm,79,Final
2025-07-06,Sun,68,Aces,86,Final
2025-07-06,Lynx,80,Sky,75,Final
2025-07-07,Dream,90,Valkyries,81,Final
2025-07-07,Mercury,102,Wings,72,Final
2025-07-08,Mystics,81,Sky,79,Final
2025-07-08,Liberty,87,Aces,78,Final
