Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status,Season
2026-06-17,Mercury,76,Aces,86,Final,2026
2026-06-17,Fire,94,Storm,89,Final,2026
2026-06-18,Fever,101,Dream,108,Final,2026
2026-06-19,Sun,97,Tempo,101,Final,2026
2026-06-19,Liberty,83,Mystics,86,Final,2026
2026-06-19,Valkyries,75,Lynx,81,Final,2026
2026-06-20,Dream,113,Fever,96,Final,2026
2026-06-20,Mercury,93,Storm,73,Final,2026
2026-06-20,Wings,93,Sky,92,Final,2026
2026-06-21,Aces,92,Valkyries,73,Final,2026
2026-06-21,Lynx,79,Mystics,84,Final,2026
2026-06-21,Sparks,98,Liberty,97,Final,2026
2026-06-22,Sun,92,Sky,63,Final,2026
2026-06-22,Dream,94,Tempo,87,Final,2026
2026-06-22,Fever,86,Mercury,77,Final,2026
2026-06-22,Storm,110,Wings,112,Final,2026
2026-06-23,Aces,76,Liberty,87,Final,2026
2026-06-24,Fever,109,Mercury,111,Final,2026
2026-06-24,Mystics,76,Lynx,78,Final,2026
2026-06-24,Sky,101,Fire,78,Final,2026
2026-06-24,Valkyries,77,Dream,66,Final,2026
2026-06-25,Tempo,125,Sparks,97,Final,2026
2026-06-25,Aces,99,Wings,84,Final,2026
2026-06-25,Storm,99,Liberty,88,Final,2026
2026-06-26,Sun,68,Mystics,57,Final,2026
2026-06-26,Sky,124,Fire,94,Final,2026
2026-06-26,Valkyries,78,Dream,75,Final,2026
2026-06-27,Tempo,80,Mercury,89,Final,2026
2026-06-27,Fever,111,Sparks,87,Final,2026
2026-06-27,Storm,105,Dream,90,Final,2026
2026-06-28,Wings,77,Lynx,85,Final,2026
2026-06-28,Mystics,124,Fire,123,Final,2026
2026-06-28,Sky,99,Aces,107,Final,2026
2026-06-28,Valkyries,76,Liberty,67,Final,2026
2026-06-30,Liberty,93,Aces,85,Final,2026
2026-07-02,Mystics,81,Dream,76,Final,2026
2026-07-02,Sun,83,Wings,86,Final,2026
2026-07-02,Mercury,90,Storm,67,Final,2026
2026-07-03,Liberty,99,Lynx,86,Final,2026
2026-07-03,Aces,98,Sky,90,Final,2026
2026-07-04,Dream,83,Valkyries,88,Final,2026
2026-07-04,Storm,72,Fire,77,Final,2026
2026-07-05,Tempo,76,Wings,89,Final,2026
2026-07-05,Aces,68,Fever,84,Final,2026
